"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	"УИК №2322"	"УИК №2323"	"УИК №2324"	"УИК №2325"	"УИК №2326"	"УИК №2327"	"УИК №2328"	"УИК №2329"	"УИК №2330"	"УИК №2331"	"УИК №2332"	"УИК №2333"	"УИК №2334"	"УИК №2335"	"УИК №2336"	"УИК №2337"	"УИК №2338"	"УИК №2339"	"УИК №2340"	"УИК №2341"	"УИК №2342"	"УИК №2343"	"УИК №2344"	"УИК №2345"	"УИК №2346"	"УИК №2347"	"УИК №2348"	"УИК №2349"	"УИК №2350"	"УИК №2351"	"УИК №2352"	"УИК №2353"	"УИК №2354"	"УИК №2355"	"УИК №2356"	"УИК №2357"	"УИК №2358"	"УИК №2359"	"УИК №2360"	"УИК №2361"	"УИК №2362"	"УИК №2363"	"УИК №2364"	"УИК №2365"	"УИК №2366"	"УИК №2367"	"УИК №2368"	"УИК №2369"	"УИК №2370"	"УИК №2371"	"УИК №2372"	"УИК №2373"	"УИК №2374"	"УИК №2375"	
997	1487	1551	1558	2220	657	1686	1861	1021	2039	2690	2224	2113	2060	2049	2271	2377	2196	2179	1742	1676	2301	2029	2310	1926	1823	1558	2032	1355	2145	1535	1620	2736	2270	2313	2169	2246	1825	1909	1540	1526	1180	2343	2339	2034	1266	1400	2006	2518	1066	1519	2375	2572	1289	1023	1369	1749	1862	2050	1766	1466	1259	1655	2220	1621	63	84	71	166	256	933	111	198	145	77	
900	1500	1500	1400	2000	600	1500	1800	1000	2200	2600	2200	2000	2000	2000	2000	2000	2000	2000	1500	1500	2500	2000	2000	1500	1600	1500	2000	1200	2000	1500	1500	2700	2000	2300	2000	2000	1600	1500	1500	1400	1000	2000	2500	2000	1100	1400	2000	2500	1000	1500	2000	2000	1000	900	1100	1500	1500	2000	1500	1500	1000	1500	2000	1500	100	100	150	250	300	1200	200	200	150	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
555	929	883	970	1419	408	1107	1112	560	1461	1898	1532	1386	1361	1319	1476	1417	1477	1308	1208	1065	1649	1290	1392	1143	1099	1006	1252	798	1271	944	963	1828	1545	1454	1334	1403	1222	1194	901	999	814	1553	1546	1167	818	917	1218	1650	708	970	1384	1497	823	558	833	1063	1097	1304	1170	869	774	1012	1384	900	48	79	58	163	201	765	110	192	93	77	
96	43	33	26	49	19	24	51	11	36	46	21	26	28	68	31	44	62	58	28	45	170	198	98	35	40	102	58	19	73	43	36	35	49	94	50	65	32	34	64	25	14	46	28	174	30	38	38	56	30	45	44	107	13	45	51	41	52	39	34	70	50	49	45	144	10	5	13	0	52	168	0	0	52	0	
249	528	584	404	532	173	369	637	429	703	656	647	588	611	613	493	539	461	634	264	390	681	512	510	322	461	392	690	383	656	513	501	837	406	752	616	532	346	272	535	376	172	401	926	659	252	445	744	794	262	485	572	396	164	297	216	396	351	657	296	561	176	439	571	456	42	16	79	87	47	267	90	8	5	123	
96	43	33	26	49	19	24	51	11	36	46	21	26	28	68	31	44	62	58	28	45	170	198	98	35	39	102	58	19	73	43	36	35	49	94	50	65	32	34	64	25	14	46	28	174	30	38	38	56	30	45	44	107	13	45	51	41	52	39	34	70	50	49	45	144	10	5	13	0	52	168	0	0	52	0	
555	927	883	970	1413	408	1102	1112	560	1461	1898	1532	1386	1361	1316	1476	1417	1474	1308	1208	1065	1649	1290	1391	1143	1099	1006	1252	798	1271	944	963	1828	1545	1454	1334	1403	1222	1194	901	999	814	1553	1546	1167	818	917	1218	1647	708	970	1384	1497	823	558	833	1063	1097	1304	1170	869	774	1012	1382	900	48	79	58	163	201	765	110	192	93	77	
5	14	15	15	19	3	12	9	11	15	27	24	21	12	12	16	15	14	12	16	10	27	11	19	16	14	17	7	11	17	11	11	22	22	21	13	10	11	19	13	11	9	22	13	13	5	15	17	22	15	6	23	20	9	2	10	17	9	18	13	8	6	7	20	12	0	0	0	3	5	15	0	2	0	0	
646	956	901	981	1443	424	1114	1154	560	1482	1917	1529	1391	1377	1372	1491	1446	1522	1354	1220	1100	1792	1477	1470	1162	1124	1091	1303	806	1327	976	988	1841	1572	1527	1371	1458	1243	1209	952	1013	819	1577	1561	1328	843	940	1239	1681	723	1009	1405	1584	827	601	874	1087	1140	1325	1191	931	818	1054	1407	1032	58	84	71	160	248	918	110	190	145	77	
