"УИК №8000"	"УИК №8001"	"УИК №8002"	"УИК №8003"	"УИК №8005"	"УИК №8006"	"УИК №8007"	"УИК №8008"	"УИК №8009"	"УИК №8010"	"УИК №8011"	"УИК №8012"	"УИК №8013"	"УИК №8014"	"УИК №8015"	"УИК №8016"	"УИК №8017"	"УИК №8018"	"УИК №8020"	"УИК №8021"	"УИК №8022"	"УИК №8023"	"УИК №8024"	"УИК №8025"	"УИК №8026"	"УИК №8027"	"УИК №8028"	"УИК №8029"	"УИК №8030"	"УИК №8031"	"УИК №8032"	"УИК №8033"	"УИК №8034"	"УИК №8035"	"УИК №8036"	"УИК №8038"	"УИК №8039"	"УИК №8040"	"УИК №8041"	"УИК №8042"	"УИК №8043"	"УИК №8044"	"УИК №8045"	"УИК №8046"	"УИК №8047"	"УИК №8048"	"УИК №8049"	"УИК №8050"	"УИК №8051"	"УИК №8052"	"УИК №8053"	"УИК №8054"	"УИК №8055"	"УИК №8056"	"УИК №8057"	"УИК №8058"	"УИК №8059"	"УИК №8060"	"УИК №8061"	"УИК №8063"	"УИК №8064"	"УИК №8065"	"УИК №8066"	"УИК №8067"	"УИК №8068"	"УИК №8069"	"УИК №8070"	"УИК №8071"	"УИК №8072"	"УИК №8073"	"УИК №8074"	"УИК №8075"	"УИК №8076"	"УИК №8077"	"УИК №8079"	"УИК №8080"	"УИК №8081"	"УИК №8082"	"УИК №8083"	"УИК №8084"	"УИК №8085"	"УИК №8086"	"УИК №8087"	"УИК №8088"	"УИК №8089"	"УИК №8090"	"УИК №8091"	"УИК №8092"	"УИК №8093"	"УИК №8094"	"УИК №8095"	"УИК №8096"	"УИК №8097"	"УИК №8098"	"УИК №8099"	"УИК №8100"	"УИК №8101"	"УИК №8102"	"УИК №8103"	"УИК №8104"	"УИК №8105"	"УИК №8106"	"УИК №8107"	"УИК №8108"	"УИК №8109"	"УИК №8110"	"УИК №8111"	"УИК №8112"	"УИК №8113"	"УИК №8114"	"УИК №8115"	"УИК №8116"	"УИК №8117"	"УИК №8118"	"УИК №8119"	"УИК №8120"	"УИК №8121"	"УИК №8123"	"УИК №8124"	"УИК №8125"	"УИК №8126"	"УИК №8127"	"УИК №8128"	"УИК №8129"	"УИК №8130"	"УИК №8131"	"УИК №8132"	"УИК №8133"	"УИК №8134"	"УИК №8135"	"УИК №8136"	"УИК №8137"	"УИК №8138"	"УИК №8139"	"УИК №8147"	"УИК №8148"	"УИК №8149"	"УИК №8150"	"УИК №8152"	"УИК №8153"	"УИК №8154"	"УИК №8155"	"УИК №8156"	"УИК №8157"	"УИК №8158"	"УИК №8160"	"УИК №8161"	"УИК №8162"	"УИК №8163"	"УИК №8164"	"УИК №8165"	"УИК №8166"	"УИК №8167"	"УИК №8168"	"УИК №8169"	"УИК №8170"	"УИК №8171"	"УИК №8172"	"УИК №8173"	"УИК №8174"	"УИК №8175"	"УИК №8176"	"УИК №8177"	"УИК №8178"	"УИК №8179"	"УИК №8180"	"УИК №8181"	"УИК №8183"	"УИК №8184"	"УИК №8186"	"УИК №8187"	"УИК №8188"	"УИК №8189"	"УИК №8190"	"УИК №8191"	"УИК №8192"	"УИК №8193"	"УИК №8194"	"УИК №8195"	"УИК №8196"	"УИК №8197"	"УИК №8198"	"УИК №8199"	"УИК №8200"	"УИК №8201"	"УИК №8202"	"УИК №8203"	"УИК №8204"	"УИК №8205"	"УИК №8206"	"УИК №8207"	"УИК №8208"	"УИК №8209"	"УИК №8210"	"УИК №8211"	"УИК №8212"	"УИК №8213"	"УИК №8214"	"УИК №8215"	"УИК №8216"	"УИК №8217"	"УИК №8218"	"УИК №8219"	"УИК №8220"	"УИК №8221"	"УИК №8222"	"УИК №8223"	"УИК №8224"	"УИК №8225"	"УИК №8227"	"УИК №8228"	"УИК №8229"	"УИК №8230"	"УИК №8231"	"УИК №8233"	"УИК №8234"	"УИК №8235"	"УИК №8236"	"УИК №8237"	"УИК №8238"	"УИК №8239"	"УИК №8240"	"УИК №8241"	"УИК №8242"	"УИК №8243"	"УИК №8244"	"УИК №8245"	"УИК №8246"	"УИК №8247"	"УИК №8248"	"УИК №8249"	"УИК №8250"	"УИК №8251"	"УИК №8252"	"УИК №8253"	"УИК №8254"	"УИК №8255"	"УИК №8256"	"УИК №8257"	"УИК №8258"	"УИК №8259"	"УИК №8260"	"УИК №8261"	"УИК №8262"	"УИК №8263"	"УИК №8265"	"УИК №8266"	"УИК №8267"	"УИК №8268"	"УИК №8269"	"УИК №8270"	"УИК №8271"	"УИК №8272"	"УИК №8273"	"УИК №8274"	"УИК №8275"	"УИК №8277"	"УИК №8278"	"УИК №8279"	"УИК №8280"	"УИК №8281"	"УИК №8282"	"УИК №8283"	"УИК №8284"	"УИК №8285"	"УИК №8286"	"УИК №8287"	"УИК №8288"	"УИК №8290"	"УИК №8291"	"УИК №8292"	"УИК №8293"	"УИК №8294"	"УИК №8295"	"УИК №8296"	"УИК №8297"	"УИК №8298"	"УИК №8299"	"УИК №8300"	"УИК №8301"	"УИК №8302"	"УИК №8303"	"УИК №8305"	"УИК №8306"	"УИК №8307"	"УИК №8308"	"УИК №8309"	"УИК №8310"	"УИК №8311"	"УИК №8312"	"УИК №8313"	"УИК №8314"	"УИК №8315"	"УИК №8316"	"УИК №8317"	"УИК №8318"	"УИК №8319"	"УИК №8320"	"УИК №8321"	"УИК №8322"	"УИК №8323"	"УИК №8324"	"УИК №8325"	"УИК №8326"	"УИК №8327"	"УИК №8328"	"УИК №8329"	"УИК №8330"	"УИК №8331"	"УИК №8332"	"УИК №8333"	"УИК №8334"	"УИК №8335"	"УИК №8336"	"УИК №8337"	"УИК №8338"	"УИК №8339"	"УИК №8340"	"УИК №8341"	"УИК №8342"	"УИК №8343"	"УИК №8344"	"УИК №8345"	"УИК №8346"	"УИК №8347"	"УИК №8349"	"УИК №8350"	"УИК №8351"	"УИК №8352"	"УИК №8353"	"УИК №8354"	"УИК №8355"	"УИК №8356"	"УИК №8357"	"УИК №8358"	"УИК №8359"	"УИК №8360"	"УИК №8361"	"УИК №8362"	"УИК №8363"	"УИК №8364"	"УИК №8365"	"УИК №8366"	"УИК №8367"	"УИК №8368"	"УИК №8369"	"УИК №8370"	"УИК №8371"	"УИК №8372"	"УИК №8373"	"УИК №8374"	"УИК №8377"	"УИК №8379"	"УИК №8380"	"УИК №8381"	"УИК №8382"	"УИК №8383"	"УИК №8384"	"УИК №8386"	"УИК №8390"	"УИК №8395"	"УИК №8397"	"УИК №8398"	"УИК №8399"	"УИК №8400"	"УИК №8404"	"УИК №8405"	"УИК №8411"	"УИК №8413"	"УИК №8418"	"УИК №8419"	"УИК №8420"	"УИК №8423"	"УИК №8425"	"УИК №8427"	"УИК №8428"	"УИК №8429"	"УИК №8432"	"УИК №8433"	"УИК №8434"	"УИК №8436"	"УИК №8437"	"УИК №8443"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

46	18	19	12	13	13	5	8	4	9	1	3	3	2	8	1	5	5	3	1	3	2	1	0	10	9	2	2	0	2	6	6	1	0	5	0	14	5	0	44	9	6	14	15	6	2	5	14	6	1	2	1	3	0	0	2	1	0	21	1	9	1	7	4	5	0	11	1	0	1	1	0	1	14	9	0	5	0	1	2	1	1	6	1	10	2	2	3	3	9	1	7	1	3	10	2	1	1	3	7	2	3	1	2	0	0	1	4	5	8	1	5	9	8	12	5	3	3	0	6	0	4	0	1	3	0	4	8	1	2	2	2	1	1	3	5	3	7	0	0	0	0	0	0	32	3	1	1	0	0	1	13	3	5	4	3	0	3	27	6	1	2	6	0	30	12	13	6	8	9	17	7	3	11	1	1	1	0	1	0	3	0	3	2	0	7	2	10	5	18	2	7	3	6	10	1	9	3	6	8	2	18	11	10	2	1	0	4	3	14	5	4	0	1	2	1	1	2	0	9	4	2	1	11	3	6	4	1	4	9	1	1	1	7	0	1	10	0	2	0	11	0	4	0	0	3	1	8	4	9	3	5	2	21	15	14	10	10	2	0	1	0	1	3	2	2	5	4	0	1	8	0	6	5	0	14	1	0	0	2	0	1	4	0	6	29	0	4	2	2	4	7	10	18	5	12	13	7	12	6	11	7	11	1	0	0	0	18	2	13	7	5	20	12	4	1	3	1	0	22	12	8	12	5	12	4	2	0	2	0	2	1	5	4	2	1	2	2	1	2	3	1	0	10	2	3	0	1	12	6	1	16	2	10	0	0	1	2	1	0	2	0	0	1	1	0	5	4	2	0	15	18	5	4	10	2	5	7	3	1	0	4	23	
159	32	122	50	52	21	130	144	26	71	39	20	28	47	228	28	119	60	27	20	39	40	7	8	158	85	12	20	11	28	72	79	37	1	77	20	96	66	7	583	165	92	161	182	81	15	84	60	134	15	5	5	3	12	15	22	5	1	329	26	169	4	80	37	190	16	99	9	9	12	14	0	28	119	102	12	59	6	15	7	27	59	60	34	56	44	28	46	37	113	18	115	32	15	57	18	13	55	85	47	37	30	9	19	75	4	16	71	16	104	63	81	233	135	175	25	23	139	5	79	21	80	62	61	71	10	109	193	19	10	30	45	14	39	62	42	63	64	23	1	0	0	14	15	440	132	32	45	12	4	167	161	68	45	84	22	4	4	208	103	8	6	131	25	164	96	104	72	44	49	107	29	26	56	19	40	9	7	4	11	49	5	37	21	12	80	5	111	56	109	34	37	47	19	57	49	59	75	34	51	27	97	47	60	16	14	16	44	28	50	25	73	3	33	15	32	10	12	13	69	89	65	23	118	21	83	24	21	33	309	10	11	6	35	4	15	90	32	41	12	137	1	39	0	19	21	17	76	61	94	40	56	58	237	275	208	83	85	20	5	3	1	30	99	20	11	55	11	1	8	88	8	179	142	30	140	13	0	3	2	7	21	53	1	62	346	4	22	44	27	41	47	149	169	62	156	108	165	139	85	98	174	102	10	12	1	43	409	56	216	26	73	165	112	28	33	15	4	1	235	84	65	57	45	70	40	54	17	27	13	41	6	47	38	43	82	80	70	32	32	42	9	1	117	32	48	18	8	324	35	10	326	22	409	0	8	7	4	6	15	30	6	9	47	11	15	32	60	57	36	5	15	9	122	23	16	85	55	32	10	17	4	36	
80	22	68	27	30	20	68	180	7	13	5	6	4	8	39	4	35	20	14	12	13	12	2	0	51	77	1	8	0	5	99	132	84	3	41	2	24	11	4	135	41	23	39	50	23	7	19	25	22	3	1	6	5	6	4	1	1	0	47	3	34	4	20	5	53	4	21	1	0	1	5	0	10	55	19	6	21	2	3	1	6	13	13	19	19	8	5	8	16	20	3	27	10	3	7	3	5	12	18	10	11	3	2	4	1	3	15	12	1	12	11	17	45	24	30	7	4	39	0	19	9	25	18	25	25	17	73	42	13	2	12	22	7	12	29	5	5	9	5	1	2	2	4	8	89	70	13	15	4	4	32	38	13	11	20	1	2	1	29	39	4	3	54	8	61	33	30	37	30	10	31	15	4	24	4	6	0	1	0	5	7	1	7	4	4	5	10	34	57	96	53	42	42	32	63	57	58	63	45	51	13	93	38	51	9	25	15	36	39	71	26	29	2	8	3	11	1	24	4	13	20	23	1	9	2	24	9	13	4	61	5	3	1	36	0	8	14	24	6	3	36	0	6	0	2	7	8	22	11	137	7	5	40	45	58	26	13	34	24	5	6	1	9	12	7	5	31	8	2	3	36	0	57	71	7	62	2	0	2	2	0	8	9	1	25	48	1	3	6	5	4	13	37	34	20	23	20	28	33	22	24	45	26	3	11	0	6	78	13	37	3	14	23	25	9	5	6	1	0	80	26	30	19	25	57	36	33	9	13	4	6	2	11	4	39	53	21	27	8	24	24	5	1	15	5	5	2	7	81	5	0	317	3	79	0	3	3	1	1	7	8	2	2	14	5	2	16	13	12	15	6	14	2	26	11	7	15	13	13	5	3	0	21	
4779	3062	2607	1597	2762	1937	890	2220	143	684	260	134	151	308	1409	152	1252	558	483	428	425	355	143	31	4417	936	111	394	69	1242	905	974	484	216	312	136	883	747	74	5795	2005	1181	1585	1962	1076	586	976	2229	1652	693	80	149	20	122	126	113	15	33	1920	136	1264	102	555	313	924	73	494	29	31	83	82	25	242	3385	580	38	547	85	69	67	336	637	659	560	813	866	661	413	589	1422	399	1426	284	376	469	97	85	252	438	663	248	131	122	274	32	27	153	489	122	825	447	548	1499	1564	2183	474	274	699	31	1245	368	1337	1061	1112	982	393	973	2550	505	270	367	882	192	564	1051	321	443	727	173	51	27	89	163	59	4055	1767	467	2371	88	57	993	789	264	225	400	165	55	132	1548	462	98	81	1444	196	5657	3365	2856	4234	3496	1096	1527	703	370	856	112	370	93	71	82	283	227	91	356	250	211	486	109	3433	3510	5408	2721	2333	2863	1027	4062	2627	3843	3468	2103	4328	1162	4970	2273	3366	1145	1418	1726	2827	1762	4008	3856	787	82	149	99	209	73	1384	140	532	533	259	96	489	93	766	228	70	389	2345	101	172	79	2660	36	202	552	273	138	88	1198	29	314	36	124	178	97	1139	367	3242	379	382	468	1531	2127	1037	566	2946	2217	1281	1591	390	2107	402	148	285	2680	586	189	270	1012	75	1648	1851	117	4549	104	36	119	64	74	174	498	20	652	2349	38	117	269	168	312	391	1819	1922	1017	2908	2540	2477	1992	1890	1949	2679	1998	223	193	24	297	2177	249	1343	210	633	1135	1077	312	162	185	35	13	7221	2373	1719	1648	1176	3425	2424	2996	193	332	135	1082	1218	2693	2097	1225	1672	1605	1367	1217	574	918	424	45	630	84	122	79	180	1720	348	425	1334	378	2263	13	88	88	78	415	209	615	581	101	1254	475	125	1567	705	1127	953	1252	1854	327	1167	1562	178	1065	486	371	1072	43	802	1835	
30	12	15	10	12	15	25	37	14	131	55	16	27	56	346	32	57	43	18	1	12	35	5	0	124	10	10	89	1	14	24	31	17	1	20	9	138	64	3	239	34	30	29	23	15	2	13	69	71	11	8	1	7	4	23	24	2	1	868	56	155	9	45	26	88	5	23	5	0	6	6	0	9	81	137	1	28	5	6	2	47	115	135	97	179	8	43	99	93	338	47	229	51	11	27	7	3	22	64	13	11	8	6	10	0	2	7	80	38	132	65	68	281	168	258	37	16	106	3	46	3	12	6	8	9	0	29	66	3	2	7	9	6	6	9	38	75	69	11	1	0	1	12	2	367	13	0	7	3	2	119	149	26	80	58	19	0	1	93	24	9	1	46	3	57	31	46	12	5	12	80	8	13	23	2	69	9	1	1	7	35	0	38	14	4	55	5	30	11	26	8	8	13	4	15	8	21	11	5	14	5	31	8	15	2	9	1	11	6	10	11	32	0	3	6	9	8	4	3	200	293	12	13	125	18	174	26	7	25	184	5	2	0	8	3	5	104	43	52	27	158	1	23	1	5	7	6	64	77	46	46	43	11	347	603	300	113	24	5	0	1	0	5	75	19	7	20	1	0	0	65	0	125	155	6	56	5	1	6	0	5	17	54	2	66	646	5	30	90	35	52	93	256	314	72	160	119	281	252	74	143	183	172	18	4	1	57	580	78	65	29	113	199	196	68	13	13	2	1	82	30	16	16	20	12	14	5	5	22	17	3	6	4	5	11	5	10	16	4	5	2	2	2	72	6	28	9	7	102	55	1	45	5	148	1	2	2	1	1	1	7	2	8	6	10	49	9	8	50	34	0	11	4	200	5	15	57	56	8	8	10	1	8	
12	4	6	8	6	5	8	11	0	2	2	1	0	0	5	1	7	4	4	0	0	4	0	2	13	0	0	1	1	1	3	8	3	0	6	0	6	3	1	23	5	5	13	7	3	0	2	6	6	0	1	0	0	1	0	0	0	0	8	2	6	1	3	1	7	1	6	0	3	0	0	0	1	10	1	0	5	1	0	0	0	1	3	3	3	1	0	4	1	5	1	8	2	0	6	3	1	3	2	1	1	1	1	1	0	0	2	3	1	1	3	3	6	2	8	1	2	7	0	4	3	5	6	1	2	1	6	5	1	1	1	2	1	2	2	3	0	4	1	0	0	1	0	1	31	1	4	1	0	0	4	5	4	1	4	2	1	0	1	0	2	0	3	2	18	14	16	8	9	1	10	1	1	6	1	3	2	0	0	0	0	0	0	3	1	1	0	1	7	15	2	5	5	3	14	4	7	6	2	10	0	17	8	5	0	0	4	3	5	9	4	4	1	2	0	1	0	3	0	1	5	1	0	2	0	4	2	2	0	12	1	1	0	3	0	2	2	1	1	0	11	0	0	0	1	0	0	5	1	4	2	1	1	8	13	7	3	13	4	0	2	0	11	1	1	0	9	2	0	2	4	0	6	5	1	21	0	0	0	0	0	2	2	1	1	16	0	1	1	0	2	3	4	7	7	8	7	7	6	8	6	4	6	1	2	0	0	13	3	5	0	2	7	1	2	0	0	0	0	34	4	12	15	7	15	9	9	2	0	2	9	10	16	17	4	7	10	8	9	7	2	14	0	1	0	3	0	1	2	1	0	15	2	14	0	0	1	1	3	1	2	1	0	4	1	0	5	5	1	1	0	6	2	2	4	2	7	2	3	1	0	1	5	
5	1	3	1	4	2	1	6	2	20	7	7	4	5	45	6	11	5	4	1	1	7	0	0	37	6	1	5	0	0	7	3	1	0	6	0	28	17	0	53	11	8	8	6	3	2	2	22	22	1	0	0	0	1	3	3	1	0	118	8	33	0	15	4	16	1	16	0	1	1	6	0	5	21	11	0	8	3	1	0	3	6	6	2	9	4	1	10	10	26	0	9	2	2	10	1	1	4	6	8	2	4	2	5	0	0	1	11	1	6	9	15	40	20	36	2	2	15	1	15	0	0	1	1	1	0	2	21	1	0	2	3	1	4	2	15	7	16	2	0	0	1	4	3	94	4	0	2	0	0	27	30	6	13	6	2	0	1	13	3	3	5	21	1	22	3	7	3	4	7	24	1	3	5	3	8	1	0	0	1	6	1	16	1	1	12	1	5	7	7	9	5	6	3	5	9	4	3	4	5	0	7	4	2	1	1	1	5	0	3	3	10	0	3	2	1	0	2	1	28	34	0	5	14	2	20	6	1	3	32	2	2	0	5	0	3	15	9	4	4	20	0	6	0	3	4	2	15	17	7	12	11	4	44	45	26	13	7	6	0	2	0	0	13	1	2	5	0	1	0	13	1	22	15	4	23	3	0	1	0	0	3	13	1	18	74	0	4	6	9	16	11	27	31	11	19	13	29	29	11	21	26	15	4	1	0	7	74	12	32	5	16	53	17	9	3	3	0	1	22	12	3	6	3	6	3	2	4	5	5	0	2	1	1	4	5	4	2	0	1	0	0	1	20	2	7	7	1	13	10	0	12	4	43	1	2	1	0	2	0	2	0	1	1	3	1	2	1	9	5	2	0	0	17	3	0	7	11	3	0	3	0	3	
11	0	6	3	1	2	2	6	5	47	18	11	14	24	131	13	17	14	6	0	7	11	0	0	50	6	2	42	1	10	8	4	2	0	7	3	69	40	0	96	18	17	18	9	12	2	10	32	34	5	1	4	1	4	11	9	1	0	292	15	61	3	13	15	22	2	15	2	1	1	2	1	8	35	61	0	17	1	1	1	33	46	51	41	73	0	38	53	36	103	19	114	15	4	17	4	0	18	13	9	8	8	2	2	0	0	0	29	9	42	18	30	83	77	89	17	9	22	2	26	0	4	1	2	0	1	3	20	1	0	3	4	0	2	3	16	29	20	2	0	3	0	5	2	116	2	0	2	3	0	42	49	8	23	16	7	1	0	51	14	2	2	18	2	27	18	9	4	6	14	46	4	2	11	3	29	1	0	3	4	10	4	25	4	7	18	5	14	8	10	1	2	2	1	8	3	5	4	4	8	6	10	1	6	2	4	4	3	0	4	3	10	1	4	3	3	4	1	2	76	81	6	7	26	5	62	9	2	6	54	4	2	1	7	0	12	37	12	23	11	50	0	12	0	3	3	4	34	31	5	11	25	5	99	193	104	63	8	1	0	1	0	3	24	0	1	11	1	0	0	30	1	25	34	3	28	3	2	3	0	4	7	25	3	34	247	0	9	28	7	30	36	106	125	42	81	59	121	90	32	86	90	70	5	2	0	32	166	31	40	14	59	94	100	41	1	7	1	0	29	16	7	12	9	9	8	4	8	17	7	0	0	1	0	3	7	1	1	1	0	0	0	2	33	4	12	6	4	24	21	0	18	3	50	1	2	5	2	0	1	3	3	2	1	5	16	5	4	23	25	0	5	1	64	2	12	34	22	3	0	2	0	3	
