"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	
1487	828	2689	2900	2703	1272	1629	2942	2756	2810	2054	1511	2699	1640	1369	1730	1523	1364	2887	1549	1920	1449	2725	1018	2597	2657	1445	2633	1341	2417	1521	2614	2435	2026	3017	2743	2822	2509	2713	1228	1800	1431	
1300	700	2500	2750	2600	1300	1500	2500	2500	2500	1630	1500	2500	1500	1300	1500	1400	1300	2500	1500	1900	1400	2500	1000	2500	2500	1400	2500	1200	2300	1500	2500	2300	2000	2740	2500	2500	2500	2390	1000	1500	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
983	481	1713	1785	1665	657	1021	1689	1592	1755	864	854	1744	1010	947	1181	998	860	1965	993	1182	834	1724	634	1747	1743	955	1672	882	1634	1005	1661	1514	1274	1664	1729	1853	1653	1903	760	1148	854	
21	13	45	54	35	22	23	38	58	44	241	5	16	23	15	12	19	30	35	19	41	32	33	19	31	55	24	35	2	16	15	15	33	24	282	32	23	32	29	12	5	10	
296	206	742	911	900	621	456	773	850	701	525	641	740	467	338	307	383	410	500	485	677	534	743	347	722	702	421	793	316	650	480	824	753	702	794	739	624	815	458	228	347	136	
21	13	45	54	35	22	23	38	58	44	241	5	16	23	15	12	19	30	35	19	41	32	33	19	31	55	24	35	2	16	15	15	33	24	282	32	23	32	29	12	5	10	
983	481	1711	1785	1663	655	1021	1689	1591	1755	864	854	1742	1007	947	1181	995	860	1965	993	1182	830	1722	634	1744	1733	954	1631	882	1630	1005	1661	1514	1274	1661	1729	1852	1653	1900	760	1144	854	
20	9	25	23	82	7	15	19	28	29	9	8	19	16	13	12	13	8	28	13	12	12	27	10	21	16	13	30	8	18	8	24	17	28	28	19	20	22	20	18	7	11	
984	485	1731	1816	1616	670	1029	1708	1621	1770	1096	851	1739	1014	949	1181	1001	882	1972	999	1211	850	1728	643	1754	1772	965	1636	876	1628	1012	1652	1530	1270	1915	1742	1855	1663	1909	754	1142	853	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	18	17	18	5	8	16	11	17	6	1	22	9	8	9	10	10	19	14	12	7	12	6	17	10	13	17	8	21	10	17	12	7	12	21	14	14	19	3	12	4	
121	55	209	194	180	83	121	181	152	181	111	93	185	120	104	146	97	102	217	104	120	93	213	80	261	197	95	214	124	193	122	212	169	170	231	201	225	176	222	72	135	116	
79	24	83	113	125	39	72	100	101	110	73	49	107	54	54	63	75	48	97	69	79	50	101	27	100	111	48	43	24	70	56	70	77	61	114	87	82	116	73	47	53	38	
700	368	1261	1371	1198	503	758	1299	1253	1329	846	664	1313	760	732	883	766	667	1505	760	916	640	1260	474	1233	1350	737	1225	640	1200	763	1239	1169	921	1434	1327	1366	1268	1439	579	855	633	
29	16	51	38	36	17	30	34	44	48	24	18	47	32	15	42	10	20	60	17	31	21	46	24	51	39	32	44	32	66	15	45	44	46	47	42	66	29	73	22	31	29	
15	4	18	19	16	5	5	13	9	19	9	3	15	6	5	6	12	8	13	13	7	9	12	5	14	13	7	20	3	20	9	10	14	6	17	14	14	10	13	9	12	5	
18	4	28	20	11	9	13	21	18	14	9	13	24	19	9	21	11	13	28	11	10	12	19	10	25	15	16	21	16	26	16	23	19	17	20	28	38	14	34	10	21	12	
19	11	63	44	32	9	22	44	33	52	18	10	26	14	22	11	20	14	33	11	36	18	65	17	53	37	17	52	29	32	21	36	26	42	40	22	50	36	36	12	23	16	
