"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №253"	
669	269	1046	282	296	255	328	741	1529	1528	387	2169	2168	136	1103	101	2305	1723	375	205	707	302	678	545	1764	2444	1165	2192	1745	843	817	509	184	
795	273	1072	288	301	262	332	867	1561	1567	395	2205	2195	138	1117	104	2335	1751	377	207	833	306	804	671	1803	2531	1183	2267	1785	970	943	515	186	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
587	246	925	258	277	237	297	674	1423	1424	350	2028	2025	132	770	94	2138	1596	340	187	645	275	614	504	1634	2258	1081	2025	1617	757	748	471	168	
30	9	57	7	5	7	14	12	15	11	13	17	19	2	13	3	27	19	13	9	12	9	11	2	21	37	14	27	15	17	12	7	5	
178	18	90	23	19	18	21	181	123	132	32	160	151	4	334	7	170	136	24	11	176	22	179	165	148	236	88	215	153	196	183	37	13	
30	9	57	7	5	7	14	12	15	11	13	17	19	2	13	3	27	19	13	9	12	9	11	2	21	37	14	27	15	17	12	7	5	
586	244	923	257	275	235	296	673	1420	1421	348	2025	2021	131	768	93	2133	1593	338	184	643	273	613	502	1631	2253	1076	2022	1614	756	747	469	167	
1	2	3	1	2	1	1	2	5	3	1	5	4	1	1	2	7	3	2	2	2	1	3	2	5	6	3	7	3	2	3	2	1	
615	251	977	263	278	241	309	683	1430	1429	360	2037	2036	132	780	94	2153	1609	349	191	653	281	621	502	1647	2284	1087	2042	1626	771	756	474	171	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	3	1	1	1	1	2	5	5	1	4	7	0	2	0	7	5	1	1	3	1	4	3	5	4	4	7	5	5	2	2	1	
21	9	40	9	10	9	12	22	56	56	11	93	80	8	92	5	86	66	14	6	24	12	21	16	66	106	43	80	65	26	29	17	4	
4	2	9	3	3	2	3	5	14	14	3	24	20	1	8	1	21	15	4	2	5	2	5	4	16	26	10	20	16	7	5	5	2	
576	235	913	246	260	225	289	641	1336	1335	341	1899	1902	123	670	88	2012	1503	326	178	611	263	579	469	1539	2129	1016	1908	1519	720	709	443	160	
3	1	3	1	1	1	1	4	4	4	1	2	6	0	2	0	6	5	1	1	2	1	3	3	5	3	3	6	5	4	2	1	1	
2	1	3	1	1	1	1	3	5	5	1	7	7	0	2	0	7	5	1	1	3	0	4	2	6	6	4	7	6	3	3	2	1	
3	1	3	1	1	1	1	2	5	5	1	4	7	0	2	0	7	5	1	1	2	1	3	2	5	5	4	7	5	4	4	2	1	
3	1	3	1	1	1	1	4	5	5	1	4	7	0	2	0	7	5	1	1	3	1	2	3	5	5	3	7	5	2	2	2	1	
