"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	
2212	2360	2259	2647	2533	2615	2663	2859	2791	2162	2854	2619	2258	2197	
1800	1900	1700	2000	1800	2200	2000	2200	2200	1600	2200	2100	1900	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1326	1355	1321	1635	1362	1342	1617	1690	1639	1289	1615	1545	1303	1343	
30	44	57	40	50	90	48	69	53	38	44	36	36	33	
444	501	322	325	388	768	335	438	508	273	541	519	561	424	
30	47	57	40	49	90	48	69	53	38	44	36	36	33	
1326	1352	1320	1632	1362	1340	1615	1690	1636	1288	1614	1545	1303	1341	
17	37	16	24	14	22	20	27	17	79	13	15	19	17	
1339	1362	1361	1648	1397	1408	1643	1732	1672	1247	1645	1566	1320	1357	
0	0	0	0	0	0	0	3	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	13	7	15	16	21	20	20	20	11	13	17	9	12	
186	165	149	232	183	181	219	229	235	176	228	208	172	149	
66	72	104	94	73	58	81	93	77	58	75	66	63	56	
944	965	964	1112	998	997	1139	1198	1166	852	1131	1107	940	987	
60	70	53	77	56	65	87	78	81	59	73	84	56	77	
11	6	10	16	7	11	14	8	11	12	16	5	9	11	
19	16	18	31	18	24	26	34	20	31	25	23	20	29	
37	55	56	71	46	51	57	72	62	48	84	56	51	36	
