"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1847"	"УИК №1848"	
1433	2054	2066	2218	2023	2058	3104	774	1581	2196	2813	1984	2341	2798	1939	933	2881	2985	2612	1774	984	1766	2239	2044	651	971	519	
1300	1800	1800	2000	1900	1900	2900	700	1500	2100	2700	1900	2200	2700	1800	900	2700	2800	2500	1600	900	1600	2100	1900	600	900	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
697	1090	1195	1270	1264	1380	1717	451	992	1369	1724	1238	1443	1828	1233	636	1769	1765	1445	962	524	819	1097	855	243	441	265	
10	23	44	32	60	39	87	7	20	15	12	27	26	23	21	5	22	22	37	36	6	55	47	39	36	26	22	
593	687	561	698	576	481	1096	242	488	716	964	635	731	849	546	259	909	1013	1018	602	370	726	956	1006	321	433	113	
10	23	44	32	60	39	87	7	20	15	12	27	26	23	21	5	22	22	37	36	6	55	47	39	36	26	22	
697	1090	1195	1270	1264	1380	1717	451	992	1369	1723	1238	1442	1828	1233	636	1769	1765	1445	962	524	819	1097	855	243	441	265	
10	13	11	12	16	15	24	5	13	23	26	16	27	8	17	6	18	17	11	7	8	13	15	7	3	3	3	
697	1100	1228	1290	1308	1404	1780	453	999	1361	1709	1249	1441	1843	1237	635	1773	1770	1471	991	522	861	1129	887	276	464	284	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	4	7	5	6	5	3	4	10	5	8	5	7	10	3	12	11	7	3	5	2	5	2	0	1	1	
146	241	196	222	250	232	297	85	187	267	293	228	227	341	210	114	317	394	309	206	64	155	158	134	32	73	46	
52	78	95	99	79	62	109	25	77	82	112	69	74	110	80	36	102	107	95	53	39	66	74	73	37	27	21	
478	752	905	918	925	1044	1320	323	686	969	1249	910	1093	1334	902	455	1279	1223	1021	707	398	621	859	655	203	355	213	
10	10	11	12	23	31	15	2	14	18	22	17	19	22	19	14	27	10	16	5	5	9	15	4	2	2	1	
1	5	2	6	3	4	7	1	9	4	3	2	1	4	2	7	5	3	3	9	6	2	7	8	1	2	0	
2	3	4	4	9	13	9	2	6	4	7	4	9	9	4	3	16	14	7	5	2	4	5	4	0	1	0	
6	7	11	22	14	12	18	12	16	7	18	11	13	16	10	3	15	8	13	3	3	2	6	7	1	3	2	
