"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	
1402	1461	192	307	104	189	366	92	347	167	421	661	367	228	303	
1300	1300	160	260	100	170	320	90	310	160	380	600	320	200	290	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
906	970	136	237	67	115	177	56	213	98	222	384	229	82	184	
98	63	11	9	14	18	75	2	32	14	69	104	37	69	53	
296	267	13	14	19	37	68	32	65	48	89	112	54	49	53	
98	63	11	9	14	18	75	2	32	14	69	104	37	69	53	
904	970	136	237	67	115	177	56	213	98	222	384	229	82	184	
6	16	1	1	0	1	1	1	3	1	2	3	3	0	3	
996	1017	146	245	81	132	251	57	242	111	289	485	263	151	234	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	4	2	1	0	2	2	1	1	0	2	2	5	0	0	
118	150	30	23	0	15	36	4	16	4	12	61	23	9	33	
82	98	12	19	10	17	25	7	22	9	16	56	24	6	33	
750	735	97	194	67	96	187	42	195	95	252	355	207	131	162	
24	10	4	3	2	0	0	2	4	3	3	7	2	1	2	
3	7	1	2	1	1	0	0	2	0	2	4	1	2	3	
10	6	0	1	1	1	0	0	1	0	2	0	1	2	1	
2	7	0	2	0	0	1	1	1	0	0	0	0	0	0	
