"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	
906	1079	1960	928	2446	829	2461	1975	2178	2009	727	
700	800	1500	750	1850	1100	2200	1900	1700	1900	600	
0	0	0	0	0	0	0	0	0	0	0	
482	617	1092	529	1317	611	1400	1284	1201	1204	459	
17	13	31	5	111	7	31	20	25	29	10	
201	170	377	216	422	482	769	596	474	667	131	
17	13	31	5	111	7	31	20	25	29	10	
482	617	1091	529	1317	611	1400	1284	1201	1204	459	
4	2	6	3	18	4	13	9	10	9	8	
495	628	1116	531	1410	614	1418	1295	1216	1224	461	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

3	4	11	4	12	5	9	15	13	8	5	
71	106	183	82	221	82	192	191	193	212	88	
45	54	93	44	148	50	108	80	106	97	27	
364	451	802	380	976	453	1058	940	856	875	322	
7	6	9	4	31	10	25	33	25	12	9	
2	2	4	5	8	3	5	11	10	5	3	
2	2	9	6	3	8	10	15	6	10	3	
1	3	5	6	11	3	11	10	7	5	4	
