"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	
315	183	230	152	100	125	166	111	659	107	464	298	101	282	895	1530	989	134	186	155	
310	180	230	150	90	129	190	85	610	90	480	285	100	310	800	1400	900	120	170	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
176	83	126	84	36	54	94	45	373	65	264	145	67	191	500	909	571	59	88	67	
91	67	46	23	18	53	42	38	89	20	90	113	19	45	48	84	79	13	34	52	
43	30	58	43	36	22	54	2	148	5	126	27	14	74	252	407	250	48	48	21	
91	67	46	23	18	53	42	38	89	20	90	113	19	45	48	84	79	13	34	52	
176	83	126	84	36	54	94	45	373	65	264	145	67	191	500	909	571	59	88	67	
1	1	1	0	0	0	2	0	4	0	9	2	0	2	2	4	6	0	0	0	
266	149	171	107	54	107	134	83	458	85	345	256	86	234	546	989	644	72	122	119	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	1	1	1	3	0	1	4	0	3	0	1	3	4	10	10	0	0	1	
24	4	15	5	0	10	10	14	57	7	41	35	5	30	71	158	89	8	5	4	
27	11	21	18	5	10	23	13	62	6	24	30	7	26	41	86	69	10	24	5	
207	132	130	80	48	81	97	53	321	72	266	188	72	168	411	691	463	53	89	109	
2	0	3	2	0	1	1	0	4	0	3	3	0	4	8	14	3	0	2	0	
1	0	0	0	0	2	3	0	2	0	3	0	0	2	4	10	5	0	1	0	
0	1	0	1	0	0	0	1	3	0	3	0	0	0	3	11	1	1	1	0	
1	0	1	0	0	0	0	1	5	0	2	0	1	1	4	9	4	0	0	0	
