"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	
1643	1599	542	607	511	1513	1345	402	461	605	1188	131	116	100	123	167	435	290	587	383	407	223	552	257	373	86	286	493	
1500	1500	500	580	450	1350	1200	400	470	550	1150	130	120	100	130	160	450	300	600	370	400	230	550	250	390	90	280	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1169	1038	479	450	327	1156	1044	356	389	433	749	99	95	83	82	132	249	267	460	294	352	192	464	201	302	76	235	372	
69	83	9	14	42	41	55	8	52	30	97	25	8	9	23	21	62	12	86	31	38	13	44	31	33	5	23	72	
262	379	12	116	81	153	101	36	29	87	304	6	17	8	25	7	139	21	54	45	10	25	42	18	55	9	22	56	
69	83	9	14	42	41	55	8	52	30	97	25	8	9	23	21	62	12	86	31	38	13	44	31	33	5	23	72	
1169	1038	479	450	327	1156	1044	356	389	433	749	99	95	83	82	132	249	267	460	294	352	192	464	201	302	76	235	372	
5	16	5	7	3	34	20	4	10	35	7	0	0	0	0	0	2	0	7	4	7	2	0	0	0	0	1	2	
1233	1105	483	457	366	1163	1079	360	431	428	839	124	103	92	105	153	309	279	539	321	383	203	508	232	335	81	257	442	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	5	6	1	3	11	5	3	3	1	2	2	0	0	1	0	3	1	3	2	1	0	2	1	2	0	2	2	
133	113	46	62	107	143	132	20	10	33	100	8	13	7	6	15	57	5	31	12	21	13	18	3	35	2	9	24	
65	66	22	20	18	76	65	24	12	20	45	14	8	6	4	11	15	10	39	9	24	17	24	16	18	3	10	30	
1004	893	390	373	231	887	844	306	403	370	673	90	80	78	93	126	229	259	452	296	332	171	463	210	277	76	233	376	
8	9	6	1	2	17	16	1	1	3	4	2	1	0	1	1	1	1	6	1	2	2	0	0	3	0	0	3	
8	6	3	0	4	11	3	4	0	0	2	2	1	1	0	0	2	1	3	1	2	0	0	0	0	0	0	3	
6	10	6	0	1	7	10	1	0	1	5	4	0	0	0	0	1	1	2	0	0	0	1	1	0	0	1	4	
3	3	4	0	0	11	4	1	2	0	8	2	0	0	0	0	1	1	3	0	1	0	0	1	0	0	2	0	
