"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	
334	653	1544	1287	1902	3094	1086	1550	2478	1475	645	1098	1699	258	837	3039	89	2264	2369	1128	1713	3734	211	697	494	
335	660	1500	1395	1950	2890	1120	1600	2330	1545	665	1140	1700	270	870	3100	100	2470	2300	1155	1710	3920	200	750	595	
0	0	0	0	0	1280	0	0	1127	0	0	0	1418	0	0	2235	0	1590	0	0	0	1551	0	0	0	
305	522	1343	1135	1698	1397	895	1394	1067	1289	552	979	218	236	774	780	89	534	2179	891	1352	1388	139	531	376	
7	56	2	7	12	4	63	6	7	12	27	4	2	4	7	3	0	13	19	25	19	16	19	7	9	
23	82	155	253	240	209	162	200	129	244	86	157	62	30	89	82	11	333	102	239	339	965	42	212	210	
7	56	2	7	12	1284	63	6	1134	12	27	4	1420	4	7	2238	0	1603	19	25	19	1567	19	7	9	
305	522	1343	1135	1698	1397	895	1394	1067	1289	552	975	218	236	774	780	89	534	2179	891	1352	1388	139	531	376	
0	4	18	1	12	13	4	11	7	3	5	4	7	3	5	8	0	7	12	13	14	30	0	1	2	
312	574	1327	1141	1698	2668	954	1389	2194	1298	574	975	1631	237	776	3010	89	2130	2186	903	1357	2925	158	537	383	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	2	1	2	3	4	2	4	4	3	3	2	0	6	6	0	6	4	3	6	2	1	0	2	
12	2	11	17	19	23	9	14	20	9	2	16	39	6	14	74	1	80	8	8	104	218	18	10	54	
12	17	22	27	27	68	15	33	41	29	11	9	44	10	24	78	3	60	42	27	75	136	9	46	44	
272	549	1278	1084	1623	2547	910	1315	2091	1236	550	926	1531	216	697	2826	83	1971	2124	862	1155	2530	126	475	277	
3	1	8	4	10	12	6	9	23	8	1	5	7	2	25	12	1	6	0	0	6	18	3	1	3	
0	2	1	2	2	2	2	4	4	3	1	4	2	1	4	8	1	1	0	0	3	13	0	3	0	
4	1	1	4	6	5	4	5	4	5	5	4	3	1	2	1	0	2	3	1	4	5	1	1	1	
9	1	4	2	9	8	4	7	7	4	1	8	3	1	4	5	0	4	5	2	4	3	0	1	2	
