"УИК №1875"	"УИК №1876"	"УИК №1877"	"УИК №1878"	"УИК №1879"	"УИК №1880"	"УИК №1881"	"УИК №1882"	"УИК №1883"	"УИК №1884"	"УИК №1885"	"УИК №1886"	"УИК №1887"	"УИК №1888"	"УИК №1889"	"УИК №1890"	"УИК №1891"	"УИК №1892"	"УИК №1893"	"УИК №1894"	"УИК №1895"	"УИК №1896"	"УИК №1897"	"УИК №1898"	"УИК №1899"	"УИК №1900"	"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1959"	
2117	2045	3108	2321	2817	2559	2395	2660	2206	2447	2500	2445	2289	2513	2489	2059	2059	2321	2344	2324	2238	2226	2133	2619	2754	3062	2177	2018	2758	2764	2376	2058	2123	2075	2405	2476	2206	2498	2897	2225	2021	2163	2126	2154	2031	2293	2084	2572	2242	1187	2354	2487	2483	2731	2907	2274	2610	
2000	1900	2500	2200	2600	2400	2200	2400	2000	2200	2300	2200	2000	2300	2200	1800	1800	2100	2200	2100	2000	2100	1800	2300	2400	2700	1900	1900	2500	2400	2200	1900	1900	1800	2200	2200	2000	2300	2100	2000	1800	1900	1900	1800	1800	2000	1900	2300	2100	1000	1900	2300	2200	2500	2600	1900	2400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1231	1198	1936	1228	1534	1094	1567	1467	1214	1380	1610	1456	1207	1469	2033	1104	1040	1364	1284	1220	1084	1263	1084	1513	1511	1886	1282	1169	1721	1728	1258	1244	1154	1195	1234	1376	1252	1422	1530	1230	1190	1263	1194	1286	1369	1502	1097	1275	1159	697	1131	1524	1449	1622	1278	1159	1604	
100	54	36	169	30	54	89	91	156	54	117	178	105	101	82	187	112	104	93	163	60	52	27	109	161	57	21	25	46	210	126	81	147	50	37	78	70	92	441	28	62	36	188	51	261	50	147	63	63	91	310	217	60	172	81	56	29	
669	648	528	803	1036	1252	544	842	630	766	573	566	688	730	85	509	648	632	823	717	856	785	689	678	728	757	597	706	733	462	816	575	599	555	929	746	678	786	129	742	548	601	518	463	170	448	656	962	878	212	459	559	691	706	1241	685	767	
100	54	36	169	30	54	89	91	156	54	117	178	105	101	82	187	112	104	93	163	60	52	27	109	159	57	21	25	46	210	126	81	147	50	37	78	70	92	441	28	62	36	188	51	261	50	147	63	63	91	310	217	60	172	81	56	29	
1231	1198	1936	1228	1534	1094	1567	1467	1214	1380	1610	1456	1207	1469	2033	1104	1040	1363	1284	1220	1084	1263	1083	1513	1510	1886	1282	1169	1721	1728	1257	1244	1154	1195	1231	1376	1252	1422	1530	1230	1190	1263	1194	1286	1369	1502	1097	1275	1159	697	1131	1524	1449	1622	1278	1159	1604	
20	12	16	17	12	12	6	18	4	10	5	18	2	19	13	5	9	0	17	12	0	6	12	19	44	20	10	6	12	18	29	5	7	15	14	14	10	4	20	11	11	15	15	13	7	13	3	17	18	8	12	1	20	15	0	0	9	
1311	1240	1956	1380	1552	1136	1650	1540	1366	1424	1722	1616	1310	1551	2102	1286	1143	1467	1360	1371	1144	1309	1098	1603	1625	1923	1293	1188	1755	1920	1354	1320	1294	1230	1254	1440	1312	1510	1951	1247	1241	1284	1367	1324	1623	1539	1241	1321	1204	780	1429	1740	1489	1779	1359	1215	1624	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	3	8	9	11	10	9	11	9	9	14	7	16	13	20	8	7	14	16	18	9	6	11	5	18	8	7	10	14	10	10	9	17	4	11	8	10	13	5	8	5	11	11	16	6	4	9	10	13	9	10	11	17	10	5	8	8	
181	139	226	179	220	168	241	200	259	141	292	170	151	194	209	190	151	115	193	169	129	293	160	199	206	288	176	169	201	229	180	162	154	177	151	187	135	190	211	169	171	217	184	204	221	338	198	191	186	84	166	224	205	207	206	182	176	
85	66	102	85	72	43	90	91	25	84	44	97	67	75	94	76	61	46	56	72	87	71	68	81	85	104	55	72	92	91	58	45	77	84	58	81	44	56	99	52	64	87	54	52	41	112	31	80	66	42	62	53	70	82	58	66	64	
960	972	1539	1021	1172	862	1242	1155	1032	1122	1308	1277	1014	1196	1701	934	876	1246	1038	1039	863	899	809	1231	1221	1409	998	896	1402	1503	1054	1030	994	906	984	1111	1068	1179	1563	971	927	901	1049	982	1287	1000	959	982	879	618	1134	1411	1136	1406	1028	906	1338	
25	31	39	25	35	20	30	33	18	26	21	24	25	23	15	15	17	17	17	17	18	10	12	32	33	47	18	21	19	23	20	33	23	29	19	16	18	27	38	16	28	29	25	26	20	33	12	21	22	14	20	15	25	36	17	27	10	
10	8	11	20	14	12	14	14	6	14	7	10	14	15	10	19	11	6	7	18	18	8	14	11	13	13	10	4	6	16	10	9	13	9	10	5	5	13	6	10	12	11	8	11	11	9	9	15	6	3	16	6	14	6	7	3	5	
