"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	
2183	2144	2476	2449	1316	1835	1451	1475	2445	2414	1636	1766	1105	1391	1113	1320	
2169	2189	2519	2457	1329	1823	1471	1485	2405	2433	1648	1778	1102	1392	1109	1313	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	2007	2107	2216	1184	1704	1338	1341	2225	2172	1567	1607	1041	1250	1057	1214	
3	4	3	5	2	3	4	2	4	3	3	2	2	2	1	2	
180	178	409	236	143	116	129	142	176	258	78	169	59	140	51	97	
3	4	3	5	2	3	4	2	4	3	3	2	2	2	1	2	
1986	2007	2107	2216	1184	1704	1338	1341	2225	2172	1567	1607	1041	1250	1057	1214	
2	3	3	2	1	1	1	1	2	2	1	2	1	1	1	1	
1987	2008	2107	2219	1185	1706	1341	1342	2227	2173	1569	1607	1042	1251	1057	1215	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	2	2	5	3	4	3	3	3	3	4	4	4	3	5	4	
71	78	88	109	43	41	77	64	95	77	71	68	44	49	57	53	
22	17	14	16	13	14	11	7	21	18	13	15	10	8	9	11	
1872	1894	1986	2071	1113	1616	1235	1254	2088	2059	1467	1506	970	1178	973	1133	
3	2	1	3	2	17	2	2	3	3	2	2	2	3	2	2	
4	3	3	3	3	3	2	3	3	3	3	5	4	3	3	4	
8	8	9	6	6	7	8	6	10	4	6	3	6	4	5	5	
3	4	4	6	2	4	3	3	4	6	3	4	2	3	3	3	
