"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	
1335	846	1322	643	1004	1247	1182	1255	798	959	508	991	537	271	1146	256	779	200	1087	759	
1380	840	1440	670	1410	1250	1260	1300	840	900	540	960	540	280	1150	260	750	200	1110	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
897	546	854	405	864	789	943	792	493	637	265	587	429	122	516	176	469	136	561	374	
27	47	138	80	140	143	61	118	101	49	130	173	61	95	249	40	197	30	175	195	
456	247	448	185	406	318	256	390	246	214	145	200	50	63	385	44	84	34	374	231	
27	47	138	80	140	143	61	118	101	49	130	173	61	95	249	40	197	30	175	195	
897	546	854	405	864	789	943	792	493	637	265	587	429	122	516	176	469	136	561	374	
13	27	5	3	12	14	5	2	2	5	4	7	27	0	3	3	25	0	8	11	
911	566	987	482	992	918	999	908	592	681	391	753	463	217	762	213	641	166	728	558	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	3	8	3	6	6	5	10	6	4	0	2	2	4	1	5	5	1	9	5	
130	84	167	68	117	125	110	127	95	82	76	121	78	25	79	16	43	25	81	53	
62	47	77	35	105	82	42	82	65	73	29	52	31	8	68	20	54	12	65	49	
681	418	715	363	733	689	819	665	410	517	282	564	349	179	603	166	493	125	558	434	
16	7	3	5	9	6	10	5	9	1	1	3	3	1	4	1	13	2	4	10	
8	1	5	2	7	6	2	6	3	2	2	3	0	0	2	1	15	1	4	2	
3	4	3	4	8	2	7	9	4	0	1	6	0	0	4	2	11	0	3	2	
3	2	9	2	7	2	4	4	0	2	0	2	0	0	1	2	7	0	4	3	
