"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №3001"	"УИК №3002"	"УИК №3003"	"УИК №3004"	"УИК №3005"	"УИК №3006"	"УИК №3007"	"УИК №3008"	"УИК №3009"	"УИК №3010"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	2	4	15	2	7	13	4	9	6	3	10	5	2	12	6	9	7	9	16	10	5	11	10	13	6	5	3	2	8	4	11	6	3	6	4	7	5	2	3	16	6	7	4	6	4	4	3	5	6	3	8	5	1	4	2	0	2	9	3	8	6	6	6	5	5	5	4	2	11	4	6	9	11	8	9	8	3	6	12	13	13	6	6	8	3	7	2	9	4	10	9	4	2	6	7	13	3	3	7	0	1	3	0	2	0	0	0	2	
174	217	279	282	190	303	261	159	250	263	199	263	153	253	218	265	309	117	125	281	190	201	204	248	267	243	201	281	54	224	144	187	145	44	186	149	305	139	51	177	270	122	257	170	191	137	217	320	162	202	165	226	139	64	164	132	221	122	242	221	225	152	185	161	178	159	185	216	192	273	156	315	256	217	329	229	237	373	205	276	246	241	165	251	219	157	109	10	225	161	274	201	97	74	152	135	176	94	183	14	12	46	69	1	8	8	13	7	95	
71	87	103	101	59	96	60	68	86	94	64	93	46	76	86	82	79	33	62	88	52	45	63	71	84	87	80	111	29	75	43	80	91	18	56	80	115	63	19	51	95	64	99	50	63	39	96	108	74	80	59	90	78	35	80	60	94	45	113	54	104	65	67	55	104	83	79	74	98	92	47	79	99	86	130	75	61	99	55	85	79	85	96	69	62	61	52	23	112	60	115	93	33	49	80	99	68	51	110	149	5	23	31	6	5	3	5	1	29	
656	746	886	1007	686	954	797	539	822	947	656	917	496	971	870	944	1039	423	442	980	621	695	704	900	953	900	643	1680	258	672	442	739	514	119	498	558	927	450	209	478	947	436	845	497	571	412	719	989	603	600	579	796	535	272	487	387	775	385	889	561	839	633	505	514	793	642	639	652	698	1002	408	942	1006	822	1069	787	720	1097	634	1036	796	885	824	667	679	684	513	139	862	468	893	614	322	317	522	703	666	366	734	350	39	197	224	43	22	24	38	18	231	
20	13	20	35	18	35	18	21	28	27	17	17	14	20	17	29	31	8	6	40	50	24	23	29	25	18	19	36	8	24	11	22	12	4	6	16	25	13	7	14	32	8	25	19	23	18	28	32	15	17	11	27	11	4	9	13	11	9	25	14	19	12	7	7	6	19	16	9	15	22	3	25	20	31	23	21	12	46	19	17	12	25	16	18	17	20	8	2	14	10	18	11	3	5	6	13	10	3	12	15	2	3	5	0	2	0	0	0	11	
5	5	4	10	6	16	9	3	11	8	3	7	5	8	10	7	10	3	8	10	1	11	9	9	7	8	2	6	1	4	4	1	6	1	5	4	6	4	1	5	9	8	4	1	5	2	7	10	6	2	5	5	5	2	4	4	11	4	10	4	11	7	1	3	4	7	9	2	7	12	4	11	5	3	19	4	3	10	11	5	10	5	6	7	4	3	8	0	7	1	10	5	4	1	3	5	6	4	6	1	1	0	1	0	1	0	2	0	1	
5	6	10	18	9	12	13	4	11	11	6	12	9	14	14	12	12	3	4	12	5	8	7	14	15	4	12	13	2	9	5	6	0	1	1	8	6	0	3	6	10	7	12	8	6	3	6	14	5	7	7	5	2	4	3	3	5	8	13	4	6	6	2	2	7	5	5	2	1	10	6	10	9	19	7	6	5	10	6	9	8	15	4	9	11	4	3	2	8	3	8	7	3	2	2	6	4	3	8	6	0	2	2	2	0	2	2	0	4	
8	15	9	12	11	13	8	10	15	10	12	10	2	16	14	11	21	8	6	19	12	9	18	7	11	9	14	5	1	8	3	7	5	2	9	4	16	4	6	9	17	6	15	8	5	11	6	7	11	4	13	7	5	0	6	4	6	6	7	4	15	9	1	3	4	4	5	5	9	13	4	10	13	12	12	5	3	19	7	9	11	8	9	7	7	7	7	1	1	3	7	5	3	5	2	6	8	7	4	1	2	0	3	0	0	0	0	0	1	
