"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	
2013	1603	1029	1100	2084	1750	1852	1829	1525	2085	1005	2100	1673	2046	1450	1605	1228	1658	1745	1986	997	1577	1621	1854	1177	719	1020	2200	2040	1665	1891	1705	1498	1583	1482	2330	2212	2199	2003	1704	1450	2230	1808	1879	1006	482	
1800	1450	1025	950	1900	1560	1800	1660	1385	1945	910	2160	1550	1840	1380	1560	1155	1435	1560	1825	1000	1585	1460	1670	1090	760	1060	2225	1845	1665	1830	1740	1390	1490	1440	2420	2100	2280	2090	1610	1355	2065	1650	1855	990	480	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1505	1046	717	796	1185	941	1176	1194	911	1155	690	1495	1021	1469	995	1129	954	771	1265	1143	547	1103	1209	1369	753	626	520	1692	1328	1233	1153	1217	1007	1039	938	1392	1745	1712	1505	1238	974	1573	1290	1530	819	419	
132	29	18	71	66	50	107	91	24	43	102	43	89	73	103	233	51	71	150	186	173	38	62	159	19	61	30	94	191	101	129	57	50	29	30	342	87	25	46	29	44	36	24	23	94	18	
163	375	290	83	649	569	517	375	450	747	118	622	440	298	282	198	150	593	145	496	280	444	189	142	318	73	510	439	326	331	548	466	333	422	472	686	268	543	539	343	337	456	336	302	77	43	
132	29	18	71	66	50	107	91	24	43	102	43	89	73	103	233	51	71	150	186	173	38	62	159	19	61	30	94	191	101	129	57	50	29	30	342	87	25	46	29	44	36	24	23	94	18	
1505	1046	717	796	1185	941	1176	1194	911	1155	690	1495	1021	1469	995	1129	954	771	1265	1143	547	1103	1209	1369	753	626	520	1692	1328	1233	1153	1217	1007	1039	938	1392	1745	1712	1505	1238	974	1573	1290	1507	819	419	
17	9	13	12	13	11	21	10	14	12	8	25	5	16	13	7	6	9	0	17	13	13	15	9	8	4	7	27	26	0	10	31	14	13	8	26	20	21	12	10	10	12	13	24	11	14	
1620	1066	722	855	1238	980	1262	1275	921	1186	784	1513	1105	1526	1085	1355	999	833	1415	1312	707	1128	1256	1519	764	683	543	1759	1493	1334	1272	1243	1043	1055	960	1708	1812	1716	1539	1257	1008	1597	1301	1506	902	423	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	4	6	6	13	1	3	11	8	3	5	5	5	14	6	9	5	1	18	8	5	10	11	4	2	2	4	9	7	10	8	6	7	5	8	10	23	23	16	10	11	7	6	8	1	1	
253	143	94	124	164	100	159	146	132	130	86	201	180	181	108	130	114	108	240	171	67	134	146	169	77	80	68	207	142	41	174	127	125	129	133	199	232	210	189	145	111	216	162	214	112	44	
128	81	37	65	80	83	84	89	61	114	65	122	91	91	95	71	44	60	88	96	48	77	80	127	80	46	41	107	117	97	82	75	71	76	79	189	109	94	94	74	52	93	81	91	44	16	
1156	803	554	627	947	757	963	970	692	905	611	1137	791	1179	851	1093	803	634	1019	987	565	844	973	1175	576	536	418	1358	1166	1132	960	978	782	812	692	1242	1372	1300	1175	965	785	1217	988	1112	715	347	
38	11	12	16	12	13	16	20	12	16	9	18	11	24	9	17	10	13	18	26	12	24	17	22	9	4	3	30	20	19	20	20	15	15	18	35	26	35	29	26	22	20	20	31	16	5	
13	11	10	6	9	11	12	11	6	7	7	9	12	15	6	21	16	6	14	9	2	13	13	10	8	4	5	20	18	16	13	12	11	8	7	12	10	12	16	11	10	14	11	13	8	2	
8	7	4	5	4	6	14	5	4	7	0	9	9	7	5	4	4	5	11	7	5	9	8	6	5	7	3	11	12	6	4	10	10	2	14	17	21	9	9	10	4	10	16	21	4	6	
18	6	5	6	9	9	11	23	6	4	1	12	6	15	5	10	3	6	7	8	3	17	8	6	7	4	1	17	11	13	11	15	22	8	9	4	19	33	11	16	13	20	17	16	2	2	
