"УИК №3301"	"УИК №3302"	"УИК №3303"	"УИК №3304"	"УИК №3305"	"УИК №3306"	"УИК №3307"	"УИК №3308"	"УИК №3309"	"УИК №3310"	"УИК №3311"	"УИК №3312"	"УИК №3313"	"УИК №3314"	"УИК №3315"	"УИК №3316"	"УИК №3317"	"УИК №3318"	"УИК №3319"	"УИК №3320"	"УИК №3321"	"УИК №3322"	"УИК №3323"	"УИК №3324"	"УИК №3325"	"УИК №3326"	"УИК №3327"	
2261	2329	1920	1620	2317	1843	2506	342	950	1552	702	2376	74	897	1225	391	1530	222	107	1551	1242	647	1491	1771	684	742	371	
2300	2300	1950	1635	2300	1800	2609	340	960	1600	700	2400	70	900	1240	390	1555	225	105	1600	1290	650	1500	1800	700	750	385	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1932	1846	1080	1214	1593	1416	1368	311	828	1392	647	1052	70	750	972	214	757	186	90	1279	654	530	1272	922	551	601	301	
55	179	98	101	309	142	233	14	95	89	29	137	0	105	105	23	108	25	10	141	91	60	167	115	44	29	15	
313	275	772	320	398	242	1008	15	37	119	24	1211	0	45	163	153	690	14	5	180	545	60	61	763	105	120	69	
55	179	98	101	309	142	233	14	95	89	29	137	0	105	105	23	108	25	10	141	91	60	167	115	44	29	15	
1932	1846	1080	1214	1593	1416	1368	311	828	1392	647	1052	70	750	972	214	757	186	90	1279	654	530	1272	922	551	601	301	
20	11	16	12	16	37	17	4	6	6	0	17	1	5	4	3	10	2	0	4	5	0	6	12	2	5	2	
1967	2014	1162	1303	1886	1521	1584	321	917	1475	676	1172	69	850	1073	234	855	209	100	1416	740	590	1433	1025	593	625	314	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

56	57	13	3	11	16	12	3	5	4	1	14	0	6	4	2	4	1	0	5	1	2	3	5	2	1	2	
238	227	222	129	137	208	237	32	53	112	61	176	8	43	305	46	143	19	11	178	121	40	93	171	46	91	16	
124	119	75	68	89	85	122	10	48	53	17	81	6	53	15	15	42	1	5	41	38	30	45	73	27	48	23	
1448	1455	833	1073	1606	1161	1161	275	794	1287	587	876	54	736	737	168	647	188	80	1174	566	514	1279	765	504	480	269	
23	27	7	10	14	13	13	0	7	6	6	8	0	2	2	0	6	0	1	5	4	1	8	3	5	2	2	
27	55	3	8	16	8	22	0	5	10	2	6	0	6	2	0	8	0	0	5	6	1	1	5	4	1	1	
24	33	4	7	10	7	13	1	2	2	2	7	1	1	2	1	2	0	3	5	2	0	4	3	2	1	0	
27	41	5	5	3	23	4	0	3	1	0	4	0	3	6	2	3	0	0	3	2	2	0	0	3	1	1	
