"УИК №1753"	"УИК №1754"	"УИК №1755"	"УИК №1756"	"УИК №1757"	"УИК №1758"	"УИК №1759"	"УИК №1760"	"УИК №1761"	"УИК №1762"	"УИК №1763"	"УИК №1764"	"УИК №1765"	"УИК №1766"	"УИК №1767"	"УИК №1768"	"УИК №1769"	"УИК №1770"	"УИК №1771"	"УИК №1772"	"УИК №1773"	"УИК №1774"	"УИК №1775"	"УИК №1776"	"УИК №1777"	"УИК №1778"	"УИК №1779"	"УИК №1780"	"УИК №1781"	"УИК №1782"	"УИК №1783"	"УИК №1784"	"УИК №1785"	"УИК №1786"	"УИК №1787"	"УИК №1788"	"УИК №1789"	"УИК №1790"	
482	1112	1075	1045	744	1223	683	421	1197	344	412	315	614	363	488	253	296	661	494	727	128	985	628	639	441	581	144	181	160	373	762	823	331	698	386	584	787	386	
481	1136	1113	1075	765	1283	705	432	1245	355	417	322	645	378	496	256	301	678	514	750	135	1062	645	660	460	612	144	179	162	372	799	857	339	714	398	611	778	410	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
389	713	847	708	597	811	597	320	921	252	302	289	459	311	401	227	240	534	329	556	81	787	473	488	323	444	118	165	130	302	606	615	237	554	325	441	596	331	
19	44	23	29	6	14	10	62	60	38	6	20	25	24	19	14	13	29	27	42	18	40	42	61	39	33	13	0	0	19	30	68	30	38	9	42	58	11	
73	379	243	338	162	458	98	50	264	65	109	13	161	43	76	15	48	115	158	152	36	235	130	111	98	135	13	14	32	51	163	174	72	122	64	128	124	68	
19	44	23	29	6	14	10	62	60	38	6	20	25	24	19	14	13	29	27	42	18	40	42	61	39	33	13	0	0	19	30	68	30	38	9	42	58	11	
389	713	847	708	591	811	597	320	921	252	302	289	437	311	401	227	240	534	329	556	81	787	473	488	323	444	118	165	130	302	606	615	237	554	325	441	596	331	
1	10	0	5	3	16	0	4	0	0	0	0	8	0	2	0	5	0	2	3	0	0	0	4	0	0	0	0	0	2	3	2	0	0	0	1	3	0	
407	747	870	732	594	809	607	378	981	290	308	309	454	335	418	241	248	563	354	595	99	827	515	545	362	477	131	165	130	319	633	681	267	592	334	482	651	342	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	3	3	0	5	4	4	6	0	1	0	3	0	0	0	1	6	2	2	0	0	4	7	0	5	0	0	2	0	7	5	5	9	1	2	3	0	
55	141	88	152	95	163	89	45	112	32	55	36	60	30	39	8	30	72	53	99	3	104	54	52	23	56	3	3	2	40	72	130	30	42	24	48	107	17	
18	52	51	59	14	58	21	15	58	25	15	8	11	12	32	7	5	46	36	76	6	9	32	25	5	23	8	6	6	13	32	22	24	46	28	42	17	14	
326	530	704	495	475	563	485	302	785	228	229	259	366	290	336	221	199	412	245	409	90	714	412	451	331	386	117	154	114	263	513	512	196	478	277	383	517	303	
2	7	3	5	0	5	3	3	15	2	4	4	3	2	4	3	8	9	10	3	0	0	3	2	0	1	1	0	0	1	1	6	1	6	2	0	2	2	
2	8	7	5	5	7	0	7	3	2	1	2	3	1	3	1	2	9	5	2	0	0	6	2	3	4	1	2	6	0	1	4	6	5	0	3	4	6	
0	5	5	7	5	4	0	1	1	1	0	0	3	0	3	0	0	4	2	3	0	0	3	2	0	1	1	0	0	2	3	2	4	4	2	2	0	0	
2	0	9	6	0	4	5	1	1	0	3	0	5	0	1	1	3	5	1	1	0	0	1	4	0	1	0	0	0	0	4	0	1	2	0	2	1	0	
