"УИК №3101"	"УИК №3102"	"УИК №3103"	"УИК №3104"	"УИК №3105"	
714	191	45	96	16	
645	190	55	140	20	
0	0	0	0	0	
429	118	33	77	11	
39	6	0	0	0	
177	66	22	63	9	
39	6	0	0	0	
429	118	33	77	11	
5	0	0	0	0	
463	124	33	77	11	
0	0	0	0	0	
0	0	0	0	0	

1	0	0	0	0	
24	4	0	9	0	
47	4	2	12	0	
386	116	31	54	11	
3	0	0	1	0	
1	0	0	1	0	
1	0	0	0	0	
0	0	0	0	0	
