"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	
655	336	465	1878	491	315	609	
733	350	540	2163	504	328	615	
147	41	72	181	80	42	137	
467	265	357	1643	373	258	446	
39	22	33	40	35	8	21	
80	22	78	299	16	20	11	
186	63	105	221	115	50	158	
467	265	357	1643	373	258	446	
2	0	0	21	0	2	0	
651	328	462	1843	488	306	604	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

0	0	0	3	0	0	0	
0	2	0	40	1	3	1	
1	3	0	23	0	0	1	
647	320	462	1762	487	300	601	
0	0	0	10	0	3	0	
1	2	0	3	0	0	1	
1	1	0	2	0	0	0	
1	0	0	0	0	0	0	
