"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1326"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1342"	"УИК №1343"	"УИК №1344"	"УИК №1345"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	"УИК №1351"	"УИК №1352"	"УИК №1353"	"УИК №1354"	"УИК №1355"	"УИК №1356"	"УИК №1357"	"УИК №2231"	"УИК №2232"	
1537	1634	2288	635	2725	2121	767	1810	2181	1583	1831	2046	1834	1055	1263	1339	1066	1457	1277	2128	401	1891	1657	1576	1866	1388	1973	2306	2180	1232	1830	870	1495	1911	1632	2002	1637	1432	1669	1697	1817	1927	2444	1976	424	210	487	
1400	1500	1800	600	2500	1800	600	1600	2000	1400	1600	2000	1300	800	1200	1100	900	1100	1100	2000	300	1500	1600	1400	1700	1300	1900	1900	1700	1100	1400	700	1300	1800	1500	1900	1600	1300	1500	1600	1600	1800	2000	1700	350	212	515	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
953	1063	1473	440	1740	1452	511	1109	1379	1003	1126	1296	1227	651	914	874	741	1043	782	1267	265	1220	1211	1042	1189	917	1240	1629	1549	788	1301	595	1079	1361	1097	1336	1100	964	1084	1279	1229	1270	1781	1423	294	173	322	
50	57	162	42	125	38	18	72	92	83	148	118	49	110	25	66	36	57	81	149	12	60	57	52	63	69	117	73	62	53	66	35	57	55	78	74	59	58	50	53	60	65	90	79	46	37	165	
397	380	165	118	635	310	71	419	529	314	325	586	24	39	261	160	123	0	237	584	23	220	332	306	448	314	543	198	89	259	33	70	164	384	325	490	441	278	366	268	311	465	129	198	10	2	28	
50	57	162	42	125	38	18	72	92	83	148	118	49	110	25	66	36	57	81	149	12	60	57	52	63	69	118	73	62	53	66	35	57	55	78	74	59	58	50	53	60	65	90	79	46	37	165	
951	1063	1473	440	1740	1450	511	1108	1379	1002	1125	1293	1227	650	914	874	741	1042	781	1266	265	1220	1205	1042	1189	917	1239	1629	1547	788	1301	595	1077	1359	1097	1333	1100	963	1082	1279	1229	1268	1774	1423	294	173	322	
35	33	43	11	20	31	11	25	33	18	10	24	29	13	17	21	19	18	13	12	8	29	21	12	29	13	56	22	33	15	29	5	11	24	15	27	21	18	23	32	17	18	38	16	5	3	14	
966	1087	1592	471	1845	1457	518	1155	1438	1067	1263	1387	1247	747	922	919	758	1081	849	1403	269	1251	1241	1082	1223	973	1301	1680	1576	826	1338	625	1123	1390	1160	1380	1138	1003	1109	1300	1272	1315	1826	1486	335	207	473	
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	6	11	1	11	11	8	12	12	4	11	11	8	3	3	7	11	6	5	18	0	10	12	9	17	8	7	16	17	5	9	8	12	10	16	15	16	8	10	11	9	10	11	15	3	1	2	
141	126	190	75	274	286	83	144	202	127	200	198	182	90	124	152	112	173	82	165	34	200	183	189	193	156	191	215	242	115	224	88	132	216	155	170	167	139	175	236	171	162	292	225	38	29	62	
91	102	179	35	169	108	54	89	101	87	103	99	95	62	50	63	40	80	65	102	32	95	68	58	86	64	101	121	106	49	82	41	73	84	68	82	76	64	81	119	83	94	95	82	23	13	42	
694	816	1177	346	1328	980	355	851	1058	795	882	1001	916	571	685	652	548	759	658	1040	187	890	890	776	857	689	924	1219	1122	588	922	453	805	962	823	1008	798	717	783	853	926	958	1306	1040	255	159	349	
11	18	14	2	27	25	7	26	22	25	26	35	15	7	26	17	15	30	16	41	11	25	38	26	26	19	30	46	39	29	52	15	51	57	51	41	26	34	30	41	42	36	43	55	7	3	7	
8	10	9	5	13	20	2	7	12	10	10	9	10	1	9	4	5	6	6	5	0	6	9	6	13	12	22	15	7	10	11	2	10	6	8	11	12	9	1	12	11	16	17	14	3	0	6	
6	5	5	2	13	15	6	16	12	9	13	16	8	9	11	15	13	18	5	16	3	9	12	10	17	13	11	27	16	12	16	7	17	24	14	21	19	22	11	15	9	12	26	22	4	1	1	
9	4	7	5	10	12	3	10	19	10	18	18	13	4	14	9	14	9	12	16	2	16	29	8	14	12	15	21	27	18	22	11	23	31	25	32	24	10	18	13	21	27	36	33	2	1	4	
