"УИК №3020"	"УИК №3021"	"УИК №3022"	"УИК №3023"	"УИК №3024"	"УИК №3025"	"УИК №3026"	"УИК №3027"	"УИК №3028"	"УИК №3029"	"УИК №3030"	"УИК №3031"	"УИК №3032"	"УИК №3033"	"УИК №3034"	"УИК №3035"	"УИК №3036"	"УИК №3037"	"УИК №3038"	"УИК №3039"	"УИК №3040"	"УИК №3041"	"УИК №3042"	"УИК №3043"	"УИК №3044"	"УИК №3045"	"УИК №3046"	"УИК №3047"	"УИК №3048"	"УИК №3049"	"УИК №3050"	"УИК №3051"	"УИК №3052"	"УИК №3053"	"УИК №3054"	"УИК №3055"	"УИК №3056"	"УИК №3057"	"УИК №3058"	"УИК №3059"	"УИК №3060"	"УИК №3061"	"УИК №3062"	"УИК №3063"	"УИК №3064"	
2164	2213	2122	2509	2424	2258	1124	1578	970	2461	2266	1980	1221	1635	1832	1685	2478	1227	2443	2237	2237	2119	1432	1924	2182	2264	2166	1801	1666	2352	2036	1776	2065	1553	1686	2317	2513	2399	3259	2273	1850	2934	2445	2467	706	
1800	1900	1800	2100	2000	2000	1000	1300	800	2100	1900	1700	1100	1300	1600	1400	2100	1000	2000	1900	1900	1800	1200	1600	1800	1900	1800	1500	1400	2000	1700	1500	1700	1200	1400	1900	2100	2000	2200	2100	1800	2400	1900	2000	650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1224	1409	1152	1470	1427	1264	627	992	609	1422	1306	1093	654	1053	1035	972	1457	670	1441	1320	1256	1195	854	1169	1276	1312	1228	1007	935	1347	1171	979	1207	988	979	1331	1507	1420	1980	1513	1331	1589	1392	1460	449	
59	50	51	32	43	51	23	18	8	34	26	32	26	29	25	15	45	22	53	37	35	65	30	26	39	32	6	33	43	59	51	53	46	13	18	32	53	47	25	24	10	33	49	47	20	
517	441	597	598	530	685	350	290	183	644	568	575	420	218	540	413	598	308	506	543	609	540	316	405	485	556	566	460	422	594	478	468	447	199	403	537	540	533	195	563	459	778	459	493	181	
59	50	50	32	43	51	23	18	8	34	26	32	26	28	25	15	45	22	53	37	35	65	29	26	39	32	6	33	43	59	51	53	46	13	18	32	53	47	25	24	10	33	49	47	20	
1222	1403	1148	1467	1424	1261	626	991	609	1421	1304	1090	654	1052	1030	972	1457	669	1440	1320	1254	1191	852	1168	1274	1312	1227	993	935	1343	1165	979	1207	988	979	1331	1507	1420	1979	1499	1330	1582	1392	1459	449	
11	55	13	12	20	16	8	7	4	9	15	15	9	11	8	16	20	7	25	11	16	14	14	15	15	20	9	19	14	14	17	12	15	12	12	11	15	21	23	35	24	9	6	14	1	
1270	1398	1185	1487	1447	1296	641	1002	613	1446	1315	1107	671	1069	1047	971	1482	684	1468	1346	1273	1242	867	1179	1298	1324	1224	1007	964	1388	1199	1020	1238	989	985	1352	1545	1446	1981	1488	1316	1606	1435	1492	468	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	11	19	20	23	13	10	7	2	14	9	9	5	11	7	10	15	7	10	8	11	9	10	13	19	12	12	11	10	20	18	8	14	15	16	9	15	12	19	8	9	19	13	15	8	
169	176	148	166	143	128	68	121	69	176	156	162	88	152	121	108	153	82	145	159	131	146	93	151	127	175	163	118	92	157	171	111	116	126	105	179	173	158	245	207	203	229	179	198	74	
64	51	40	76	58	45	24	49	50	66	53	48	42	43	47	37	67	15	74	68	64	50	30	54	67	53	62	34	54	70	50	35	49	44	41	62	75	99	103	116	111	54	75	66	24	
932	1040	849	1089	1095	972	499	744	459	1068	967	775	471	727	781	700	1091	513	1103	1002	954	910	674	875	977	965	889	753	715	1005	850	750	928	673	706	968	1106	1072	1472	1053	931	1105	1006	1066	331	
37	54	53	59	48	49	15	35	16	51	54	35	30	49	33	40	69	22	67	46	48	44	24	37	42	44	39	38	44	61	44	42	55	42	44	50	66	58	67	38	27	91	72	55	13	
8	8	8	11	10	11	1	5	4	10	5	8	2	12	7	6	11	3	15	7	15	17	7	9	10	9	7	7	8	3	6	13	3	12	6	11	19	12	9	18	7	9	10	15	2	
14	27	27	22	23	17	8	8	1	20	22	22	13	23	15	28	33	14	19	13	23	18	8	12	15	16	20	9	8	19	19	16	34	22	31	23	32	15	27	13	12	27	22	17	6	
39	31	41	44	47	61	16	33	12	41	49	48	20	52	36	42	43	28	35	43	27	48	21	28	41	50	32	37	33	53	41	45	39	55	36	50	59	20	39	35	16	72	58	60	10	
