"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	
1500	1507	1212	1105	334	590	571	448	278	780	183	586	870	510	1250	424	346	
1559	1558	1264	1156	324	601	570	463	301	823	183	604	888	522	1274	442	333	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
861	925	759	662	173	395	251	268	200	420	98	389	493	338	618	240	227	
68	26	44	37	50	72	126	71	25	106	33	53	149	42	100	74	50	
630	607	461	457	101	134	193	124	76	297	52	162	246	142	556	128	56	
68	26	44	37	50	72	126	71	25	106	33	53	149	42	100	74	50	
861	925	759	662	173	395	251	268	200	420	98	389	493	338	617	240	227	
12	3	8	5	0	1	4	3	1	7	0	4	6	2	2	2	1	
917	948	795	694	223	466	373	336	224	519	131	438	636	378	715	312	276	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	3	6	2	3	1	2	3	0	4	1	0	3	0	5	3	0	
196	185	167	173	11	27	36	21	15	78	15	37	83	33	79	51	28	
50	42	56	31	15	24	12	30	15	27	10	18	45	24	44	24	9	
651	700	550	472	189	406	321	278	194	401	103	381	493	313	580	222	233	
2	6	4	4	0	2	1	1	0	1	2	1	4	2	1	2	4	
6	6	5	7	0	1	1	1	0	7	0	1	5	4	1	6	2	
5	4	4	4	2	4	0	0	0	1	0	0	2	1	2	3	0	
2	2	3	1	3	1	0	2	0	0	0	0	1	1	3	1	0	
