"УИК №2054"	"УИК №2055"	"УИК №2056"	"УИК №2057"	"УИК №2058"	"УИК №2059"	"УИК №2060"	"УИК №2061"	"УИК №2062"	"УИК №2063"	"УИК №2064"	"УИК №2065"	"УИК №2066"	"УИК №2067"	"УИК №2068"	"УИК №2069"	"УИК №2070"	"УИК №2071"	"УИК №2072"	"УИК №2073"	"УИК №2074"	"УИК №2075"	"УИК №2076"	"УИК №2077"	"УИК №2078"	"УИК №2079"	"УИК №2080"	"УИК №2081"	"УИК №2082"	"УИК №2083"	"УИК №2084"	"УИК №2085"	"УИК №2086"	"УИК №2088"	"УИК №2089"	"УИК №2090"	"УИК №2091"	"УИК №2092"	"УИК №2093"	"УИК №2094"	"УИК №2095"	"УИК №2096"	"УИК №2097"	"УИК №2098"	"УИК №2099"	"УИК №2100"	"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2229"	
1695	1375	1664	612	919	1331	1127	1358	2301	1919	1572	1659	2043	1840	1891	1822	2191	2011	1577	1470	1910	1148	1926	1964	1708	2095	2094	2381	2590	1495	1600	1848	1538	1640	1469	343	1640	1721	1232	2009	2237	2323	1392	2759	2216	1791	1673	2696	1134	1917	764	1989	957	2280	2001	2461	2387	2415	3561	878	665	
1500	1200	1750	800	800	1200	1000	1200	2200	1500	1200	1500	1800	1700	1700	1550	2000	2000	1300	1300	1500	1100	1600	1600	1500	1700	1900	2200	2500	1200	1500	1500	1300	1400	1200	300	1500	1500	1000	1800	1800	2200	1300	2500	2000	1500	1500	2500	1000	1800	700	1800	800	2000	1700	2200	2200	2200	3000	700	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1069	879	1190	433	678	849	698	857	1564	1259	970	953	1328	1179	1202	1147	1463	1253	1062	977	1187	806	1157	1187	1025	1253	1289	1582	1543	880	964	1005	925	994	847	259	900	874	715	1124	1459	1351	874	1678	1312	1124	1067	1649	719	971	396	1409	505	1373	1058	1452	1404	1379	2291	536	623	
115	41	39	179	20	27	36	27	45	23	36	37	33	38	54	29	24	35	45	67	54	34	44	34	52	37	41	44	90	27	28	32	18	25	39	3	53	54	21	56	41	59	38	32	46	35	66	34	27	29	25	43	34	41	27	48	18	44	119	44	0	
316	280	521	188	102	324	266	316	591	218	194	510	439	483	444	374	513	712	193	256	259	260	399	379	423	410	570	575	867	293	508	463	357	381	314	38	547	572	264	620	300	790	388	790	642	341	367	817	254	800	279	348	261	586	615	700	778	777	590	120	77	
115	41	39	179	20	27	36	27	45	23	36	37	33	38	54	29	24	35	45	67	54	34	44	34	52	37	41	44	90	27	28	32	18	25	39	3	53	54	21	56	41	59	38	32	46	35	66	34	27	29	25	43	34	41	27	48	18	44	119	44	0	
1069	879	1189	433	678	847	698	857	1563	1259	970	952	1326	1176	1181	1147	1463	1253	1060	977	1186	806	1156	1187	1025	1252	1288	1581	1543	879	964	1005	925	994	847	259	900	874	715	1124	1459	1350	873	1678	1312	1124	1065	1649	719	971	396	1409	505	1372	1058	1452	1404	1379	2291	536	623	
13	9	15	7	5	14	11	11	36	25	20	5	15	16	21	14	20	18	15	14	13	11	11	15	25	12	15	22	24	9	15	14	13	10	12	4	13	10	9	20	13	24	13	71	14	19	18	11	11	12	58	24	6	21	22	20	16	9	24	2	12	
1171	911	1213	605	693	860	723	873	1572	1257	986	984	1344	1198	1214	1162	1467	1270	1090	1030	1227	829	1189	1206	1052	1277	1314	1603	1609	897	977	1023	930	1009	874	258	940	918	727	1160	1487	1385	898	1639	1344	1140	1113	1672	735	988	363	1428	533	1392	1063	1480	1406	1414	2386	578	611	
