"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	"УИК №2217"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	"УИК №2222"	"УИК №2223"	"УИК №2224"	"УИК №2225"	"УИК №2226"	"УИК №2227"	"УИК №2228"	"УИК №2229"	"УИК №2230"	"УИК №2231"	"УИК №2232"	"УИК №2233"	"УИК №2234"	"УИК №2235"	"УИК №2236"	"УИК №2237"	"УИК №2238"	"УИК №2240"	"УИК №2241"	"УИК №2242"	"УИК №2243"	"УИК №2244"	"УИК №2245"	"УИК №2246"	"УИК №2247"	"УИК №2248"	"УИК №2249"	"УИК №2250"	"УИК №2251"	"УИК №2252"	"УИК №2253"	"УИК №2254"	"УИК №2255"	"УИК №2256"	"УИК №2257"	"УИК №2258"	"УИК №2259"	"УИК №2260"	"УИК №2261"	"УИК №2262"	"УИК №2263"	"УИК №2264"	"УИК №2265"	"УИК №2266"	"УИК №2267"	"УИК №2268"	"УИК №2269"	"УИК №2270"	"УИК №2271"	"УИК №2272"	"УИК №2273"	"УИК №2274"	"УИК №2275"	"УИК №2276"	"УИК №2277"	"УИК №2278"	"УИК №2279"	
1485	1792	1760	1717	1740	1559	1848	1441	1740	1583	2014	2181	2374	1476	1918	1836	2425	1660	2208	1362	1343	685	1500	2022	2010	1703	1895	1809	2089	1057	1719	1645	1275	1261	946	790	884	1160	2091	1679	2037	1897	1661	1807	2132	2286	1522	1959	1381	1231	1075	1357	2029	487	1094	1501	1425	1342	1065	1465	2025	2034	1458	1601	725	1434	1353	1618	1912	749	1257	1134	1121	1190	1755	2450	1875	324	
1370	1730	1750	1510	1650	1360	1740	1260	1680	1470	1960	2090	2270	1340	1890	1690	2370	1610	1980	1260	1200	680	1360	1790	1960	1460	1650	1700	1940	1020	1610	1480	1290	1050	890	720	870	1090	2030	1490	1990	1730	1660	1780	2090	2200	1450	1850	1360	1150	990	1280	1890	460	1090	1500	1430	1440	980	1390	1830	1990	1420	1610	690	1220	1290	1520	1880	730	1200	1140	1000	1150	1580	1870	1550	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1057	1295	1339	1255	1251	1047	1469	1009	1407	1246	1345	1759	1612	998	1242	1235	1495	996	1393	1048	973	444	1097	1552	1592	1272	1332	1265	1556	857	1262	1303	1012	998	600	643	700	629	1649	1197	1443	1474	1349	1318	1689	1930	1176	1454	1001	908	802	1077	1535	432	848	1086	1068	996	862	1140	1469	1591	1203	1328	596	1086	1208	1305	1469	647	928	1083	910	943	1253	1719	1209	4	
18	22	25	17	16	13	25	14	23	16	16	19	11	17	18	14	19	15	17	11	24	33	17	16	12	25	48	26	11	7	18	13	8	10	26	5	10	30	23	19	27	18	30	68	31	32	17	21	17	15	8	17	24	7	16	37	23	27	12	23	20	26	14	21	24	27	12	18	31	11	37	16	10	6	9	13	24	320	
295	413	386	238	383	300	246	237	250	208	599	312	647	325	630	441	856	599	570	201	203	203	246	222	356	163	270	409	373	156	330	164	270	42	264	72	160	431	358	274	520	238	281	394	370	238	257	375	342	227	180	186	331	21	226	377	339	417	106	227	341	373	203	261	70	107	70	197	380	72	232	41	80	201	318	138	317	26	
18	22	25	17	16	13	25	14	23	16	16	19	11	17	18	14	19	15	17	11	24	33	17	16	12	25	48	26	11	7	18	13	8	10	26	5	10	30	23	19	27	18	30	68	31	32	17	21	17	15	8	17	24	7	16	37	23	27	12	23	20	26	14	21	24	27	12	18	31	11	37	16	9	6	9	13	24	320	
1057	1295	1339	1255	1235	1047	1469	1009	1407	1246	1345	1759	1612	998	1242	1235	1495	996	1393	1048	973	444	1097	1552	1592	1272	1332	1265	1555	857	1262	1303	1012	998	600	643	700	629	1649	1197	1443	1473	1349	1318	1689	1930	1176	1454	1001	908	802	1077	1535	432	848	1082	1068	996	862	1140	1469	1591	1201	1325	596	1086	1208	1305	1468	647	928	1083	908	943	1253	1719	1209	4	
13	22	17	5	10	0	14	12	5	4	25	6	23	12	18	14	32	2	11	1	8	10	14	17	13	95	28	18	25	12	11	9	9	3	11	1	3	3	32	0	20	20	15	22	26	16	8	21	0	3	6	4	23	3	0	0	11	15	0	12	16	14	9	5	4	0	10	18	22	7	10	8	8	2	0	8	10	2	
1062	1295	1347	1267	1241	1060	1480	1011	1425	1258	1336	1772	1600	1003	1242	1235	1482	1009	1399	1058	989	467	1100	1551	1591	1202	1352	1273	1541	852	1269	1307	1011	1005	615	647	707	656	1640	1216	1450	1471	1364	1364	1694	1946	1185	1454	1018	920	804	1090	1536	436	864	1119	1080	1008	874	1151	1473	1603	1206	1341	616	1113	1210	1305	1477	651	955	1091	909	947	1262	1724	1223	322	
