"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	
168	127	151	195	231	226	380	72	407	108	48	296	209	163	258	66	1658	2365	195	
180	170	180	230	270	270	400	70	500	100	70	300	230	170	300	70	1760	2500	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
126	87	120	158	159	132	234	40	276	71	22	200	138	92	181	52	975	1321	144	
12	19	12	15	22	10	26	9	23	5	10	26	16	10	36	3	60	124	16	
42	64	48	57	89	128	140	21	201	24	38	74	76	68	83	15	725	1055	70	
12	19	12	15	22	10	26	9	23	5	10	26	16	10	36	3	60	124	16	
126	87	120	158	159	132	234	40	276	71	22	200	138	92	181	52	975	1321	144	
1	1	2	5	2	3	5	1	5	1	1	2	1	0	4	0	15	22	4	
137	105	130	168	179	139	255	48	294	75	31	224	153	102	213	55	1020	1423	156	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	3	2	0	1	1	1	1	0	0	2	1	2	1	1	8	11	0	
6	22	37	29	17	6	46	13	53	12	1	40	39	49	36	7	210	307	16	
33	12	12	12	13	16	28	8	36	11	6	42	21	5	20	8	96	159	14	
95	61	78	124	149	111	174	23	200	50	22	137	91	44	153	37	672	920	120	
0	5	0	0	0	1	3	0	2	1	0	1	0	1	1	1	14	10	3	
1	3	0	0	0	3	1	3	1	1	2	1	0	0	2	0	8	5	2	
0	1	0	0	0	1	2	0	1	0	0	0	1	1	0	0	4	7	0	
0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	8	4	1	
