"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	
2455	1945	2644	1745	2397	1638	642	2039	1567	1529	1401	2497	2302	2402	1384	1262	1907	2320	2202	2315	2438	2374	2079	1720	1909	2547	2375	1910	1846	2165	1298	2470	2485	2128	2336	2248	2262	3027	2800	3334	2930	2319	2136	2057	1998	2328	1911	1375	328	1101	533	2290	3121	3235	855	382	393	
2200	1600	2500	1600	2000	1500	500	1500	1200	1200	1200	2000	2000	2000	1200	1000	1500	2000	2000	2000	2000	2000	2000	1500	1700	2200	2000	1800	1500	2000	1000	2200	2200	2000	2000	2000	2000	2500	2200	2500	2200	2000	1800	1800	1800	2000	1500	1000	250	1000	400	2000	2500	2500	856	384	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1580	1052	1710	1064	1610	1051	376	1108	932	944	879	1592	1439	1453	763	800	1191	1422	1393	1428	1572	1587	1346	1057	1293	1601	1477	1160	1110	1339	908	1595	1601	1415	1484	1485	1481	1976	1835	2305	1949	1539	1379	1319	1360	1435	1030	749	124	697	326	1336	1896	2093	50	382	393	
126	308	52	29	32	39	8	35	25	27	42	32	37	40	56	31	69	61	34	100	45	48	64	29	51	55	72	90	201	88	22	33	32	46	39	37	39	41	33	39	20	51	73	43	35	41	101	81	60	15	26	67	21	17	799	0	0	
494	240	738	507	358	410	116	357	243	229	279	376	524	507	381	169	240	517	573	472	383	365	590	414	356	544	451	550	189	573	70	572	567	539	477	478	480	483	332	156	231	410	348	438	405	524	369	170	66	288	48	597	583	390	7	2	107	
126	308	52	29	32	39	8	35	25	27	42	32	37	40	56	31	69	61	34	100	45	48	64	29	51	55	72	90	201	88	22	33	32	46	39	37	39	41	33	39	20	51	72	43	35	41	101	81	60	15	26	67	21	17	790	0	0	
1578	1052	1710	1064	1608	1051	376	1108	931	944	878	1592	1437	1452	763	800	1191	1421	1393	1427	1572	1587	1346	1057	1293	1601	1476	1160	1110	1339	908	1594	1598	1415	1475	1483	1478	1976	1817	2299	1946	1539	1378	1319	1360	1435	1029	749	124	697	326	1336	1890	2093	41	382	393	
13	17	18	16	14	18	6	11	14	18	12	23	12	10	11	8	26	20	10	18	22	22	16	14	14	16	22	21	11	18	8	23	25	26	18	11	17	16	20	29	24	24	25	9	15	9	14	6	1	7	8	19	17	15	1	9	2	
1691	1343	1744	1077	1626	1072	378	1132	942	953	908	1601	1462	1482	808	823	1234	1462	1417	1509	1595	1613	1394	1072	1330	1640	1526	1229	1300	1409	922	1604	1605	1435	1496	1509	1500	2001	1830	2309	1942	1566	1425	1353	1380	1467	1116	824	183	705	344	1384	1894	2095	830	373	391	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

17	16	18	11	19	14	2	5	8	9	9	8	14	12	6	5	9	18	10	9	17	13	15	13	9	11	13	12	6	18	7	17	18	15	10	12	25	14	12	16	9	22	6	11	7	9	15	5	0	2	4	9	9	7	7	6	1	
215	162	193	149	196	135	47	120	113	125	107	158	153	185	70	95	148	149	153	209	201	188	133	118	141	181	187	121	154	151	103	183	189	153	169	181	175	228	193	256	235	161	175	140	139	139	116	81	11	66	42	120	177	196	81	6	38	
72	84	98	60	85	62	38	65	60	56	44	91	73	93	69	57	80	98	85	80	105	84	86	56	89	111	110	74	63	90	64	109	103	120	101	113	105	97	113	164	130	84	70	114	95	110	87	62	15	40	32	99	134	146	58	71	26	
1270	999	1331	794	1235	781	264	867	702	705	690	1260	1125	1117	606	633	943	1116	1113	1122	1194	1219	1079	823	1022	1253	1135	946	998	1101	693	1200	1200	1096	1149	1138	1110	1557	1394	1737	1484	1232	1109	1031	1085	1155	848	634	151	581	258	1108	1509	1689	666	243	312	
46	31	44	24	48	34	13	41	26	26	20	37	41	36	18	17	21	30	21	26	26	47	36	25	24	36	28	20	29	17	23	36	27	22	29	25	41	50	44	66	28	25	27	20	27	29	19	19	3	10	2	18	37	28	3	40	9	
14	11	5	6	8	8	4	7	5	4	11	9	8	12	11	4	9	15	9	14	13	12	13	11	7	9	17	11	10	6	6	13	27	11	16	15	6	11	19	11	13	15	10	18	8	12	5	10	0	2	5	5	5	7	5	1	0	
25	16	26	13	9	13	4	12	11	13	13	18	29	11	10	8	11	19	11	18	15	24	11	12	15	17	14	20	16	12	11	16	19	9	10	12	16	20	21	29	21	9	12	10	6	8	14	9	0	0	1	12	15	13	2	3	3	
32	24	29	20	26	25	6	15	17	15	14	20	19	16	18	4	13	17	15	31	24	26	21	14	23	22	22	25	24	14	15	30	22	9	12	13	22	24	34	30	22	18	16	9	13	5	12	4	3	4	0	13	8	9	8	3	2	
