"УИК №668"	"УИК №669"	"УИК №671"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	
2203	280	580	518	346	375	428	139	294	357	474	599	239	302	360	249	
2350	300	595	535	350	365	420	150	300	360	480	610	240	315	370	260	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1335	107	324	351	206	257	331	52	212	253	337	502	155	136	260	154	
161	128	149	131	104	69	61	74	32	55	114	35	69	136	71	58	
854	65	122	53	40	39	28	24	56	52	29	73	16	43	39	48	
161	128	149	131	104	69	61	74	32	55	114	35	69	136	71	58	
1335	107	324	351	206	257	331	52	212	253	337	502	155	136	260	154	
18	2	2	0	3	3	6	0	2	1	1	3	1	0	0	2	
1478	233	471	482	307	323	386	126	242	307	450	534	223	272	331	210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	2	2	2	1	1	0	0	0	0	2	5	1	0	0	0	
215	10	71	41	6	24	18	22	21	17	27	32	13	12	14	27	
94	13	37	26	22	21	4	0	4	14	21	9	3	4	23	3	
1130	205	357	405	275	275	362	104	213	270	391	479	206	254	291	178	
14	2	2	5	1	1	1	0	0	3	3	4	0	1	2	0	
9	0	0	2	2	0	1	0	2	2	5	0	0	1	0	2	
3	0	1	0	0	0	0	0	2	1	0	4	0	0	1	0	
5	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	
