"УИК №2630"	"УИК №2631"	"УИК №2632"	"УИК №2633"	"УИК №2634"	"УИК №2635"	"УИК №2636"	"УИК №2637"	"УИК №2638"	"УИК №2639"	"УИК №2640"	"УИК №2641"	"УИК №2642"	"УИК №2643"	"УИК №2644"	"УИК №2645"	"УИК №2646"	"УИК №2647"	"УИК №2648"	"УИК №2649"	"УИК №2650"	"УИК №2651"	"УИК №2652"	"УИК №2653"	"УИК №2654"	"УИК №2655"	"УИК №2656"	"УИК №2657"	"УИК №2658"	"УИК №2659"	"УИК №2660"	"УИК №2661"	"УИК №2662"	"УИК №2663"	"УИК №2664"	"УИК №2665"	"УИК №2666"	"УИК №3757"	
2811	2319	1877	2263	2385	2141	2317	2117	2536	2642	3178	2367	2254	2085	2027	2546	2160	1874	1502	2248	2216	2219	2140	2398	2103	2683	2540	2605	2650	2683	2548	2368	2465	2759	2107	2301	2744	619	
2400	2100	1700	1900	2100	1900	2100	1900	2200	2200	2600	2100	2000	1800	1800	2200	1800	1600	1200	2000	2000	2000	2000	2100	1700	2400	2200	2300	2300	2100	2200	2000	2000	2300	1900	2000	2400	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1592	1198	1042	1276	1447	1238	1479	1212	1337	1426	1777	1174	1300	1174	1178	1335	1162	1024	905	1209	1334	1313	1150	1238	1148	1385	1343	1343	1364	1338	1364	1324	1370	1481	1131	1277	1478	368	
68	61	55	39	46	36	35	24	45	37	48	64	60	60	46	85	56	36	36	47	41	54	38	68	56	70	82	58	62	70	75	41	58	84	79	72	46	188	
740	841	603	585	607	626	586	664	818	737	775	862	640	566	576	780	582	540	259	744	625	633	812	794	496	945	775	899	874	692	761	635	572	735	690	651	876	444	
67	61	55	39	46	36	35	24	45	37	48	64	60	60	46	85	56	36	36	47	41	54	38	67	56	70	82	58	62	70	75	41	58	84	79	72	46	188	
1574	1198	1040	1237	1447	1238	1476	1212	1337	1426	1776	1174	1300	1174	1177	1335	1162	1024	905	1207	1333	1311	1149	1235	1148	1384	1341	1285	1353	1335	1364	1322	1368	1481	1131	1277	1469	368	
19	35	22	31	31	18	35	40	28	30	23	20	16	11	27	20	26	16	11	21	12	39	14	55	13	11	12	19	17	18	25	23	23	46	12	26	17	6	
1622	1224	1073	1245	1462	1256	1476	1196	1354	1433	1801	1218	1344	1223	1196	1400	1192	1044	930	1233	1362	1326	1173	1247	1191	1443	1411	1324	1398	1387	1414	1340	1403	1519	1198	1323	1498	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	15	9	16	12	10	28	10	13	17	15	19	18	11	22	13	11	7	11	7	15	22	8	13	16	12	19	9	11	18	7	12	9	10	10	10	12	5	
229	169	109	147	202	137	180	145	156	156	229	140	156	132	141	159	138	146	89	156	168	166	138	148	159	165	162	162	176	141	160	147	144	192	138	159	190	46	
62	62	61	83	72	54	64	55	64	77	127	69	62	80	70	85	69	78	71	59	88	69	64	61	53	81	61	68	66	64	74	68	83	86	53	57	60	29	
1172	872	800	901	1035	928	1094	888	1024	1100	1276	912	986	903	865	1031	899	740	703	905	962	966	869	932	855	1092	1078	931	1042	1041	1061	990	1026	1094	875	990	1064	428	
63	45	37	44	63	63	52	45	37	38	73	25	47	36	34	47	27	41	32	43	47	48	42	37	44	30	40	75	44	51	46	47	73	63	56	43	68	24	
11	9	8	5	14	16	12	8	8	5	10	7	11	10	11	15	9	4	8	10	14	10	6	13	14	11	7	8	12	16	11	12	7	9	11	14	15	3	
21	19	16	19	11	17	15	16	27	16	24	18	30	15	19	16	13	12	6	25	23	19	19	22	17	21	19	19	12	18	22	24	22	25	19	21	38	4	
51	33	33	30	53	31	31	29	25	24	47	28	34	36	34	34	26	16	10	28	45	26	27	21	33	31	25	52	35	38	33	40	39	40	36	29	51	11	
