"УИК №108"	"УИК №109"	"УИК №112"	"УИК №116"	"УИК №117"	"УИК №1954"	"УИК №1955"	"УИК №1956"	"УИК №1957"	"УИК №1960"	"УИК №1961"	"УИК №1962"	"УИК №1964"	"УИК №1965"	"УИК №1968"	"УИК №1969"	"УИК №1970"	"УИК №1971"	"УИК №1973"	"УИК №1975"	"УИК №1976"	
51	565	425	1960	1791	355	743	351	1166	127	336	174	76	97	2107	3093	1157	58	62	160	58	
50	560	340	1820	1800	360	800	390	1150	130	350	220	100	100	2800	3150	1700	50	65	160	70	
0	0	0	439	316	0	67	19	21	0	33	0	0	0	1195	1567	737	0	0	46	0	
43	416	154	927	887	214	309	167	670	120	182	136	75	88	468	802	230	45	44	76	28	
1	21	63	35	22	13	23	11	59	2	17	0	0	0	53	68	19	0	2	9	24	
6	123	123	419	575	133	401	193	400	8	118	84	25	12	1084	713	714	5	19	29	18	
1	21	63	474	338	13	90	30	80	2	50	0	0	0	1248	1635	756	0	2	55	24	
43	416	154	927	887	214	309	167	670	120	182	136	75	88	468	802	230	45	44	76	28	
0	3	5	20	18	3	10	1	6	0	4	2	0	1	23	18	10	0	1	0	1	
44	434	212	1381	1207	224	389	196	744	122	228	134	75	87	1693	2419	976	45	45	131	51	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	5	2	5	12	0	2	0	4	1	2	1	0	1	14	20	4	0	1	2	0	
4	37	3	117	116	3	31	6	45	5	4	4	2	17	286	364	141	12	1	9	0	
2	37	25	159	139	19	44	10	56	4	13	9	2	5	135	246	116	1	3	13	6	
38	339	181	1052	898	197	303	171	615	110	193	114	71	64	1196	1692	673	32	40	103	45	
0	6	1	19	16	2	3	2	12	0	10	2	0	0	24	42	18	0	0	2	0	
0	5	0	14	5	1	5	2	3	2	3	3	0	0	16	20	12	0	0	1	0	
0	3	0	5	9	2	1	0	6	0	0	1	0	0	10	18	7	0	0	0	0	
0	2	0	10	12	0	0	5	3	0	3	0	0	0	12	17	5	0	0	1	0	
