"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	
186	251	148	443	134	141	718	194	1395	2049	555	1345	802	497	382	203	722	930	539	391	250	257	1628	
185	245	150	460	135	135	730	210	1450	2110	570	1400	810	520	400	200	700	900	570	400	260	260	1700	
0	23	0	22	0	0	56	0	42	0	49	0	14	90	57	0	44	11	17	0	0	0	146	
90	100	62	164	47	78	299	89	627	1012	157	666	323	119	104	113	282	387	199	182	116	120	539	
13	24	8	15	7	12	29	11	78	53	33	18	50	23	34	6	22	78	37	19	13	2	40	
82	98	80	259	81	45	346	110	703	1045	331	716	423	288	205	81	352	424	317	199	131	138	975	
13	47	8	37	7	12	85	11	120	53	82	18	64	113	91	6	66	89	54	19	13	2	186	
90	100	62	164	47	78	299	89	627	1012	157	666	323	119	104	113	282	387	199	182	116	120	539	
1	0	0	1	0	0	0	1	4	5	1	5	3	1	1	0	2	1	1	0	1	0	6	
102	147	70	200	54	90	384	99	743	1060	238	679	384	231	194	119	346	475	252	201	128	122	719	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	0	0	0	0	9	1	13	10	2	8	5	0	3	2	4	5	0	1	1	0	7	
9	11	3	4	1	0	14	9	72	139	23	46	38	11	12	4	22	36	7	11	6	8	59	
13	19	11	22	6	10	42	16	84	129	28	98	37	26	20	22	20	63	27	16	17	18	72	
77	109	54	169	46	80	299	70	555	748	175	500	295	191	152	88	297	348	209	163	98	93	550	
1	4	0	2	1	0	8	0	10	8	2	14	6	1	1	2	2	10	2	6	2	2	8	
2	2	2	3	0	0	2	3	1	7	2	2	1	0	3	1	0	5	5	2	2	1	13	
0	0	0	0	0	0	2	0	4	10	3	9	1	0	2	0	0	6	2	2	1	0	5	
0	0	0	0	0	0	8	0	4	9	3	2	1	2	1	0	1	2	0	0	1	0	5	
