"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	
1159	213	288	354	505	163	369	244	307	278	43	1226	271	191	193	258	73	700	213	160	862	863	1470	1160	911	919	886	628	330	
1160	219	300	374	535	187	411	255	325	299	43	1333	305	213	199	300	77	755	236	166	880	915	1489	1177	970	944	932	672	311	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1006	184	228	306	409	125	308	187	259	229	40	755	244	117	154	168	43	548	181	118	691	723	1042	719	603	562	696	344	239	
68	6	45	10	68	12	24	36	45	30	2	68	8	57	33	24	10	116	25	35	123	75	110	73	53	64	34	115	25	
86	29	27	58	58	50	79	32	21	40	1	510	53	39	12	108	24	91	30	13	66	117	337	385	314	318	202	213	47	
68	6	45	10	68	12	24	36	45	30	2	68	8	57	33	24	10	116	25	35	123	75	110	73	53	64	34	115	25	
1006	184	228	306	409	125	308	187	259	229	40	755	244	117	154	168	43	548	181	118	691	723	1042	719	603	562	696	344	239	
3	0	1	2	4	0	3	4	0	0	0	14	2	1	0	0	0	0	6	5	7	4	11	15	9	10	7	8	3	
1071	190	272	314	473	137	329	219	304	259	42	809	250	173	187	192	53	664	200	148	807	794	1141	777	647	616	723	451	261	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	2	4	0	2	1	0	1	4	0	3	0	0	0	0	0	2	0	3	3	1	11	4	4	1	5	5	2	
118	13	20	31	36	18	37	10	27	17	0	92	23	18	13	30	3	28	15	9	101	105	75	95	7	72	90	67	55	
55	12	10	18	20	9	25	22	7	7	0	59	10	5	6	10	3	10	2	3	35	30	148	47	37	31	21	40	21	
885	161	237	260	409	104	262	186	267	228	42	645	206	145	168	148	46	621	181	131	661	638	888	609	583	499	588	329	178	
3	4	1	0	1	1	0	0	2	2	0	2	3	0	0	0	0	1	0	0	0	10	6	6	6	3	7	1	2	
5	0	1	1	3	1	1	0	0	0	0	6	3	4	0	3	0	0	1	1	5	5	6	10	6	6	6	7	2	
3	0	1	0	2	0	1	1	0	1	0	2	4	1	0	1	1	1	0	1	2	3	3	4	3	3	3	1	0	
1	0	0	0	2	2	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	4	2	1	1	3	1	1	
