"УИК №1581"	"УИК №1582"	"УИК №1583"	"УИК №1584"	"УИК №1585"	"УИК №1586"	"УИК №1587"	"УИК №1588"	"УИК №1589"	"УИК №1590"	"УИК №1591"	"УИК №1592"	"УИК №1593"	"УИК №1594"	"УИК №1595"	"УИК №1596"	"УИК №1597"	"УИК №1598"	"УИК №1599"	"УИК №1600"	"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	"УИК №1636"	"УИК №1637"	"УИК №1638"	"УИК №1639"	"УИК №1640"	"УИК №1641"	"УИК №1642"	"УИК №1643"	"УИК №1644"	"УИК №1645"	"УИК №1646"	"УИК №1647"	"УИК №2015"	"УИК №2016"	"УИК №2031"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	6	11	3	4	5	5	9	7	5	5	10	8	7	10	11	14	12	7	7	15	3	11	8	8	8	2	9	8	11	6	9	8	11	5	6	8	6	5	12	7	20	6	9	14	1	12	0	10	10	17	10	7	13	13	6	10	12	7	9	7	6	2	16	16	8	10	10	5	1	
168	230	191	185	154	147	189	202	175	159	153	177	260	152	161	184	273	214	183	218	295	145	196	168	197	245	111	198	193	177	192	193	152	167	161	155	225	224	203	244	238	220	207	234	169	173	177	18	230	258	294	293	256	304	311	354	272	208	211	191	229	275	159	202	212	241	249	389	244	51	
47	74	53	76	63	60	44	69	58	55	50	69	60	50	45	53	49	58	54	54	72	30	56	45	70	60	63	74	68	64	69	63	50	63	81	59	100	84	60	75	107	112	80	112	54	67	80	8	70	81	95	88	87	77	85	78	51	84	90	105	95	144	92	127	141	103	163	99	74	15	
832	1028	935	813	768	655	691	752	873	683	561	743	1071	710	712	779	1058	797	812	855	1268	512	777	654	745	973	555	816	816	889	865	889	748	652	841	617	1009	855	877	1061	1006	1153	1071	1018	824	825	868	103	1075	1074	1184	1207	1144	1246	1226	1338	1188	865	1029	1016	975	1240	877	1054	1170	1219	1291	1719	912	251	
14	27	17	12	20	12	21	22	23	18	18	25	44	28	31	26	29	48	27	29	27	14	28	23	16	27	7	13	16	20	22	19	18	15	19	21	17	19	23	19	15	27	33	28	15	16	18	3	26	19	29	36	22	37	35	49	44	12	24	9	20	21	7	33	26	26	39	55	28	6	
0	9	6	9	9	4	6	2	7	4	2	13	8	9	7	6	9	10	6	11	9	7	9	7	7	9	8	12	6	9	13	12	7	5	11	9	12	6	5	11	19	13	12	5	4	10	8	0	13	11	10	8	10	7	11	8	5	9	9	4	9	9	8	7	9	11	9	10	4	2	
6	4	9	3	5	6	8	4	11	11	9	14	15	15	7	7	17	11	16	14	9	4	7	9	7	13	4	9	9	11	7	16	8	10	8	7	9	10	7	4	15	9	15	5	10	10	9	3	8	10	9	15	5	19	21	13	12	4	4	4	5	9	5	14	10	6	4	16	2	2	
16	24	19	8	6	7	13	14	14	15	27	20	20	9	26	28	36	23	24	29	12	17	20	12	8	20	14	8	16	16	16	10	12	12	10	9	8	10	8	17	23	20	20	23	10	14	13	2	11	18	20	20	17	21	25	26	14	11	13	9	12	11	10	8	23	14	11	19	5	6	
