"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	
1851	666	166	1125	742	547	1254	711	947	2297	
1851	642	163	1125	752	593	1270	718	947	2353	
0	0	0	0	0	0	0	0	0	0	
1804	632	160	1087	726	529	1207	683	922	2218	
10	10	0	0	0	0	5	0	0	1	
37	0	3	38	26	64	58	35	25	134	
10	10	0	0	0	0	5	0	0	1	
1804	632	160	1087	726	529	1207	683	922	2218	
8	7	4	8	0	0	0	0	0	2	
1806	635	156	1079	726	529	1212	683	922	2217	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	1	1	
14	4	1	8	6	4	10	7	4	11	
0	0	0	0	0	0	0	0	1	1	
1792	631	155	1070	720	525	1202	675	915	2200	
0	0	0	0	0	0	0	1	1	0	
0	0	0	1	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	3	
0	0	0	0	0	0	0	0	0	1	
