"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	
958	261	805	679	914	94	360	
1270	330	1060	1080	1280	200	394	
2	0	0	0	0	0	0	
838	214	598	627	848	80	343	
37	5	15	32	16	9	7	
393	111	447	421	416	111	44	
39	5	15	32	16	9	7	
838	214	598	627	848	80	343	
22	6	12	12	12	0	2	
855	213	601	647	852	89	348	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

9	0	4	2	5	0	3	
164	51	84	95	126	10	36	
76	19	54	54	69	17	35	
587	137	451	479	631	60	266	
6	1	0	6	9	2	5	
6	1	2	3	5	0	1	
3	2	3	4	5	0	2	
4	2	3	4	2	0	0	
