"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	
1797	1698	1067	349	347	486	536	522	888	175	362	579	348	830	497	610	
1600	1600	900	350	350	500	550	500	900	180	400	600	350	900	500	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1154	1029	551	239	213	371	333	314	619	121	289	380	236	539	307	356	
47	85	29	17	25	22	19	25	27	9	17	36	21	34	33	27	
399	486	320	94	112	107	198	161	254	50	94	184	93	327	160	217	
47	85	29	17	25	22	19	25	27	9	17	36	21	34	33	27	
1154	1029	551	239	213	371	333	314	619	121	289	380	236	539	307	356	
18	13	11	3	4	3	6	4	4	2	5	5	2	8	5	6	
1183	1101	569	253	234	390	346	335	642	128	301	411	255	565	335	377	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	8	7	2	0	4	3	4	2	0	6	1	0	3	1	1	
138	145	42	26	11	36	33	20	46	2	12	35	18	40	22	24	
139	91	42	26	14	21	59	21	49	15	38	48	27	57	26	33	
859	810	457	193	205	312	241	274	532	103	236	320	201	450	279	311	
13	25	6	1	2	7	3	3	4	2	6	5	0	4	4	7	
10	7	5	2	1	4	4	6	4	3	2	1	2	6	0	1	
5	5	5	1	1	3	1	6	0	0	0	1	4	3	2	0	
12	10	5	2	0	3	2	1	5	3	1	0	3	2	1	0	
