"УИК №3901"	"УИК №3902"	"УИК №3903"	"УИК №3904"	"УИК №3905"	"УИК №3906"	"УИК №3907"	"УИК №3908"	"УИК №3909"	"УИК №3910"	"УИК №3911"	"УИК №3912"	"УИК №3913"	"УИК №3914"	"УИК №3915"	"УИК №3916"	"УИК №3917"	"УИК №3918"	"УИК №3919"	"УИК №3920"	"УИК №3921"	"УИК №3922"	"УИК №3923"	"УИК №3924"	"УИК №3925"	"УИК №3926"	"УИК №3927"	"УИК №3928"	"УИК №3929"	"УИК №3930"	"УИК №3931"	
1866	1805	1663	1733	1844	1794	1821	1904	547	231	669	81	493	473	321	75	788	160	364	492	623	153	1586	264	726	140	323	780	548	440	418	
1700	1700	1600	1600	1700	1700	1700	1700	500	200	650	80	450	475	300	74	750	150	350	450	600	140	1500	250	700	140	300	750	500	400	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
967	952	916	981	930	959	980	1077	248	96	317	40	197	394	187	32	416	91	169	293	281	96	765	145	339	41	170	447	234	208	142	
100	112	114	78	104	120	209	86	71	15	81	0	87	43	26	31	86	18	44	50	110	6	106	32	88	52	17	116	89	45	85	
633	636	570	541	666	621	511	537	181	89	252	40	166	38	87	11	248	41	137	107	209	38	629	73	273	47	113	187	177	147	173	
100	112	114	78	104	120	209	86	71	15	81	0	87	43	26	31	86	18	44	50	110	6	106	32	88	52	17	116	89	45	85	
967	952	916	981	930	959	980	1077	248	96	317	40	197	394	187	32	416	91	169	293	281	96	765	145	339	41	169	447	234	208	142	
13	11	8	10	15	7	10	10	2	2	2	1	2	0	1	0	3	0	1	4	2	1	6	1	7	1	4	5	4	2	1	
1054	1053	1022	1049	1019	1072	1179	1153	317	109	396	39	282	437	212	63	499	109	212	339	389	101	865	176	420	92	182	558	319	251	226	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	12	10	9	10	7	12	11	2	0	2	0	6	2	1	0	4	0	1	0	8	1	10	2	8	1	2	1	0	1	1	
214	160	146	173	135	135	158	201	13	8	49	2	57	46	39	10	72	10	24	24	51	9	114	23	57	8	18	40	38	22	18	
100	83	96	75	119	94	107	94	34	9	32	6	21	10	22	1	40	13	26	24	36	7	90	20	45	15	23	57	29	20	27	
699	768	739	765	742	806	867	814	258	91	298	30	194	370	148	52	377	84	159	287	286	84	630	129	303	67	131	450	250	202	175	
7	7	6	12	7	5	14	10	4	0	6	0	2	5	0	0	1	1	2	1	1	0	7	0	1	1	0	5	1	2	2	
14	13	11	2	3	10	9	8	3	1	5	0	0	3	1	0	4	1	0	0	3	0	7	1	3	0	8	2	1	3	2	
9	5	8	10	1	5	7	11	3	0	1	1	1	1	1	0	1	0	0	1	4	0	5	0	3	0	0	2	0	1	0	
4	5	6	3	2	10	5	4	0	0	3	0	1	0	0	0	0	0	0	2	0	0	2	1	0	0	0	1	0	0	1	
