"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	"УИК №1524"	"УИК №1525"	"УИК №1526"	"УИК №1527"	
701	207	1693	1817	1348	1091	1650	947	1172	1154	1002	1231	1384	877	1617	1432	1697	194	1194	1408	1346	270	209	1555	503	1001	585	
700	200	1700	1850	1350	1000	1500	950	1150	1050	1000	1050	1300	900	1600	1400	1750	200	1120	1450	1400	250	200	1600	500	1050	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	
293	177	686	714	603	496	746	462	592	535	394	567	697	472	764	612	914	130	579	690	595	170	132	857	300	522	351	
33	20	75	51	37	89	80	42	34	38	52	52	108	35	77	88	58	9	456	60	105	31	3	51	13	66	48	
374	3	939	1085	710	415	674	446	524	477	554	431	495	393	759	700	778	61	77	700	700	49	65	692	187	462	201	
33	20	75	51	37	89	80	42	34	38	52	52	108	35	77	88	58	9	464	60	105	31	3	51	13	66	48	
293	177	686	714	603	496	746	462	592	535	394	567	697	472	764	612	914	130	579	690	595	170	132	857	300	522	351	
35	0	1	15	7	2	0	5	8	9	4	5	2	7	8	5	6	4	18	9	0	0	2	7	7	24	0	
291	197	760	750	633	583	826	499	618	564	442	614	803	500	833	695	966	135	1025	741	700	201	133	901	306	564	399	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	2	4	4	0	2	1	6	3	3	2	7	3	6	5	3	0	2	3	4	0	0	5	2	2	4	
8	12	155	187	133	30	9	127	166	146	87	165	188	150	220	173	24	19	156	142	7	34	38	210	114	26	13	
5	3	42	44	40	7	15	45	32	33	28	34	65	22	44	52	14	1	103	40	17	11	7	27	7	18	8	
274	178	545	500	441	545	799	308	396	372	317	397	532	317	543	454	917	111	720	529	666	155	88	642	172	509	363	
3	2	6	9	3	1	1	6	5	2	4	7	5	0	10	3	2	2	30	13	4	0	0	3	7	0	5	
1	2	4	2	5	0	0	6	10	2	2	4	2	6	4	8	4	1	5	9	1	1	0	10	2	2	3	
0	0	5	1	5	0	0	2	1	4	0	3	2	1	5	0	2	1	3	3	1	0	0	0	0	5	0	
0	0	1	3	2	0	0	4	2	2	1	2	2	1	1	0	0	0	6	2	0	0	0	4	2	2	3	
