"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №768"	"УИК №1120"	
1408	2699	2177	1641	2613	2157	2028	1968	1492	1664	1768	1754	2017	1642	1482	1719	2189	1541	2256	2036	1899	2483	2959	2321	1941	1552	1734	2000	2042	1620	2608	2667	3416	2474	1936	1821	1783	2307	1844	1196	1333	1513	1843	1585	1954	1420	2698	1695	2399	1123	1373	2776	2473	2242	2831	1872	2862	1427	2060	1833	1895	2210	1762	1280	
1300	2900	2100	1500	2600	2600	1800	1850	1200	1500	1500	1500	1800	2000	1300	1500	2000	1750	2100	2000	1900	2400	2800	2200	2000	1500	1600	1800	1800	1400	2600	2600	3200	2800	1700	1600	1750	2200	1900	1000	1200	1300	1600	1450	1700	1300	2600	1500	2300	1000	1500	2600	2500	2100	2600	1700	2700	1300	2100	1600	1600	2000	1500	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1225	2612	1238	1265	1470	1211	1510	1558	1150	987	1226	1162	1627	1328	1019	1161	1796	1458	1487	1323	1308	1666	2073	1587	1382	1142	1331	1023	1525	1068	1677	1560	2126	1664	1153	1272	1562	1518	1122	746	912	1061	1295	1219	1033	812	1682	1272	1973	767	1213	1730	1677	1601	1946	1540	1736	1162	1383	1031	1425	1686	1431	1280	
75	30	458	18	516	601	153	31	44	29	258	37	66	314	139	96	90	83	285	296	305	326	142	86	343	132	153	163	135	114	132	127	945	256	36	102	60	178	189	222	194	149	153	21	57	199	240	200	167	173	160	66	301	168	419	51	327	102	246	44	140	115	26	0	
0	258	404	217	614	788	137	261	6	484	16	301	107	358	142	243	114	209	105	381	287	408	585	527	275	226	116	614	140	218	791	913	129	880	511	226	128	504	589	32	94	90	152	210	610	289	678	28	160	60	127	804	522	331	235	109	637	36	471	525	35	199	43	20	
75	30	458	18	516	601	153	31	44	29	258	37	66	314	139	96	90	83	276	296	305	326	142	86	343	132	153	163	135	114	132	127	945	256	36	102	60	178	189	222	194	149	153	21	57	199	240	200	167	173	160	66	301	168	419	51	327	102	246	44	140	115	26	0	
1225	2612	1238	1265	1470	1211	1510	1556	1150	987	1226	1162	1627	1328	1019	1161	1796	1458	1481	1323	1308	1666	2073	1586	1382	1142	1331	1023	1525	1068	1677	1560	2126	1664	1153	1272	1562	1518	1122	746	912	1061	1295	1219	1033	812	1682	1272	1806	767	1213	1730	1677	1601	1946	1540	1736	1162	1383	1031	1425	1686	1431	1280	
5	18	20	2	15	25	11	11	5	7	1	10	2	18	1	13	11	2	18	14	11	23	9	17	17	14	0	9	10	0	20	21	26	24	9	9	5	27	16	2	7	11	14	21	8	20	17	11	22	0	0	26	14	18	13	9	14	6	17	9	22	17	6	7	
1295	2624	1676	1281	1971	1787	1652	1576	1189	1009	1483	1189	1691	1624	1157	1244	1875	1539	1739	1605	1602	1969	2206	1655	1708	1260	1484	1177	1650	1182	1789	1666	3045	1896	1180	1365	1617	1669	1295	966	1099	1199	1434	1219	1082	991	1905	1461	1951	940	1373	1770	1964	1751	2352	1582	2049	1258	1612	1066	1543	1784	1451	1273	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	11	6	6	12	11	7	13	5	6	15	5	9	14	8	17	11	17	15	15	12	18	28	11	17	11	8	9	7	8	13	13	27	16	13	7	5	21	12	4	6	11	10	8	16	7	23	10	20	1	9	14	10	20	18	3	20	4	6	11	11	24	4	2	
122	192	112	45	228	173	161	151	59	137	83	121	175	173	69	124	85	106	163	128	160	162	234	187	166	124	93	140	138	113	206	204	265	191	137	172	62	198	131	81	131	125	128	131	138	117	186	226	234	32	128	215	194	192	262	88	270	136	157	103	95	194	115	44	
47	103	85	35	110	96	120	110	36	66	106	80	94	157	187	62	188	139	142	219	74	113	160	124	158	121	116	87	78	46	111	118	146	117	69	66	33	89	76	83	54	149	75	76	59	54	106	87	135	4	60	91	147	145	191	92	156	68	111	73	154	102	158	35	
1102	2255	1436	1185	1559	1442	1312	1247	1039	775	1243	946	1352	1223	866	1000	1532	1092	1357	1194	1316	1610	1702	1270	1298	963	1221	880	1375	982	1388	1273	2468	1488	879	1064	1460	1270	1021	778	869	856	1176	937	804	772	1508	1081	1479	902	1138	1349	1560	1292	1786	1368	1523	1033	1303	850	1234	1374	1126	1178	
9	28	16	6	15	22	17	32	21	10	12	16	18	20	12	18	21	34	21	20	19	24	34	22	25	21	16	17	18	13	36	24	47	41	33	20	24	40	25	10	20	21	16	33	22	25	40	32	30	0	10	43	16	48	52	3	32	2	14	13	23	39	22	4	
4	15	4	3	21	15	13	16	19	5	11	10	16	11	5	9	10	43	15	14	13	17	20	19	22	7	15	16	11	5	11	4	19	13	4	8	5	11	10	3	4	14	10	9	13	4	11	6	17	0	9	16	12	11	11	2	13	5	10	7	11	18	10	5	
4	11	10	1	17	17	13	3	3	4	10	5	8	16	5	8	10	56	18	11	1	10	15	8	14	4	13	9	12	9	12	14	32	19	20	9	4	19	11	4	6	11	8	13	17	4	11	10	18	1	11	20	16	19	21	21	16	6	5	5	7	14	9	1	
6	9	7	0	9	11	9	4	7	6	3	6	19	10	5	6	18	52	8	4	7	15	13	14	8	9	2	19	11	6	12	16	41	11	25	19	24	21	9	3	9	12	11	12	13	8	20	9	18	0	8	22	9	24	11	5	19	4	6	4	8	19	7	4	
