"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	
226	249	285	260	226	361	281	313	86	266	135	132	800	
210	220	300	250	200	350	300	300	80	250	120	130	750	
0	0	0	0	0	0	0	0	0	0	0	0	0	
92	138	150	121	101	175	130	114	44	85	62	77	322	
60	42	19	37	33	26	31	70	6	66	30	4	83	
58	40	131	92	66	149	139	116	30	99	28	49	345	
60	42	19	37	33	26	31	70	6	66	30	4	83	
92	138	150	121	101	175	130	114	44	85	62	77	322	
0	2	1	2	1	1	1	0	0	2	0	0	2	
152	178	168	156	133	200	160	184	50	149	92	81	403	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

0	3	1	1	2	0	0	1	0	0	0	2	4	
22	44	41	19	30	41	16	35	11	16	8	16	80	
20	13	5	9	25	14	12	8	5	7	11	8	47	
103	115	118	125	73	140	129	134	33	121	72	52	268	
4	1	1	1	2	2	1	2	0	0	1	1	2	
1	1	1	1	1	2	1	3	1	1	0	1	1	
1	1	1	0	0	1	0	1	0	3	0	0	0	
1	0	0	0	0	0	1	0	0	1	0	1	1	
