"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1209"	
812	1042	1035	737	885	350	270	610	956	123	258	547	95	204	161	180	400	183	79	100	400	235	189	136	167	291	97	133	330	342	574	278	914	171	307	338	500	60	244	124	95	383	751	349	306	108	65	573	304	119	230	110	398	177	222	116	
700	800	800	600	700	300	200	500	700	100	220	500	100	200	150	180	400	200	70	100	400	220	200	120	150	300	90	110	300	300	500	250	800	150	300	300	500	50	250	140	100	350	700	350	300	100	80	500	300	100	200	100	400	150	200	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
467	660	593	430	621	202	168	369	542	87	203	321	65	130	110	125	301	112	59	81	297	208	147	100	116	188	66	91	220	177	327	177	515	130	167	199	264	39	144	111	72	229	445	189	258	71	50	333	229	96	174	74	263	133	109	81	
41	56	29	27	35	22	11	27	85	7	10	70	3	5	13	7	30	18	3	1	27	8	11	10	12	31	10	11	14	19	32	16	55	7	15	8	69	1	35	0	11	19	30	21	19	14	3	18	7	4	10	5	25	7	55	1	
192	84	178	143	44	76	21	104	73	6	7	109	32	65	27	48	69	70	8	18	76	4	42	10	22	81	14	8	66	104	141	57	230	13	118	93	167	10	71	29	17	102	225	140	23	15	27	149	64	0	16	21	112	10	36	18	
41	56	29	27	35	22	11	27	85	7	10	70	3	5	13	7	30	18	3	1	27	8	11	10	12	31	10	11	14	19	32	16	55	7	15	8	69	1	35	0	11	19	30	21	19	14	3	18	7	4	10	5	25	7	55	1	
467	660	593	430	621	202	168	369	542	87	203	321	65	130	110	125	301	112	59	81	297	208	147	100	116	188	66	91	220	177	327	177	515	130	167	199	264	39	144	111	72	229	445	189	258	71	50	333	229	96	174	74	263	133	109	81	
7	8	6	2	7	3	2	3	6	3	0	4	0	4	2	3	5	2	0	0	3	1	2	3	1	3	0	0	0	2	6	3	3	1	4	2	0	0	2	1	1	0	0	3	3	1	0	5	1	1	1	0	0	5	0	0	
501	708	616	455	649	221	177	393	621	91	213	387	68	131	121	129	326	128	62	82	321	215	156	107	127	216	76	102	234	194	353	190	567	136	178	205	333	40	177	110	82	248	475	207	274	84	53	346	235	99	183	79	288	135	164	82	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	2	3	5	2	1	2	1	0	0	5	0	2	0	0	3	0	0	0	0	0	1	1	0	1	0	0	1	1	1	2	0	0	1	0	0	0	1	0	0	3	1	2	4	0	0	2	0	0	2	0	1	0	0	0	
108	150	123	96	136	31	50	70	111	12	35	31	8	8	7	17	16	17	0	2	29	17	9	12	3	23	1	11	12	22	33	33	78	6	15	18	13	2	12	13	2	49	47	12	21	6	5	73	22	5	21	8	23	18	11	1	
24	54	41	23	50	22	14	24	48	9	10	14	7	7	8	22	28	14	0	11	37	12	11	18	13	23	16	17	19	1	31	11	22	5	15	8	12	3	12	9	4	23	31	10	15	13	6	21	3	13	34	7	18	5	9	8	
355	489	438	319	452	160	106	288	451	69	166	332	52	112	106	88	272	97	62	69	253	182	133	72	110	166	56	73	199	168	279	137	453	125	142	177	304	34	152	88	75	172	390	179	233	63	40	241	207	81	119	64	245	112	142	73	
3	2	6	5	4	2	4	2	5	0	0	2	0	0	0	2	4	0	0	0	0	2	2	1	1	3	0	0	1	2	3	2	5	0	2	2	4	0	0	0	1	0	1	1	0	1	2	8	0	0	2	0	1	0	0	0	
3	6	4	4	1	2	1	2	3	1	0	2	1	1	0	0	2	0	0	0	2	2	0	3	0	0	3	1	0	0	1	2	3	0	1	0	0	0	0	0	0	0	5	2	1	0	0	0	3	0	5	0	0	0	1	0	
3	0	1	3	0	2	1	1	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
3	2	1	2	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	
