"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	
508	651	445	420	405	643	666	590	577	488	487	276	423	118	220	179	130	152	543	362	131	149	328	140	261	362	296	136	107	307	233	197	455	366	455	187	223	112	134	
510	650	450	410	410	630	680	620	570	460	500	280	440	140	230	190	130	160	550	380	150	180	320	150	270	400	310	150	120	330	250	210	460	390	460	200	240	120	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
429	510	388	327	317	513	522	487	461	375	307	235	358	79	189	113	111	132	473	306	122	128	261	125	231	317	264	119	96	272	197	159	392	318	371	158	196	85	117	
25	43	23	25	53	40	26	24	27	46	56	31	50	34	21	63	17	20	50	36	9	12	57	15	30	41	29	16	10	32	35	38	28	33	54	18	25	21	14	
56	97	39	58	40	77	132	109	82	39	137	14	32	27	20	14	2	8	27	38	19	40	2	10	9	42	17	15	14	26	18	13	40	39	35	24	19	14	19	
25	43	23	25	53	40	26	24	27	46	56	31	50	34	21	63	17	20	50	36	9	12	57	15	30	41	29	16	10	32	35	38	28	33	54	18	25	21	14	
429	510	388	327	317	513	522	487	461	375	307	235	358	79	189	113	111	132	473	306	122	128	261	125	231	317	264	119	96	272	197	159	392	318	371	158	196	85	117	
3	6	5	2	4	8	6	8	9	3	9	4	8	2	0	1	0	1	3	2	2	2	1	0	2	10	0	3	3	3	3	11	9	3	4	1	1	2	2	
451	547	406	350	366	545	542	503	479	418	354	262	400	111	210	175	128	151	520	340	129	138	317	140	259	348	293	132	103	301	229	186	411	348	421	175	220	104	129	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	4	3	4	3	0	4	2	2	0	0	2	0	2	0	0	1	1	2	0	0	0	0	1	3	1	0	0	0	4	1	4	4	2	1	0	1	0	
72	82	60	64	40	88	79	74	55	46	30	27	22	5	20	14	3	0	49	38	7	8	13	3	21	15	21	18	16	20	13	13	56	36	61	12	5	5	6	
15	16	24	11	24	29	31	22	19	13	15	12	24	6	11	2	8	6	34	28	11	9	30	8	30	18	13	13	0	16	10	5	23	18	38	17	3	5	8	
350	435	309	261	290	409	422	394	393	350	304	219	339	100	169	158	117	142	422	261	109	119	270	128	204	308	247	100	86	262	198	165	316	286	312	143	211	93	115	
6	2	4	3	2	8	4	5	7	2	4	3	6	0	1	0	0	2	9	4	2	1	2	1	0	2	4	0	1	2	3	1	4	1	3	1	0	0	0	
2	2	2	2	1	6	2	2	1	2	1	0	4	0	2	1	0	0	2	5	0	0	1	0	2	1	5	0	0	0	1	0	4	3	4	0	1	0	0	
2	2	1	2	2	0	2	1	2	1	0	1	1	0	5	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	1	3	0	0	1	0	0	0	
1	6	2	4	3	2	2	1	0	2	0	0	2	0	0	0	0	0	3	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	
