"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	
740	757	642	68	623	678	685	1505	1374	301	399	127	427	340	1620	152	287	244	198	127	301	173	185	127	195	347	196	261	456	503	225	
729	776	655	63	624	669	695	1520	1413	294	393	125	417	318	1553	152	276	281	186	122	296	173	191	123	205	375	186	247	485	473	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
634	697	559	57	532	571	611	1204	1066	267	366	116	356	294	1054	139	256	220	167	112	276	157	167	110	162	311	161	233	415	439	198	
70	46	59	6	44	54	59	105	158	22	27	7	34	21	36	11	18	17	18	10	20	13	13	9	26	19	20	14	28	34	18	
25	33	37	0	48	44	25	211	189	5	0	2	27	3	463	2	2	44	1	0	0	3	11	4	17	45	5	0	42	0	4	
70	46	59	6	44	54	59	105	158	22	27	7	34	21	36	11	18	17	18	10	20	13	13	9	26	19	20	14	28	34	18	
634	697	559	57	532	571	611	1204	1066	267	366	116	356	294	1054	139	256	220	167	112	276	157	167	110	162	311	161	233	415	439	198	
1	0	2	0	1	5	0	4	6	3	5	5	5	2	34	0	1	0	0	1	3	0	0	3	0	13	0	7	23	2	1	
703	743	616	63	575	620	670	1305	1218	286	388	118	385	313	1056	150	273	237	185	121	293	170	180	116	188	317	181	240	420	471	215	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	0	0	3	2	1	4	0	0	0	0	0	8	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	
55	38	50	1	64	66	33	151	64	6	4	3	36	12	131	1	11	3	2	6	15	1	5	5	5	16	5	6	33	12	7	
42	7	39	1	35	43	22	58	22	5	6	0	1	0	14	1	12	6	7	15	13	1	2	12	2	20	1	10	20	18	2	
598	698	521	61	464	501	607	1081	1115	275	378	115	346	299	880	148	247	225	174	100	263	167	173	99	180	275	174	222	360	437	203	
1	0	1	0	6	3	2	4	3	0	0	0	0	2	10	0	1	0	1	0	0	1	0	0	0	3	0	1	3	1	1	
2	0	1	0	5	2	2	7	4	0	0	0	2	0	3	0	2	2	0	0	1	0	0	0	0	0	1	1	3	0	2	
3	0	2	0	0	1	1	0	4	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	
1	0	2	0	1	1	1	3	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	
