"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	
2213	190	484	1030	1245	1397	798	355	415	846	786	212	573	164	1371	1568	302	522	804	344	
1850	150	400	900	1000	1100	600	300	350	700	650	200	450	150	1100	1200	250	400	650	300	
0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	18	2	0	0	
1242	50	247	415	741	888	400	131	221	341	330	87	319	55	680	924	160	320	372	158	
119	27	35	62	44	34	41	67	19	74	75	14	40	33	124	52	20	14	52	33	
489	73	118	423	215	178	153	102	110	285	245	99	91	62	296	224	52	64	226	109	
119	27	35	62	44	34	47	67	19	74	75	14	40	33	124	52	38	16	52	33	
1242	50	247	415	741	888	400	131	221	341	330	87	319	55	680	924	160	320	372	158	
20	0	2	4	8	9	3	0	1	2	2	0	2	0	7	7	2	2	4	1	
1341	77	280	473	777	913	444	198	239	413	403	101	357	88	797	969	196	334	420	190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	0	2	4	8	11	4	0	4	1	3	0	2	1	3	8	1	2	3	0	
242	9	31	44	91	98	29	17	27	26	30	0	25	5	88	117	12	25	55	19	
122	6	29	45	78	98	51	19	18	47	47	10	28	4	83	87	21	45	52	20	
919	60	207	366	572	652	349	155	179	332	316	88	282	76	594	728	159	246	297	145	
23	1	3	7	17	26	6	3	6	1	0	2	12	0	8	12	1	4	7	4	
12	1	6	4	4	7	0	1	2	1	5	0	2	1	9	6	2	6	3	0	
9	0	1	2	4	15	5	3	3	3	1	1	3	1	8	8	0	2	2	2	
6	0	1	1	3	6	0	0	0	2	1	0	3	0	4	3	0	4	1	0	
