"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	
2364	928	1361	1518	1094	1609	711	2247	1327	770	1360	412	882	1127	1101	1649	748	2081	1356	1980	321	1763	823	2475	768	2126	1292	871	1810	1226	442	1489	366	1353	386	224	328	591	1606	234	1853	1644	241	2140	2186	1997	
2100	910	1310	1520	1080	1610	700	2300	1300	730	1340	380	860	1100	1060	1690	700	2120	1600	2120	350	1860	880	2670	850	2200	1290	900	1790	1280	450	1580	400	1470	410	210	310	630	1700	220	1890	1600	240	2100	2190	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1256	606	1040	833	640	1130	496	1302	863	491	896	323	635	762	698	1070	633	1787	687	1101	214	818	652	1294	612	1178	1027	643	1394	701	293	905	283	885	219	137	201	412	1111	192	1444	1225	229	1648	1772	1933	
337	90	61	112	40	52	43	147	59	71	102	18	29	102	99	90	11	50	233	168	19	213	60	290	41	86	33	55	90	56	50	46	0	115	76	43	41	29	28	16	137	156	3	142	24	57	
507	214	209	575	400	428	161	851	378	168	342	39	196	236	263	530	56	283	680	851	117	829	168	1086	197	936	230	202	306	523	107	629	117	470	115	30	68	189	561	12	309	219	8	310	394	10	
337	90	61	112	40	52	43	147	59	71	102	18	29	102	99	90	11	50	233	168	19	213	60	290	41	86	33	55	90	56	50	46	0	115	76	43	41	29	28	16	137	156	3	142	24	57	
1256	606	1025	833	640	1128	496	1302	863	491	896	321	635	762	698	1070	633	1787	687	1101	214	817	652	1294	612	1178	1027	643	1394	700	293	905	283	885	219	137	201	412	1111	192	1444	1225	229	1648	1772	1933	
23	22	15	0	9	14	59	23	15	6	8	3	6	23	13	18	53	46	10	24	2	8	4	18	0	10	19	3	0	10	3	11	5	10	2	6	3	2	10	0	40	5	5	25	7	16	
1570	674	1071	945	671	1166	480	1426	907	556	990	336	658	841	784	1142	591	1791	910	1245	231	1022	708	1566	653	1254	1041	695	1484	746	340	940	278	990	293	174	239	439	1129	208	1541	1376	227	1765	1789	1974	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	0	2	1	3	6	3	9	6	3	8	2	4	6	6	19	2	6	1	13	1	7	3	9	5	9	5	5	7	4	2	6	4	6	1	1	0	0	4	0	1	9	0	5	8	10	
214	68	114	78	93	142	78	205	105	64	135	52	75	94	72	161	75	232	35	167	16	105	61	165	44	159	106	60	107	62	21	117	54	121	48	4	14	50	118	5	138	109	10	162	177	142	
101	60	57	70	59	43	27	86	47	42	49	14	21	47	78	83	25	77	56	89	7	62	36	82	28	112	60	59	53	38	28	62	23	95	15	12	9	31	58	27	70	103	14	92	95	73	
1200	529	875	785	503	945	362	1072	737	437	765	264	548	673	613	818	476	1423	803	917	206	826	594	1285	568	944	850	553	1300	632	282	729	188	753	221	152	214	349	932	174	1305	1132	201	1476	1466	1726	
17	6	9	2	6	9	5	19	3	2	10	3	3	5	4	23	3	14	3	31	1	12	3	14	2	15	5	3	8	6	1	11	2	6	2	2	1	4	3	2	10	2	1	11	18	12	
9	4	5	7	5	12	1	14	0	2	9	1	3	11	5	17	7	16	5	15	0	6	7	4	4	5	4	3	6	1	5	7	4	3	3	2	0	3	9	0	13	10	1	8	14	9	
8	5	6	1	2	6	1	9	7	1	10	0	4	3	3	17	1	11	5	8	0	4	1	4	1	5	7	5	1	0	1	6	2	5	2	0	1	2	2	0	1	6	0	7	10	2	
10	2	3	1	0	3	3	12	2	5	4	0	0	2	3	4	2	12	2	5	0	0	3	3	1	5	4	7	2	3	0	2	1	1	1	1	0	0	3	0	3	5	0	4	1	0	
