"УИК №2248"	"УИК №2249"	"УИК №2250"	"УИК №2251"	"УИК №2252"	"УИК №2253"	"УИК №2254"	"УИК №2255"	"УИК №2256"	"УИК №2257"	"УИК №2258"	"УИК №2259"	"УИК №2260"	"УИК №2261"	"УИК №2262"	"УИК №2263"	"УИК №2264"	"УИК №2265"	
2308	2323	2334	1905	2411	597	2308	2329	2320	2434	2556	2366	2219	2400	2288	2248	2120	548	
1800	1850	1900	1600	2000	500	1850	1850	1900	2000	2100	1900	1850	2000	1850	1800	1750	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1210	1294	1294	1025	1385	374	1285	1262	1372	1393	1371	1335	1243	1286	1315	1247	1265	346	
60	60	55	41	36	9	55	48	54	71	50	36	91	39	71	75	45	8	
530	496	551	534	579	117	510	540	474	536	679	530	516	674	464	478	440	96	
60	60	55	40	36	9	55	48	54	71	50	36	91	39	71	75	45	8	
1210	1294	1290	1025	1385	374	1285	1260	1372	1393	1368	1335	1241	1286	1315	1246	1264	346	
30	20	13	11	112	16	23	16	22	18	21	18	23	32	10	46	66	5	
1240	1334	1332	1054	1309	367	1317	1292	1404	1446	1397	1353	1309	1293	1376	1275	1243	349	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	

7	24	17	9	14	5	14	14	13	19	18	10	14	19	23	16	11	4	
150	186	196	149	178	52	142	157	161	175	184	165	159	160	160	144	164	50	
56	59	57	38	72	15	66	69	55	61	77	71	72	46	66	58	48	12	
902	914	923	747	959	259	956	897	1034	1055	995	987	946	938	993	940	871	237	
46	64	62	62	29	12	62	67	55	41	46	47	48	65	61	57	56	19	
10	5	11	8	13	5	9	10	15	9	6	16	6	7	8	3	14	2	
19	28	22	14	17	11	20	24	19	29	22	21	21	18	23	18	21	12	
50	54	44	27	27	8	48	54	52	57	49	36	43	40	42	39	58	13	
