"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	"УИК №1478"	"УИК №1479"	"УИК №1480"	"УИК №1481"	"УИК №1482"	"УИК №1483"	"УИК №1484"	"УИК №1485"	"УИК №1486"	"УИК №1487"	"УИК №1488"	"УИК №1489"	"УИК №1490"	"УИК №1491"	"УИК №1492"	"УИК №1493"	"УИК №1494"	"УИК №1495"	"УИК №1496"	"УИК №1497"	"УИК №1498"	"УИК №1499"	"УИК №1500"	"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	"УИК №1524"	"УИК №1525"	"УИК №1526"	"УИК №1527"	"УИК №1528"	"УИК №1529"	"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	"УИК №1539"	"УИК №1540"	"УИК №2634"	"УИК №2635"	"УИК №2636"	"УИК №2637"	"УИК №2638"	"УИК №2639"	"УИК №2640"	"УИК №2661"	
2574	2782	890	1478	2034	1202	1462	2530	529	1344	2508	1917	788	1735	2074	1184	671	1416	2117	2099	2735	1663	2244	1361	1513	2390	1398	1115	2490	1837	1477	2166	1443	2058	2237	2760	2004	2198	2110	2265	1949	1959	1750	2033	2218	1851	1834	1569	1965	1996	2063	1795	1593	1736	1705	2247	2274	2224	2479	2137	2074	2459	2466	2799	2820	2661	1510	1928	244	106	204	484	2085	2490	2437	3023	2954	1434	1025	1486	
2500	2700	840	1300	1900	1000	1300	2400	400	1200	2400	1800	700	1700	1800	1100	600	1300	2000	1800	2600	1600	2000	1300	1400	2250	1300	1000	2400	1700	1350	2100	2100	2000	2100	2600	2000	2100	2000	2200	1800	1900	1700	2000	2100	1800	1800	1500	1900	1900	2000	1700	1500	1700	1650	2200	2200	2000	2400	2000	2000	2300	2400	2600	2700	2600	1400	1800	250	150	300	500	2000	2300	2300	2500	2600	1200	800	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1783	1856	590	821	1200	723	663	1478	312	699	1507	1132	529	1003	1235	702	375	830	1303	1276	1653	993	1411	861	932	1501	836	694	1542	1128	902	1278	1423	1150	1205	1479	1271	1382	1284	1491	1160	1196	1081	1280	1279	1142	1160	922	1211	1235	1253	1152	1014	1057	1076	1399	1398	1424	1595	1348	1268	1394	1407	1824	1852	1467	874	1025	188	97	144	401	1457	1740	1297	2109	1866	933	627	995	
11	11	13	41	19	11	8	7	5	122	19	22	4	9	30	23	3	11	20	27	32	22	16	8	29	28	25	15	12	7	24	39	18	33	5	15	19	17	25	17	36	46	20	21	29	21	13	15	19	25	31	23	18	30	32	30	28	22	33	21	13	21	13	9	13	15	40	23	49	8	60	83	8	8	10	7	18	1	4	1	
706	833	237	438	681	266	629	915	83	379	874	646	167	688	535	375	222	459	677	497	915	585	573	431	439	721	436	291	846	565	424	783	659	817	890	1106	710	701	691	692	604	658	599	699	792	637	627	563	670	640	716	525	468	613	542	771	774	554	772	631	719	885	980	767	835	1118	486	752	13	45	96	16	535	552	993	384	716	266	169	204	
11	11	13	41	19	11	8	7	5	122	19	22	4	9	30	23	3	11	20	27	32	22	16	8	29	28	25	15	12	7	24	39	18	33	5	15	19	17	25	17	36	46	20	21	29	21	13	15	19	25	31	23	18	30	32	30	28	22	33	21	13	21	13	9	13	15	40	23	49	8	60	83	8	8	10	7	18	1	4	1	
1783	1856	590	821	1200	723	663	1477	312	699	1504	1132	529	1003	1234	702	375	830	1303	1275	1653	993	1411	861	930	1501	839	694	1540	1128	902	1278	1423	1150	1205	1479	1271	1365	1283	1490	1160	1196	1081	1280	1279	1142	1160	922	1211	1235	1253	1152	1014	1056	1076	1399	1398	1424	1595	1348	1268	1393	1407	1824	1851	1466	874	1025	187	97	144	401	1449	1740	1297	2109	1863	933	627	995	
21	9	2	14	15	14	11	14	1	8	16	9	17	13	14	9	4	10	12	11	23	9	31	14	13	14	11	7	39	14	11	12	24	12	10	16	10	17	16	21	9	10	13	13	17	9	14	8	15	9	17	11	9	8	7	21	11	17	16	16	8	10	19	19	20	17	7	8	4	2	2	6	16	17	12	17	21	6	8	5	
1773	1858	601	848	1204	720	660	1470	316	813	1507	1145	516	999	1250	716	374	831	1311	1291	1662	1006	1396	855	946	1515	853	702	1513	1121	915	1305	1417	1171	1200	1478	1280	1365	1292	1486	1187	1232	1088	1288	1291	1154	1159	929	1215	1251	1267	1164	1023	1078	1101	1408	1415	1429	1612	1353	1273	1404	1401	1814	1844	1464	907	1040	232	103	202	478	1441	1731	1295	2099	1860	928	623	991	
