"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	"УИК №1738"	"УИК №1739"	"УИК №1740"	"УИК №1741"	"УИК №1742"	"УИК №1743"	"УИК №1744"	"УИК №1745"	"УИК №1746"	"УИК №1747"	"УИК №1748"	"УИК №1749"	"УИК №1750"	"УИК №1751"	"УИК №1752"	"УИК №1753"	
1971	2500	2120	1609	1722	2512	2621	2249	1573	2010	2880	472	456	1157	425	1016	1454	1570	201	120	288	1918	2134	2024	1459	2187	2183	220	1132	258	1098	1128	2269	1885	717	318	315	1310	1134	1099	2598	2132	252	292	240	1505	1672	1952	733	621	1081	1938	1633	
1960	2540	2180	1650	1770	2420	2640	2300	1650	2600	2950	490	460	1170	435	1040	1550	1600	200	115	285	1985	2200	1990	1480	2350	2200	215	1170	260	1270	1140	2320	1910	730	325	315	1330	1140	1180	2680	2170	240	290	240	1540	1660	1990	770	640	1090	1970	1690	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1521	2199	1872	1420	1438	2261	2490	2100	1357	1629	2526	386	375	1021	371	936	908	1428	165	106	271	1773	1908	1674	1266	1433	1903	201	945	235	927	1008	1982	1661	475	264	265	817	968	1000	1479	1890	233	270	225	1146	1036	1676	642	546	942	1698	1431	
375	239	152	126	124	140	76	129	120	180	280	59	59	113	50	66	302	119	27	8	7	135	212	289	144	220	215	14	179	19	132	102	248	201	225	51	45	109	110	86	320	230	6	9	13	148	94	136	69	57	108	221	173	
64	102	156	104	208	19	74	71	173	791	144	45	26	36	14	38	340	53	8	1	7	77	80	27	70	697	82	0	46	6	211	30	90	48	30	10	5	404	62	94	881	50	1	11	2	246	530	178	59	37	40	51	86	
375	239	152	126	124	140	76	129	120	180	280	59	59	113	50	66	302	119	27	8	7	135	212	289	144	220	215	14	179	19	132	102	248	201	225	51	45	109	110	86	320	230	6	9	13	148	94	136	69	57	108	221	173	
1521	2199	1872	1420	1438	2261	2490	2100	1357	1629	2526	386	375	1021	371	936	908	1428	165	106	271	1773	1908	1674	1266	1433	1903	201	945	235	927	1008	1982	1661	475	264	265	817	968	1000	1479	1890	233	270	225	1124	1036	1676	642	546	942	1698	1431	
8	6	6	1	3	1	0	11	9	17	18	0	5	1	0	0	12	0	0	0	0	3	3	14	8	4	0	0	0	0	17	0	0	7	0	4	1	12	0	2	0	10	1	0	3	21	10	6	9	30	3	3	0	
1888	2432	2018	1545	1559	2400	2566	2218	1468	1792	2788	445	429	1133	421	1002	1198	1547	192	114	278	1905	2117	1949	1402	1649	2118	215	1124	254	1042	1110	2230	1855	700	311	309	914	1078	1084	1799	2110	238	279	235	1251	1120	1806	702	573	1047	1916	1604	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	8	9	5	5	3	6	20	4	22	2	1	1	4	3	3	8	2	0	1	0	6	7	13	6	5	1	1	3	0	9	7	10	4	0	2	2	9	5	4	1	9	1	2	0	4	7	6	1	2	4	5	8	
101	169	111	103	62	47	121	83	151	196	170	28	17	73	27	70	162	69	11	9	15	109	116	134	90	137	157	13	67	5	135	58	98	100	13	14	9	99	66	78	125	170	10	15	14	117	146	120	94	58	57	128	112	
97	133	108	51	49	42	107	92	66	118	140	20	16	56	25	59	88	61	10	5	9	73	108	108	62	104	77	12	45	3	57	45	52	114	5	11	15	48	52	39	109	102	8	13	10	59	67	101	60	77	36	95	81	
1636	2090	1768	1349	1420	2297	2293	1991	1229	1411	2409	386	386	972	357	853	919	1388	169	97	245	1661	1849	1654	1213	1355	1838	186	991	231	811	972	2029	1613	673	274	267	745	936	949	1510	1800	209	248	204	1054	870	1540	537	422	939	1657	1361	
15	14	5	10	3	2	8	9	4	12	20	2	0	9	5	2	9	11	0	0	3	19	7	8	13	25	15	0	8	5	7	10	18	5	3	6	6	4	3	5	14	12	2	0	3	12	8	8	6	4	2	8	12	
3	6	1	6	6	5	10	10	2	10	5	3	8	8	2	0	8	8	0	2	4	18	7	5	5	5	6	3	5	7	4	8	11	7	3	1	7	3	6	3	10	8	5	0	2	1	11	16	1	7	2	4	3	
6	7	5	8	8	3	9	8	5	16	20	4	1	4	2	6	2	5	1	0	1	8	10	11	5	8	5	0	3	1	13	7	8	4	1	2	2	4	6	4	12	7	2	1	0	3	6	13	1	2	3	5	12	
19	5	11	13	6	1	12	5	7	7	22	1	0	7	0	9	2	3	1	0	1	11	13	16	8	10	19	0	2	2	6	3	4	8	2	1	1	2	4	2	18	2	1	0	2	1	5	2	2	1	4	14	15	
