"УИК №2901"	"УИК №2902"	"УИК №2903"	"УИК №2904"	"УИК №2905"	"УИК №2906"	"УИК №2907"	"УИК №2908"	"УИК №2909"	"УИК №2910"	"УИК №2911"	"УИК №2912"	"УИК №2913"	"УИК №2914"	"УИК №2915"	"УИК №2916"	"УИК №2917"	"УИК №2918"	"УИК №2919"	"УИК №2920"	"УИК №2921"	"УИК №2922"	"УИК №2923"	"УИК №2924"	"УИК №2925"	"УИК №2926"	"УИК №2927"	"УИК №2928"	"УИК №2929"	"УИК №2930"	"УИК №2931"	"УИК №2932"	"УИК №2933"	"УИК №2934"	"УИК №2935"	"УИК №2936"	"УИК №2937"	"УИК №2938"	"УИК №2939"	"УИК №2940"	"УИК №2941"	"УИК №2942"	"УИК №2943"	"УИК №2944"	"УИК №2945"	"УИК №2946"	"УИК №2947"	"УИК №2948"	"УИК №2949"	"УИК №2950"	"УИК №2951"	"УИК №2952"	"УИК №2953"	"УИК №2954"	"УИК №2955"	"УИК №2956"	"УИК №2957"	"УИК №2958"	"УИК №2959"	"УИК №2960"	"УИК №2961"	"УИК №2962"	"УИК №2963"	"УИК №2964"	"УИК №2965"	"УИК №2966"	"УИК №2967"	
574	2320	2246	2053	2072	2068	2166	1992	2087	1924	2318	2083	2276	1779	2116	1905	2115	2186	2283	2282	2124	2168	2550	2425	1687	2192	2247	1702	2266	2230	2196	2153	1853	1901	1998	2005	1903	2094	2333	2245	1962	2544	1111	1861	1252	1229	2029	1991	2020	1879	1834	1455	2047	2647	2506	2273	2142	1714	2289	2216	2140	874	2269	1448	1713	310	223	
630	2000	2000	2000	2000	2000	2000	1970	1900	1900	2100	2000	2100	2100	2100	1860	2000	2200	2100	2000	2000	2000	2300	2200	2000	2000	2100	2100	2200	2100	2000	1900	1800	1800	1950	1900	1900	2000	2100	2200	1900	2300	1000	1770	1790	1780	1870	2000	2000	1800	1800	1900	2000	2300	2000	2000	1960	1500	2000	2000	1850	640	2000	1320	1600	320	260	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
574	1575	1475	1224	1357	1509	1436	1214	1534	1403	1546	1420	1492	1771	1485	1434	1502	1686	1666	1656	1390	1481	1964	1992	1679	1592	1646	1693	1632	1293	1516	1382	1371	1452	1239	1418	1179	1593	1571	1674	1514	1856	811	1352	1232	1216	1416	1484	1421	1409	1322	1442	1611	1692	1716	1589	1443	1056	1800	1492	1610	612	1663	1060	1239	184	175	
0	13	6	21	15	10	7	12	15	8	20	20	10	8	5	6	24	17	21	21	20	11	9	5	8	6	26	9	30	10	19	19	29	31	27	60	20	8	13	35	14	25	4	20	20	13	17	12	16	16	17	13	25	18	10	7	10	7	8	20	9	0	8	6	2	126	33	
56	412	519	755	628	481	557	744	351	489	534	560	598	321	610	420	474	497	413	323	590	508	327	203	313	402	428	398	538	797	465	499	400	317	684	422	701	399	516	491	372	419	185	398	538	551	437	504	563	375	461	445	364	590	274	404	507	437	192	488	231	28	329	254	359	10	52	
0	13	6	21	15	10	7	12	15	8	20	20	10	8	5	6	24	17	21	21	20	11	9	5	8	6	26	9	30	10	19	19	29	31	27	60	20	8	13	35	14	25	4	20	20	13	17	12	16	16	17	13	25	18	10	7	10	7	8	20	9	0	8	6	2	126	33	
574	1575	1475	1224	1357	1509	1436	1211	1519	1403	1546	1420	1492	1771	1485	1434	1502	1686	1666	1656	1390	1481	1964	1992	1665	1592	1646	1693	1632	1293	1514	1382	1371	1452	1239	1418	1179	1593	1571	1659	1514	1856	810	1352	1232	1216	1416	1484	1421	1409	1322	1442	1586	1692	1716	1589	1443	1056	1800	1492	1610	612	1663	1060	1239	184	175	
3	0	22	14	18	14	16	11	19	24	18	9	26	31	0	22	11	22	17	22	9	15	28	23	21	21	14	12	14	7	20	18	25	26	6	27	21	24	7	15	25	22	7	9	31	18	22	11	16	21	20	16	23	0	20	13	3	13	15	31	14	1	15	12	10	1	1	
571	1588	1459	1231	1354	1505	1427	1212	1515	1387	1548	1431	1476	1748	1490	1418	1515	1681	1670	1655	1401	1477	1945	1974	1652	1577	1658	1690	1648	1296	1513	1383	1375	1457	1260	1451	1178	1577	1577	1679	1503	1859	807	1363	1221	1211	1411	1485	1421	1404	1319	1439	1588	1710	1706	1583	1450	1050	1793	1481	1605	611	1656	1054	1231	309	207	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	16	7	8	7	12	7	12	6	9	10	16	19	15	8	7	13	16	15	3	11	12	17	9	12	6	14	14	16	9	11	8	25	13	10	10	6	13	10	16	16	16	7	19	10	12	11	11	9	13	7	8	13	8	8	5	5	5	15	5	13	1	6	6	7	2	5	
39	142	167	160	142	178	176	116	189	140	126	131	142	187	50	172	151	223	171	178	131	136	236	226	213	167	166	194	187	147	167	153	128	165	101	146	137	188	195	179	169	217	75	81	124	125	164	189	157	175	161	218	156	223	231	190	91	124	180	186	178	40	210	92	112	32	24	
44	157	172	170	151	137	157	120	94	121	128	110	145	150	186	82	135	284	102	197	101	329	99	120	85	94	103	86	131	143	130	131	119	114	149	134	147	105	179	141	122	269	183	165	105	93	101	250	120	81	74	104	110	250	135	115	153	128	163	109	90	68	91	128	123	22	11	
472	1144	1064	858	998	1107	1013	901	1152	1039	1212	1109	1099	1310	1185	1078	1149	1068	1284	1208	1074	901	1470	1503	1241	1215	1277	1317	1247	932	1135	1012	1041	1101	948	1106	834	1198	1130	1255	1122	1254	499	1009	927	915	1057	950	1045	1046	981	1019	1208	1146	1256	1198	1128	729	1353	1110	1258	467	1289	760	940	244	162	
8	16	24	20	23	36	37	30	36	44	35	29	32	35	31	49	32	49	45	38	40	44	57	56	51	48	48	42	29	33	31	38	25	31	26	32	22	27	31	40	34	43	20	40	32	32	37	43	42	48	44	46	49	43	39	43	36	37	51	28	40	22	35	42	25	2	3	
3	31	6	5	11	11	10	15	8	10	9	6	8	23	12	7	9	11	15	8	8	14	13	8	10	18	6	7	16	15	13	9	9	11	9	8	12	8	6	9	9	20	4	7	7	16	11	8	20	5	7	7	15	6	9	4	6	6	7	16	5	0	8	6	5	2	1	
0	31	11	6	13	10	16	6	13	16	8	12	13	10	6	9	10	15	19	11	17	21	33	25	16	15	23	17	9	6	11	15	19	9	12	9	6	19	16	23	16	9	5	21	7	9	10	24	14	22	27	20	18	18	14	12	16	16	9	9	9	3	12	10	9	2	1	
2	51	8	4	9	14	11	12	17	8	20	18	18	18	12	14	16	15	19	12	19	20	20	27	24	14	21	13	13	11	15	17	9	13	5	6	14	19	10	16	15	31	14	21	9	9	20	10	14	14	18	17	19	16	14	16	15	5	15	18	12	10	5	10	10	3	0	
