"УИК №1"	"УИК №2"	"УИК №3"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	
173	345	140	815	176	253	48	232	698	1046	2306	2017	802	
180	350	160	850	180	250	60	250	700	1000	2400	2000	800	
0	0	0	8	0	0	0	0	0	0	0	0	0	
64	123	66	366	76	95	34	73	317	626	1216	1083	369	
22	9	6	61	16	85	5	77	18	40	58	85	68	
94	218	88	415	88	70	21	100	365	334	1126	832	363	
22	9	6	69	16	85	5	77	18	40	58	85	68	
64	123	66	366	76	95	34	73	317	626	1216	1083	369	
1	8	0	5	8	0	0	1	6	6	20	31	7	
85	124	72	430	84	180	39	149	329	660	1254	1137	430	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	1	2	0	3	0	0	5	2	8	7	3	
2	14	5	53	8	6	6	8	46	87	159	169	63	
7	18	2	44	12	19	4	8	40	65	107	102	51	
75	87	64	324	63	148	29	133	231	486	947	822	304	
1	2	0	2	0	0	0	0	3	8	20	18	4	
0	0	0	2	1	1	0	0	2	3	9	5	1	
0	1	0	2	0	0	0	0	2	5	3	7	2	
0	0	0	1	0	3	0	0	0	4	1	7	2	
