"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №1187"	"УИК №1189"	"УИК №1190"	
2412	2241	1718	1006	1286	1456	2018	2166	2385	2811	2356	1638	770	2369	2780	2352	1948	2074	2093	2294	2075	2286	1991	2224	2130	2365	2505	2542	2370	2425	2503	2039	2580	2193	1714	1453	1582	2144	1239	2000	912	2796	434	1506	3017	3310	2335	1633	182	2037	2889	1290	355	536	129	209	141	84	115	125	2431	2295	110	787	3025	1713	1831	487	1585	1881	1396	1743	2587	2229	1031	2532	1938	2210	1241	1690	2326	2307	2232	2111	1284	2578	2022	1391	1571	1635	2661	2608	2066	2855	2020	2198	1953	2461	1267	1114	
2000	1800	1400	800	1100	1200	1700	1800	2000	2400	1900	1400	500	2000	2200	2000	1700	1700	1800	1900	1700	1800	1700	1800	1800	2000	2100	2200	2000	2100	2100	1700	2200	1800	1300	1200	1400	1800	1100	1800	800	2300	350	1300	2300	2500	2000	1400	450	1700	2200	1000	394	552	140	213	153	102	160	141	2000	2000	159	650	2400	1400	1500	700	1300	1500	1200	1500	2200	1800	800	2100	1600	1800	1000	1400	1900	1900	1800	1700	1000	2100	1700	1100	1300	1400	2200	2200	1700	2500	1700	1900	1600	2000	900	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1379	1258	1104	576	750	831	1105	1299	1333	1442	1289	870	313	1228	1544	1447	1167	1297	1237	1368	1268	1371	1230	1270	1389	1422	1577	1456	1373	1471	1626	1067	1556	1353	993	845	735	1220	721	1224	480	1691	294	755	1557	1897	1439	976	130	1155	1558	721	291	380	123	179	77	66	109	79	1219	1432	89	485	1828	1082	1139	487	897	1086	744	1000	1400	1229	406	1334	914	1306	445	862	1332	1341	1095	1262	853	1518	1089	780	872	949	1590	1519	1261	1702	1145	1244	1110	1312	787	633	
12	12	6	18	19	19	25	25	29	17	33	49	87	25	10	22	11	5	34	24	24	14	26	20	15	30	15	18	30	10	23	23	15	42	12	18	21	23	10	8	35	54	9	36	272	12	22	21	0	21	16	19	28	123	4	17	53	14	0	38	10	41	6	7	20	18	18	0	21	22	34	29	81	27	4	13	12	15	39	10	21	22	8	9	5	65	24	26	22	47	22	58	32	20	10	23	13	21	5	5	
609	530	290	206	331	350	570	476	638	941	578	481	100	747	646	531	522	398	529	508	408	415	444	510	396	548	508	726	597	619	451	610	629	405	295	337	644	557	369	568	285	555	47	509	471	591	539	403	320	524	626	260	75	49	13	17	23	22	51	24	771	527	64	158	552	300	343	213	382	392	422	471	719	544	390	753	674	479	516	528	547	537	697	429	142	517	587	294	406	404	588	623	407	778	545	633	477	667	108	162	
12	12	6	18	19	19	25	25	29	17	33	49	87	25	10	22	11	5	34	24	24	14	26	20	15	30	15	18	30	10	23	23	15	42	12	18	21	23	10	8	35	54	9	36	272	12	22	21	0	21	16	19	28	123	4	17	53	14	0	38	10	41	6	7	20	18	18	0	21	22	34	29	81	27	4	13	12	15	39	10	21	22	8	9	5	65	24	26	22	47	22	58	32	20	10	23	13	21	5	5	
1379	1258	1104	576	750	831	1104	1299	1332	1441	1288	870	313	1228	1544	1447	1167	1297	1237	1368	1268	1371	1229	1269	1389	1422	1576	1455	1373	1471	1626	1066	1556	1353	993	845	735	1219	721	1224	480	1690	294	755	1557	1896	1439	976	130	1155	1558	721	291	380	123	179	77	66	109	79	1218	1432	89	484	1828	1082	1138	487	897	1085	744	998	1400	1227	406	1334	914	1305	445	862	1332	1341	1095	1259	852	1518	1089	780	871	949	1589	1519	1261	1701	1145	1244	1110	1312	786	633	
7	16	12	12	10	12	11	14	33	16	14	12	4	17	15	14	15	18	15	13	12	15	18	11	9	9	20	15	5	15	19	11	17	10	13	8	12	18	15	15	7	19	4	11	29	24	18	12	5	10	11	3	7	8	2	2	0	1	4	4	12	9	0	7	17	9	23	5	9	16	7	10	12	13	7	11	13	14	2	10	16	26	13	6	19	19	11	9	14	14	16	16	17	19	11	12	11	14	9	8	
1384	1254	1098	582	759	838	1118	1310	1328	1442	1307	907	396	1236	1539	1455	1163	1284	1256	1379	1280	1370	1237	1278	1395	1443	1571	1458	1398	1466	1630	1078	1554	1385	992	855	744	1224	716	1217	508	1725	299	780	1800	1884	1443	985	125	1166	1563	737	312	495	125	194	130	79	105	113	1216	1464	95	484	1831	1091	1133	482	909	1091	771	1017	1469	1241	403	1336	913	1306	482	862	1337	1337	1090	1262	838	1564	1102	797	879	982	1595	1561	1276	1702	1144	1255	1112	1319	782	630	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

17	6	15	3	10	10	6	19	9	13	4	17	5	12	10	10	14	18	10	9	7	11	15	12	12	16	5	14	12	14	16	3	11	12	9	10	3	13	7	5	3	15	3	6	15	11	7	9	1	11	10	7	2	3	0	4	1	1	3	1	8	26	0	5	12	14	16	2	12	8	13	11	9	11	4	9	6	18	0	7	12	12	9	12	4	16	20	11	8	14	13	18	21	13	10	17	8	16	3	5	
188	136	136	59	92	116	121	141	140	198	179	113	48	143	211	188	123	149	132	180	163	216	163	168	166	179	200	210	195	188	195	160	236	188	105	82	66	122	82	130	49	254	29	104	209	290	174	106	18	158	243	111	46	50	14	21	14	17	18	11	177	195	5	66	261	149	146	11	120	148	99	112	191	155	59	180	106	207	47	119	195	185	135	188	141	237	158	99	114	120	177	183	166	261	203	154	135	166	122	95	
137	126	98	51	53	73	115	131	136	137	117	81	43	116	111	122	132	108	117	131	121	117	105	117	140	155	121	127	129	119	140	104	124	77	149	93	95	155	84	113	57	166	26	42	184	201	117	78	23	115	138	59	25	50	14	19	14	1	15	13	134	90	22	42	145	67	91	144	84	94	60	70	134	73	43	109	91	89	67	76	115	106	88	131	74	101	89	59	84	78	151	149	99	92	104	112	98	103	72	58	
957	910	783	436	542	594	805	943	972	987	933	643	278	875	1111	1022	821	913	919	956	895	926	881	894	981	978	1133	983	966	1056	1170	737	1058	975	691	637	540	887	505	900	381	1222	234	588	1289	1245	1030	728	77	811	1081	508	226	370	92	138	100	58	64	84	827	1060	66	324	1274	774	796	288	627	769	545	743	1031	908	278	963	660	880	348	594	929	948	773	832	557	1095	759	553	605	709	1136	1101	884	1183	758	904	785	920	516	407	
31	31	20	18	26	14	33	27	31	40	29	22	8	30	36	42	28	39	27	37	32	35	29	30	29	41	42	61	39	37	42	30	64	49	17	10	13	15	17	27	7	32	2	13	54	46	45	19	2	24	38	15	4	9	0	7	0	1	1	1	30	34	0	16	61	33	32	25	32	30	24	25	42	31	9	27	18	40	8	25	34	23	27	34	25	48	27	35	29	29	47	35	28	58	30	28	40	53	36	25	
13	8	11	7	9	9	15	9	6	13	10	7	4	26	14	10	15	14	13	12	19	15	8	16	24	19	12	11	12	10	19	9	16	13	6	6	9	12	6	12	5	10	3	9	13	12	11	6	2	15	11	10	4	6	1	2	0	0	4	1	6	16	0	8	15	10	13	3	3	9	4	16	17	17	6	9	9	9	4	10	12	18	10	10	8	14	16	7	9	6	12	22	20	8	9	8	9	13	6	10	
18	15	15	1	11	14	11	15	17	26	10	10	6	13	20	28	15	22	17	27	14	20	18	22	20	27	32	24	12	19	25	13	22	28	10	11	9	10	7	11	5	16	0	5	16	34	23	8	1	16	18	14	4	4	3	0	0	0	0	1	14	21	1	7	32	28	16	6	17	11	5	15	14	27	1	19	6	31	7	14	16	16	18	13	10	21	17	13	6	10	14	22	22	38	12	16	16	24	17	18	
