"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	
1903	1850	1877	1701	1509	1665	70	103	183	254	210	302	242	283	285	343	449	286	320	377	342	428	470	415	470	532	557	677	737	610	821	876	1471	366	
1500	1500	1500	1400	1400	1600	100	110	250	270	250	350	300	320	300	410	550	350	400	370	400	450	500	450	500	550	700	750	750	700	850	900	1500	430	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1264	1208	1207	1081	892	1146	67	102	159	179	178	243	205	240	209	247	346	229	244	296	242	350	367	316	343	379	373	469	527	449	660	611	1023	267	
68	50	173	37	51	48	1	0	12	19	4	2	8	21	12	5	24	6	14	13	15	15	9	17	19	16	22	41	43	28	34	27	60	12	
168	242	120	282	457	406	32	8	79	72	68	105	87	59	79	158	180	115	142	61	143	85	124	117	138	155	305	240	180	223	156	262	417	151	
68	50	173	37	51	48	1	0	12	19	4	2	8	21	12	5	24	6	14	13	15	15	9	17	19	16	22	41	43	28	34	27	60	12	
1264	1208	1207	1081	892	1146	67	102	159	179	178	243	205	240	209	247	346	229	244	296	242	350	367	316	343	379	373	469	527	449	660	611	1023	267	
10	10	12	14	6	6	0	2	0	0	1	2	1	2	1	1	0	1	1	2	0	3	0	0	1	3	0	6	4	1	5	4	6	1	
1322	1248	1368	1104	937	1188	68	100	171	198	181	243	212	259	220	251	370	234	257	307	257	362	376	333	361	392	395	504	566	476	689	634	1077	278	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	4	2	2	4	2	0	0	0	3	1	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	2	1	1	2	3	2	2	
639	577	553	351	263	580	10	11	60	82	51	99	50	99	84	60	140	85	110	137	79	156	132	145	103	186	105	164	226	192	301	299	445	83	
12	8	8	28	31	3	1	0	0	2	0	3	2	1	1	1	2	1	2	1	0	0	5	2	3	4	2	5	5	4	1	2	10	2	
634	624	783	709	622	589	55	89	110	109	129	141	158	155	134	187	225	142	140	167	173	201	224	177	248	197	285	327	325	268	376	318	605	185	
22	22	15	7	11	11	2	0	0	0	0	0	1	0	1	1	1	5	5	1	4	1	9	7	5	4	3	5	7	6	6	9	7	4	
2	1	1	2	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	2	1	3	1	
2	2	3	2	1	2	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	3	0	2	3	0	
8	10	3	3	4	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	5	1	0	0	0	0	2	1	1	0	2	1	
