"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	
2017	437	1399	1511	1503	739	191	1174	191	685	1662	960	314	455	484	
2080	410	1370	1560	1520	740	190	1280	190	700	1730	990	300	480	380	
0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	
1209	252	849	891	836	321	83	513	98	356	734	463	151	154	275	
55	7	41	12	32	15	10	16	9	44	55	20	13	43	16	
816	151	480	657	652	404	97	751	83	300	941	507	136	243	89	
55	7	41	12	32	15	10	16	9	44	55	20	13	83	16	
1209	252	849	891	836	321	83	513	98	356	734	463	151	154	275	
21	4	16	18	21	6	4	7	2	4	9	5	1	1	4	
1243	255	874	885	847	330	89	522	105	396	780	478	163	236	287	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	3	7	5	4	3	1	2	0	9	3	14	0	3	2	
123	23	72	78	84	41	4	57	5	17	64	60	6	19	24	
91	27	70	74	96	41	8	61	26	28	83	68	25	28	25	
962	190	680	691	621	237	72	385	73	331	604	319	128	185	222	
25	3	14	18	14	3	0	5	0	5	8	7	2	0	6	
9	0	8	5	7	2	1	3	1	4	7	4	0	0	4	
10	6	15	4	9	1	2	4	0	0	4	4	1	0	3	
17	3	8	10	12	2	1	5	0	2	7	2	1	1	1	
