"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	
1621	289	473	94	376	260	204	135	126	
1675	303	495	95	413	282	227	138	127	
0	0	0	0	0	0	0	0	0	
891	147	272	49	190	100	115	71	75	
65	70	58	19	78	72	24	23	19	
719	86	165	27	145	110	88	44	33	
65	70	58	19	78	72	24	23	19	
891	147	272	49	190	100	115	71	75	
9	0	6	0	4	1	4	1	0	
947	217	324	68	264	171	135	93	94	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

3	0	2	0	3	1	1	0	1	
113	12	42	3	19	8	18	8	3	
119	14	36	11	29	16	16	6	9	
685	180	239	53	203	145	99	79	80	
12	4	2	0	2	0	0	0	0	
6	5	1	1	5	1	0	0	0	
4	0	1	0	3	0	1	0	1	
5	2	1	0	0	0	0	0	0	
