"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	
2068	1861	1543	1624	1409	1362	1946	1421	1678	2183	2092	2007	2060	1209	2768	2039	
2160	1925	1547	1629	1390	1365	1954	1473	1672	2200	2118	2015	2060	1207	2790	2045	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1726	1539	1318	1382	1175	1124	1727	1048	1462	1817	1869	1645	906	965	2273	1786	
56	53	30	35	32	17	23	130	13	22	33	28	41	85	21	12	
378	333	199	212	183	224	204	295	197	361	216	342	1113	157	496	247	
56	53	30	35	32	17	23	130	13	22	33	28	41	85	21	12	
1726	1539	1318	1382	1175	1124	1727	1048	1462	1817	1861	1645	906	965	2273	1786	
0	3	0	5	2	2	4	0	0	3	79	6	11	0	1	0	
1782	1589	1348	1412	1205	1139	1746	1178	1475	1836	1815	1667	936	1050	2293	1798	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	2	0	0	0	0	0	0	0	0	4	1	0	0	
88	143	157	184	104	110	70	93	102	187	52	153	148	203	350	183	
0	7	0	5	0	0	2	0	0	0	0	0	5	1	0	0	
1693	1433	1191	1211	1097	1029	1674	1085	1373	1649	1763	1509	764	839	1941	1615	
0	4	0	6	1	0	0	0	0	0	0	2	6	4	0	0	
0	0	0	2	0	0	0	0	0	0	0	0	4	1	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	
0	1	0	2	3	0	0	0	0	0	0	3	2	0	2	0	
