"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №167"	"УИК №168"	"УИК №175"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №370"	
2118	1775	2159	1095	2748	1216	291	703	1128	2149	2397	2355	1928	2392	1801	500	863	442	1341	
1940	1600	1875	990	2520	1120	260	550	1020	2140	2415	2350	1920	2400	1820	500	850	500	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1757	1441	1683	873	2239	991	204	441	867	1821	1700	1700	1353	2045	1238	206	512	442	1341	
146	131	146	63	120	101	47	89	43	122	300	347	300	132	213	158	295	0	0	
37	28	46	54	161	28	9	20	110	197	415	303	267	223	369	136	43	58	159	
146	131	146	63	120	101	47	89	43	122	300	347	300	132	213	158	295	0	0	
1757	1441	1683	873	2239	991	204	441	867	1701	1700	1700	1353	2045	1238	206	512	442	1341	
3	2	1	0	2	0	0	1	0	27	44	31	25	35	24	7	4	4	0	
1900	1570	1828	936	2357	1092	251	529	910	1796	1956	2016	1628	2142	1427	357	803	438	1341	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	0	1	2	9	3	7	0	0	10	7	7	4	4	1	2	0	2	9	
197	194	181	8	302	148	45	3	81	341	351	364	289	393	244	50	1	45	35	
97	78	125	87	187	27	0	3	14	18	19	26	17	17	15	5	2	18	34	
1429	1168	1325	744	1693	876	187	512	762	1384	1529	1534	1283	1648	1128	291	794	347	1191	
0	0	0	0	1	0	0	0	0	15	18	26	16	12	20	4	0	1	2	
120	43	112	59	98	27	6	10	24	18	16	32	11	44	9	5	2	14	38	
50	84	79	36	64	9	6	1	29	2	6	4	4	9	5	0	4	9	24	
0	3	5	0	3	2	0	0	0	8	10	23	4	15	5	0	0	2	8	
