"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	
672	188	453	1050	450	175	453	224	190	461	465	1321	2132	2327	2028	1020	1704	1300	1329	
650	160	450	1000	400	170	450	200	190	450	450	1200	2000	2300	1900	950	1600	1300	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	60	170	582	206	75	247	101	70	134	262	355	1158	1314	1156	455	771	737	744	
35	37	71	30	65	15	15	25	14	66	18	143	23	37	52	22	56	18	32	
277	63	209	388	129	80	188	74	106	250	170	702	819	949	692	473	773	545	524	
35	37	71	30	65	15	15	25	14	66	18	143	23	37	52	22	56	18	32	
338	60	170	582	206	75	247	101	70	134	262	355	1158	1314	1156	455	771	737	744	
1	0	0	5	1	0	2	0	3	1	3	7	11	17	25	4	13	6	11	
372	97	241	607	270	90	260	126	81	199	277	491	1170	1334	1183	473	814	749	765	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	1	3	2	1	0	0	0	1	1	1	12	10	13	3	7	9	6	
22	12	38	67	16	12	13	3	11	13	28	47	154	165	143	63	114	81	98	
30	7	22	49	24	13	12	11	6	18	18	34	87	89	91	41	63	42	65	
303	74	174	465	222	62	231	110	62	161	222	401	869	1005	880	354	586	584	560	
10	2	2	7	2	2	0	1	1	4	8	4	20	28	20	3	19	14	17	
3	1	3	7	1	0	2	0	0	1	0	3	6	11	12	6	9	7	4	
1	0	1	7	3	0	1	1	1	0	0	0	7	12	10	1	11	10	5	
3	0	0	2	0	0	1	0	0	1	0	1	15	14	14	2	5	2	10	
