"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	
1313	1225	1159	408	734	672	863	437	103	635	147	570	226	189	86	836	213	55	164	78	700	317	146	383	
1300	1200	1100	330	700	640	840	430	90	590	150	520	210	180	85	780	200	40	130	70	610	310	120	380	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
711	624	687	217	355	344	474	241	61	379	83	308	127	89	42	420	122	25	93	37	412	159	85	197	
32	24	26	29	15	8	16	15	7	17	2	23	6	14	5	55	13	7	8	7	21	8	3	20	
557	552	387	84	330	288	350	174	22	194	65	189	77	77	38	305	65	8	29	26	177	143	32	163	
32	24	26	29	15	8	16	15	7	17	2	23	6	14	5	55	13	7	8	7	21	8	3	20	
711	624	687	217	355	344	474	241	61	379	83	308	127	89	42	420	122	25	93	37	412	159	85	197	
17	3	18	3	3	1	7	3	0	3	0	2	1	1	0	10	3	1	0	0	2	1	3	3	
726	645	695	243	367	351	483	253	68	393	85	329	132	102	47	465	132	31	101	44	431	166	85	214	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	8	6	0	2	2	5	2	0	2	0	2	2	0	1	5	2	0	0	0	1	1	0	0	
74	80	69	14	29	52	52	24	5	31	15	27	9	6	4	39	10	0	7	0	24	3	3	9	
60	47	39	15	38	23	34	25	5	19	7	34	20	8	4	25	12	6	8	4	29	14	5	14	
549	473	536	201	275	268	376	192	58	333	62	253	95	88	38	379	100	24	83	40	364	146	76	187	
17	16	28	4	14	1	6	3	0	1	0	5	2	0	0	8	4	1	1	0	7	1	0	2	
6	13	1	2	1	2	5	2	0	2	0	1	2	0	0	1	0	0	0	0	1	1	0	2	
7	5	7	3	4	1	3	4	0	3	1	2	2	0	0	3	2	0	2	0	4	0	1	0	
4	3	9	4	4	2	2	1	0	2	0	5	0	0	0	5	2	0	0	0	1	0	0	0	
