"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	
1696	1955	1784	1816	288	131	425	308	470	445	461	295	197	224	104	126	520	135	247	174	264	461	270	174	311	359	297	
1700	2000	1810	1800	280	135	430	305	485	475	460	295	190	235	100	130	515	125	235	170	260	455	260	175	310	365	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
759	973	708	786	82	45	184	130	158	140	183	132	71	75	41	49	185	30	92	57	96	242	87	45	122	124	50	
42	31	48	43	47	24	20	28	67	113	39	22	33	20	6	21	35	22	33	30	44	7	48	35	59	40	88	
899	996	1054	971	151	66	226	147	260	222	238	141	86	140	53	60	295	73	110	83	120	206	125	95	129	201	162	
42	31	48	43	47	24	20	28	67	113	39	22	33	20	6	21	35	22	33	30	44	7	48	35	59	40	88	
759	973	708	786	82	45	184	130	158	140	183	132	71	75	41	49	185	30	92	57	96	242	87	45	122	124	50	
8	8	6	5	0	0	0	1	1	0	3	0	0	0	0	0	2	0	1	0	1	2	0	0	0	1	0	
793	996	750	824	129	69	204	157	224	253	219	154	104	95	47	70	218	52	124	87	139	247	135	80	181	163	138	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	5	5	9	0	0	1	0	2	0	2	0	2	3	1	0	2	0	0	0	0	0	0	1	1	0	0	
139	166	151	137	5	4	22	13	9	21	28	20	6	9	4	7	24	4	19	9	17	30	9	7	18	14	4	
82	100	72	59	11	2	21	26	10	20	15	17	11	9	1	7	20	6	15	8	16	28	15	8	19	9	17	
540	694	498	591	111	61	157	115	203	206	168	114	82	73	39	56	170	41	87	69	103	184	109	60	141	138	116	
4	12	8	8	1	0	2	2	0	2	2	1	0	0	1	0	0	0	0	1	0	2	0	1	2	2	1	
11	8	5	8	0	1	0	1	0	3	3	2	1	0	1	0	1	1	1	0	2	1	2	3	0	0	0	
5	6	7	5	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	
4	5	4	7	1	1	1	0	0	1	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	
