"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	
2412	2212	2448	2570	2301	2674	2608	2917	2647	1783	2225	2224	2420	2192	2341	2812	2698	2607	2696	2263	2673	2524	2168	2376	2945	1849	2327	2680	2332	2714	1650	1545	2494	2353	2100	2248	2544	2364	1763	1360	1723	1644	
2500	2000	2500	2500	2300	2500	2700	2700	2500	2000	2500	2300	2300	2200	2300	2600	2500	2500	2500	2200	2500	2500	2200	2500	2700	2000	2300	2500	2000	2500	1500	1500	2500	2400	2300	2400	2700	2200	1700	1200	1700	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1356	1232	1496	1488	1503	1566	1503	1635	1681	1237	1538	1331	1530	1365	1514	1705	1639	1524	1667	946	1391	1251	1191	1261	1568	1026	1243	1305	1194	1459	898	789	1162	1234	1050	1308	1567	1289	891	573	955	788	
56	15	27	51	35	73	66	81	94	38	44	54	29	26	51	64	41	45	28	47	46	93	55	57	57	47	52	274	167	35	43	36	155	54	115	34	66	58	46	26	29	117	
1088	753	977	961	762	861	1131	984	725	725	918	915	741	808	735	831	820	931	805	1207	1063	1156	954	1182	1075	927	1005	921	639	1006	559	675	1183	1112	1135	1058	1067	853	763	601	716	395	
56	15	27	51	35	73	66	81	94	38	44	54	29	26	51	64	41	45	28	47	46	93	55	57	57	47	52	274	167	35	43	36	155	54	115	34	66	58	46	26	29	117	
1356	1232	1496	1488	1503	1566	1503	1635	1681	1237	1538	1331	1530	1364	1514	1705	1639	1524	1667	946	1391	1251	1191	1261	1568	1026	1243	1305	1194	1459	898	789	1162	1234	1050	1308	1567	1289	891	573	955	788	
21	7	20	23	15	27	24	12	18	14	16	4	6	10	26	20	8	29	22	14	14	17	7	19	18	15	15	19	13	19	8	11	16	7	11	12	13	6	15	7	9	1	
1391	1240	1503	1516	1523	1612	1545	1704	1757	1261	1566	1381	1553	1380	1539	1749	1672	1540	1673	979	1423	1327	1239	1299	1607	1058	1280	1560	1348	1475	933	814	1301	1281	1154	1330	1620	1341	922	592	975	904	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	7	12	11	11	11	6	15	13	12	10	9	14	13	9	21	24	13	17	9	13	10	7	11	12	8	6	14	11	10	5	10	14	7	13	7	13	4	8	2	4	2	
168	185	200	212	170	190	210	241	241	123	112	157	181	169	186	225	204	217	179	104	184	150	166	159	185	147	177	178	154	171	104	90	139	135	109	107	187	118	78	62	94	26	
106	97	116	116	103	122	124	112	102	84	27	66	111	51	117	104	89	123	106	69	111	77	90	89	115	93	94	124	117	92	47	57	115	97	55	70	136	86	90	46	100	28	
1048	907	1117	1117	1177	1239	1139	1255	1324	976	1355	1101	1178	1117	1148	1296	1257	1109	1278	768	1043	1023	908	973	1235	756	941	1169	997	1145	749	617	966	986	946	1083	1192	1091	720	460	751	833	
22	20	21	21	26	20	17	30	23	30	32	16	30	4	28	43	36	31	38	13	28	26	23	24	21	13	23	30	26	23	11	18	24	23	11	23	37	10	8	11	8	7	
13	8	6	9	7	12	6	12	14	4	13	7	12	7	10	11	9	12	21	5	15	7	10	14	10	13	11	14	10	11	7	6	10	5	7	8	20	9	2	3	11	3	
13	5	15	14	10	6	14	15	15	11	9	11	14	7	18	18	25	16	10	7	9	8	18	13	6	9	16	6	11	12	5	4	13	4	7	9	16	13	9	6	4	3	
14	11	16	16	19	12	29	24	25	21	8	14	13	12	23	31	28	19	24	4	20	26	17	16	23	19	12	25	22	11	5	12	20	24	6	23	19	10	7	2	3	2	
