"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1760"	"УИК №1761"	"УИК №1762"	"УИК №1763"	"УИК №1764"	
327	47	577	672	801	509	596	607	92	562	87	286	204	215	488	155	91	469	138	379	225	41	28	280	131	41	260	86	256	217	47	196	60	427	253	108	140	96	139	
335	55	590	680	755	520	620	610	90	580	90	290	205	235	495	155	95	480	145	400	230	40	30	295	140	45	265	80	265	220	50	195	60	435	265	120	145	105	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
296	39	504	588	613	486	551	520	83	437	83	267	174	175	415	149	75	443	127	357	188	38	27	246	116	36	233	69	241	201	43	179	54	389	223	101	117	88	115	
15	3	25	21	79	13	20	39	3	39	0	17	8	30	59	0	10	12	8	10	35	0	0	29	13	2	19	8	14	13	0	11	0	12	16	1	10	7	6	
24	13	61	71	63	21	49	51	4	104	7	6	23	30	21	6	10	25	10	33	7	2	3	20	11	7	13	3	10	6	7	5	6	34	26	18	18	10	19	
15	3	25	21	79	13	20	39	3	39	0	17	8	30	59	0	10	12	8	10	35	0	0	29	13	2	19	8	14	13	0	11	0	12	16	1	10	7	6	
296	39	504	588	613	486	551	520	83	437	83	267	174	175	415	149	75	443	127	357	188	38	27	246	116	36	233	69	241	201	43	179	54	389	222	101	117	88	115	
3	0	6	12	10	3	0	6	0	3	0	0	2	1	11	1	1	10	0	6	3	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	0	1	0	
308	42	523	597	682	496	571	553	86	473	83	284	180	204	463	148	84	445	135	361	220	38	27	275	129	38	252	77	253	214	43	190	54	398	237	102	127	94	121	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	2	0	0	0	0	3	0	0	0	0	3	0	0	0	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	
0	4	23	20	103	3	36	17	2	21	0	2	2	2	46	2	0	22	0	6	2	1	0	0	0	0	3	0	3	0	0	0	0	0	18	0	2	1	0	
11	5	47	56	43	3	24	20	0	23	2	5	0	4	21	1	1	20	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	7	5	2	0	0	2	
297	33	453	509	519	490	501	511	81	421	81	273	178	197	389	144	83	403	133	353	216	37	27	270	128	38	249	77	247	211	43	188	54	385	212	89	120	91	119	
0	0	0	0	10	0	8	0	0	2	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	
0	0	0	4	2	0	0	3	0	2	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0	0	
0	0	0	1	1	0	2	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	3	0	0	2	0	0	
0	0	0	6	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	5	0	0	0	
