"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	
1896	1803	1588	2399	1335	1939	424	2424	1985	2227	1588	2571	2408	2137	1899	2109	2175	2104	
1700	1600	1400	2200	1200	1600	490	2300	1800	2000	1400	2300	2200	1800	1700	1800	1900	1700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1030	1037	871	1356	725	998	275	1377	1228	1266	898	1383	1421	1245	1034	1258	1283	1167	
59	27	48	65	33	43	6	66	54	48	38	69	60	36	23	43	24	29	
611	536	481	779	442	559	209	857	518	686	464	848	719	519	643	499	593	504	
59	27	48	65	33	43	6	66	54	48	38	68	60	36	23	43	24	29	
1030	1035	871	1356	723	997	275	1373	1226	1266	895	1379	1420	1242	1032	1256	1280	1163	
12	10	13	18	10	12	4	13	27	13	21	12	39	13	16	15	19	11	
1077	1052	906	1403	746	1028	277	1426	1253	1301	912	1435	1441	1265	1039	1284	1285	1181	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	6	5	25	11	10	3	11	21	22	7	11	15	19	9	10	18	19	
141	140	126	179	101	122	45	204	177	140	120	198	195	158	143	170	171	186	
68	45	33	50	42	35	8	51	54	78	31	57	60	45	39	46	62	53	
748	678	585	975	474	705	190	1008	833	905	614	991	1002	874	697	892	833	797	
35	66	80	69	44	79	16	62	63	82	60	70	76	70	62	50	86	61	
11	9	7	12	9	11	1	5	10	11	9	14	10	9	8	12	5	7	
11	27	24	26	12	20	3	15	23	20	21	28	25	24	26	31	30	18	
47	81	46	67	53	46	11	70	72	43	50	66	58	66	55	73	80	40	
