"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	
2835	2879	2565	640	598	802	2012	1938	2412	689	175	186	876	477	213	615	733	289	162	1550	1131	235	
2958	2975	2580	668	636	847	2080	2030	2503	733	174	187	934	500	214	622	802	308	264	1530	1180	244	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1548	1511	1427	351	386	467	1162	1152	1647	427	102	111	584	272	133	362	423	160	140	781	630	135	
95	89	121	14	14	18	83	113	52	31	1	13	32	19	20	33	38	10	22	100	96	10	
1315	1375	1032	303	236	362	835	765	804	275	71	63	318	209	61	227	341	138	102	649	454	99	
95	89	121	14	14	18	83	113	52	31	1	13	32	19	20	33	38	10	22	100	96	10	
1548	1511	1427	351	386	467	1162	1152	1647	427	102	111	584	272	133	362	423	160	140	781	630	135	
13	18	15	3	7	11	15	19	23	14	3	1	9	5	1	7	2	1	2	5	8	3	
1630	1582	1533	362	393	474	1230	1246	1676	444	100	123	607	286	152	388	459	169	160	876	718	142	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	4	4	0	1	0	10	12	25	2	0	0	0	0	1	1	5	0	1	5	3	0	
278	316	272	62	85	78	255	244	397	114	15	20	71	33	14	62	64	22	18	193	128	19	
88	93	84	31	17	41	155	131	150	37	6	9	32	23	2	14	25	4	12	45	49	7	
1221	1139	1141	266	287	336	772	810	1057	283	78	91	492	227	131	308	353	141	126	625	527	107	
9	13	15	1	1	8	10	12	15	2	0	1	1	2	2	1	5	0	2	3	5	5	
13	8	6	1	2	6	9	18	13	1	1	1	3	0	0	0	4	2	1	3	2	3	
6	3	4	1	0	2	10	12	10	1	0	0	3	0	0	0	1	0	0	1	2	1	
6	6	7	0	0	3	9	7	9	4	0	1	5	1	2	2	2	0	0	1	2	0	
