"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	
3007	1418	2135	993	1824	888	190	439	461	488	744	838	646	1094	582	93	1293	1984	144	305	285	216	1800	630	700	1195	2428	1407	1386	918	257	204	255	137	151	418	417	542	1152	153	324	191	100	858	305	166	124	69	567	319	218	253	231	1037	
2600	1300	2000	900	1800	800	150	400	400	450	700	800	600	1000	500	100	1300	1900	100	300	350	200	1650	550	600	1150	2400	1300	1350	900	250	200	250	130	100	350	400	500	1100	130	300	150	100	850	300	140	130	70	600	350	250	550	200	1100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1574	685	1227	551	929	491	98	211	250	276	460	352	327	561	335	40	788	1044	72	158	143	118	1044	362	352	655	1161	693	760	590	160	129	107	101	94	250	229	291	523	78	127	84	57	396	142	98	77	38	385	190	127	230	114	490	
56	19	20	17	11	18	0	25	20	2	7	15	10	30	15	2	21	45	7	14	11	4	28	6	37	19	10	6	12	40	15	9	10	0	0	11	23	2	51	8	2	5	0	38	12	22	11	14	50	8	8	0	11	54	
970	596	753	332	860	291	52	164	130	172	233	433	263	409	150	58	491	811	21	128	196	78	578	182	211	476	1229	601	578	270	75	62	133	29	6	89	148	207	526	44	171	61	43	416	146	20	42	18	165	152	115	320	75	556	
56	19	20	17	11	18	0	25	20	2	7	15	10	30	15	2	21	45	7	14	11	4	28	6	37	19	10	6	12	40	15	9	10	0	0	11	23	2	51	8	2	5	0	38	12	22	11	14	50	8	8	0	11	54	
1574	685	1227	551	929	491	98	211	250	276	460	352	327	561	335	40	788	1044	72	158	143	118	1044	362	352	655	1160	693	759	590	160	129	107	101	94	250	229	291	523	78	127	84	57	396	142	98	77	38	385	190	127	230	114	490	
8	9	13	7	10	1	1	1	0	4	6	8	3	3	2	0	12	12	0	2	4	4	3	3	2	10	8	4	13	5	0	1	0	0	1	1	1	5	4	0	2	0	0	2	0	0	0	0	2	2	1	7	1	3	
1622	695	1234	561	930	508	97	235	270	274	461	359	334	588	348	42	797	1077	79	170	150	118	1069	365	387	664	1162	695	758	625	175	137	117	101	93	260	251	288	570	86	127	89	57	432	154	120	88	52	433	196	134	223	124	541	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	3	8	8	8	2	0	0	0	0	7	2	1	8	2	0	3	11	0	1	2	1	5	4	0	4	5	1	3	5	1	0	1	0	0	1	1	2	3	0	2	0	0	2	1	0	0	0	1	2	1	2	2	4	
225	109	157	85	116	67	12	33	24	44	68	61	67	82	69	7	105	151	4	30	17	17	167	36	59	87	151	121	107	95	11	13	9	8	19	24	34	45	45	5	14	7	10	45	17	7	6	0	24	9	4	40	17	74	
100	42	66	40	64	30	7	17	16	22	39	39	26	57	30	2	47	49	14	16	18	15	57	32	28	39	74	37	54	39	8	7	7	7	17	28	22	16	46	4	7	6	4	26	15	5	8	6	24	19	8	16	7	40	
1218	514	947	407	724	394	77	182	225	201	322	248	227	420	240	31	609	826	61	122	108	79	794	285	291	515	887	511	568	464	153	109	99	84	55	196	186	214	456	76	104	74	43	351	114	100	71	44	369	162	115	153	96	410	
26	11	18	12	7	6	1	1	4	2	12	6	5	8	3	1	18	14	0	1	1	5	25	5	3	4	21	16	16	10	1	4	0	1	0	8	1	4	10	0	0	1	0	1	4	4	0	0	4	3	2	6	2	5	
7	8	10	2	5	5	0	1	0	0	3	3	3	6	1	0	6	7	0	0	3	1	7	2	2	3	2	3	3	6	0	3	1	1	0	0	6	1	4	0	0	0	0	6	1	2	3	1	3	0	3	1	0	4	
13	5	10	6	3	1	0	1	0	4	6	0	2	3	2	1	4	8	0	0	1	0	6	1	3	5	13	6	1	3	1	1	0	0	1	3	1	5	4	1	0	1	0	0	1	0	0	1	3	0	1	3	0	2	
18	3	18	1	3	3	0	0	1	1	4	0	3	4	1	0	5	11	0	0	0	0	8	0	1	7	9	0	6	3	0	0	0	0	1	0	0	1	2	0	0	0	0	1	1	2	0	0	5	1	0	2	0	2	
